Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.003510531594784353
21,0,0.007522567703109328
22,0,0.011033099297893681
23,0,0.014543630892678034
24,0,0.017051153460381142
25,0,0.019558676028084254
26,0,0.023069207622868605
27,0,0.026078234704112337
28,0,0.028585757271815445
29,0,0.031093279839518557
30,0,0.034102306920762285
31,0,0.03510531594784353
32,0,0.03961885656970913
33,0,0.043630892678034106
34,0,0.044132397191574725
35,0,0.04513540621865597
36,0,0.04613841524573721
37,0,0.04563691073219659
38,0,0.04563691073219659
39,0,0.047642928786359076
40,0,0.05416248746238716
41,0,0.06068204613841525
42,0,0.06970912738214644
43,0,0.07723169508525576
44,0,0.08074222668004012
45,0,0.08876629889669008
46,0,0.09277833500501505
47,0,0.09127382146439318
48,0,0.08525576730190572
49,0,0.08676028084252758
50,0,0.08525576730190572
51,0,0.0802407221664995
52,0,0.07723169508525576
53,0,0.0712136409227683
54,0,0.06619859578736209
55,0,0.06369107321965897
56,0,0.062186559679037114
57,0,0.059679037111334
58,0,0.05917753259779338
59,0,0.05416248746238716
60,0,0.05315947843530592
61,0,0.048144433299899696
62,0,0.044132397191574725
63,0,0.04212637913741224
64,0,0.03811434302908726
65,0,0.0366098294884654
66,0,0.03510531594784353
67,0,0.03510531594784353
68,0,0.033600802407221665
69,0,0.031093279839518557
70,0,0.031093279839518557
71,0,0.027582748244734202
72,0,0.02657973921765296
73,0,0.02357071213640923
74,0,0.022066198595787363
75,0,0.02156469408224674
76,0,0.018555667001003008
77,0,0.018555667001003008
78,0,0.017552657973921765
79,0,0.017051153460381142
80,0,0.015546639919759278
81,0,0.013039117352056168
82,0,0.011534603811434303
83,0,0.011033099297893681
84,0,0.011534603811434303
85,0,0.011033099297893681
86,0,0.011033099297893681
87,0,0.01053159478435306
88,0,0.009528585757271816
89,0,0.009027081243731194
90,0,0.009027081243731194
91,0,0.009027081243731194
92,0,0.009027081243731194
93,0,0.008525576730190571
94,0,0.008525576730190571
95,0,0.00802407221664995
96,0,0.007522567703109328
97,0,0.007522567703109328
98,0,0.006519558676028084
99,0,0.006018054162487462
100,0,0.005516549648946841
101,0,0.004513540621865597
102,0,0.004012036108324975
103,0,0.004012036108324975
104,0,0.004012036108324975
105,0,0.004513540621865597
106,0,0.0050150451354062184
107,0,0.006519558676028084
108,0,0.005516549648946841
109,0,0.006519558676028084
110,0,0.006018054162487462
111,0,0.005516549648946841
112,0,0.004012036108324975
113,0,0.003510531594784353
114,0,0.003510531594784353
115,0,0.003009027081243731
116,0,0.003009027081243731
117,0,0.003510531594784353
118,0,0.003510531594784353
119,0,0.003510531594784353
120,0,0.003009027081243731
121,0,0.003009027081243731
122,0,0.003510531594784353
123,0,0.004012036108324975
124,0,0.004012036108324975
125,0,0.004012036108324975
126,0,0.004012036108324975
127,0,0.003009027081243731
128,0,0.003009027081243731
129,0,0.003009027081243731
130,0,0.003009027081243731
131,0,0.0025075225677031092
132,0,0.0025075225677031092
133,0,0.0025075225677031092
134,0,0.003510531594784353
135,0,0.0025075225677031092
136,0,0.0025075225677031092
137,0,0.0025075225677031092
138,0,0.0025075225677031092
139,0,0.0025075225677031092
140,0,0.0025075225677031092
141,0,0.0025075225677031092
142,0,0.0025075225677031092
143,0,0.0025075225677031092
144,0,0.003009027081243731
145,0,0.0025075225677031092
146,0,0.003009027081243731
147,0,0.004012036108324975
148,0,0.003510531594784353
149,0,0.0020060180541624875
0,1,0.0
