Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9287.6,9.4,9.4,0,0,0.6,0.0
1,9280.6,14.0,9.0,1.2,0,2.2,0.0
2,9268.6,22.8,10.4,2.0,0,3.2,0.0
3,9248.2,39.2,13.2,2.8,0,3.6,0.0
4,9211.4,69.2,16.2,5.0,0,5.2,0.0
5,9159.8,107.0,21.0,12.0,0,7.2,0.0
6,9081.0,163.2,32.2,20.4,0,10.2,0.0
7,8961.6,250.2,48.8,32.8,0,13.6,0.0
8,8784.2,374.4,75.8,52.8,0,19.8,0.0
9,8514.6,571.4,113.0,79.8,0,28.2,0.0
10,8188.0,790.2,164.6,122.0,0,42.2,0.0
11,7817.6,1013.0,247.0,169.0,0,60.4,0.0
12,7379.6,1247.6,352.8,236.8,0,90.2,0.0
13,6919.2,1447.8,490.4,319.2,0,130.4,0.0
14,6457.0,1629.0,620.4,415.0,0,185.6,0.0
15,6018.6,1745.2,766.6,521.6,0,255.0,0.0
16,5607.2,1818.0,911.4,627.6,0,342.8,0.0
17,5237.0,1825.2,1063.6,732.4,0,448.8,0.0
18,4879.6,1821.0,1202.4,829.8,0,574.2,0.0
19,4559.0,1798.2,1318.6,924.0,0,707.2,0.0
20,4255.8,1756.6,1434.2,1003.6,5.0,851.8,0.0011906462828023049
21,3996.2,1666.8,1541.4,1066.6,11.8,1024.2,0.002752764428684739
22,3755.4,1575.8,1629.6,1132.4,17.8,1196.0,0.004086692992928644
23,3524.6,1504.4,1701.2,1168.6,22.0,1386.2,0.005004321914380601
24,3318.4,1413.6,1755.4,1195.4,28.4,1595.8,0.00646512474959024
25,3130.4,1321.4,1794.4,1222.0,35.4,1803.4,0.008094758986554469
26,2958.8,1243.2,1819.0,1237.8,41.8,2006.4,0.00962734349808835
27,2804.2,1158.8,1834.0,1240.6,47.2,2222.2,0.011026491613325237
28,2648.4,1085.8,1838.4,1250.2,55.0,2429.2,0.013004208634794534
29,2507.4,1019.6,1832.2,1252.8,59.8,2635.2,0.014359811737585243
30,2378.2,957.4,1810.2,1248.6,64.4,2848.2,0.01578199284418958
31,2246.0,917.6,1777.4,1231.8,70.6,3063.6,0.01766147996197528
32,2126.8,868.2,1749.2,1216.4,73.8,3272.6,0.018886272904084345
33,2011.8,819.2,1722.4,1209.2,75.6,3468.8,0.019757474388459123
34,1902.4,795.6,1684.0,1176.4,77.8,3670.8,0.02083668112914457
35,1804.6,756.0,1644.0,1160.6,79.6,3862.2,0.021866930388440196
36,1714.2,718.2,1612.8,1133.4,83.8,4044.6,0.02361760892847077
37,1622.4,686.6,1573.0,1113.4,88.8,4222.8,0.02565139522791611
38,1545.6,651.8,1531.4,1090.6,91.0,4396.6,0.027044698050404187
39,1467.8,621.2,1496.4,1061.6,93.8,4566.2,0.02865872288420409
40,1391.4,601.4,1438.6,1036.4,110.2,4729.0,0.034582313437519614
