Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9285.8,11.2,9.4,0,0,0.6,0.0
1,9274.0,21.0,10.2,0.6,0,1.2,0.0
2,9255.6,34.8,11.8,2.6,0,2.2,0.0
3,9224.2,59.0,14.6,5.2,0,4.0,0.0
4,9169.2,101.8,19.8,10.2,0,6.0,0.0
5,9081.6,170.2,29.8,18.4,0,7.0,0.0
6,8957.4,259.0,47.6,32.6,0,10.4,0.0
7,8774.0,394.2,72.0,52.4,0,14.4,0.0
8,8503.2,585.2,114.0,80.2,0,24.4,0.0
9,8184.6,785.0,175.6,122.4,0,39.4,0.0
10,7779.4,1032.2,260.6,173.4,0,61.4,0.0
11,7359.6,1242.0,361.8,251.4,0,92.2,0.0
12,6899.4,1449.4,487.6,333.2,0,137.4,0.0
13,6451.0,1603.0,629.8,429.4,0,193.8,0.0
14,6011.8,1726.4,776.6,521.8,0,270.4,0.0
15,5594.6,1809.6,922.2,614.6,0,366.0,0.0
16,5200.6,1848.4,1072.2,710.2,0,475.6,0.0
17,4853.6,1829.2,1221.4,805.8,0,597.0,0.0
18,4526.6,1792.4,1358.4,891.4,0,738.2,0.0
19,4232.0,1736.6,1485.2,966.0,0,887.2,0.0
20,3960.2,1667.4,1549.8,1039.2,41.4,1049.0,0.009632835404160269
21,3728.4,1572.6,1594.8,1092.8,83.6,1234.8,0.01924582163083015
22,3518.8,1460.0,1633.0,1138.8,120.8,1435.6,0.027753526627762714
23,3322.0,1360.6,1659.8,1173.0,153.0,1638.6,0.03520154610712314
24,3166.0,1246.0,1672.4,1194.4,185.2,1843.0,0.04308980921358771
25,3020.0,1161.8,1660.0,1205.0,217.0,2043.2,0.05113341816296715
26,2880.0,1065.6,1650.6,1217.0,240.6,2253.2,0.057645311227179065
27,2751.6,992.0,1633.2,1210.8,263.0,2456.4,0.0641619907294462
28,2640.8,910.8,1615.8,1198.0,288.8,2652.8,0.07195893755917676
29,2537.6,846.8,1582.2,1176.8,312.2,2851.4,0.07968351199591628
30,2439.6,793.2,1529.8,1152.2,330.0,3062.2,0.08672343109429202
31,2346.6,742.4,1481.6,1126.6,346.4,3263.4,0.09369759264268325
32,2266.2,683.8,1432.8,1105.8,362.6,3455.8,0.10114365411436543
33,2199.0,624.8,1381.8,1074.6,374.6,3652.2,0.1083974767058279
34,2137.2,580.4,1328.0,1042.0,387.6,3831.8,0.11611743559017376
35,2074.8,538.8,1267.8,1011.8,398.6,4015.2,0.12390425862604913
36,2018.6,508.4,1206.2,977.4,412.6,4183.8,0.13289956838240033
37,1968.4,481.0,1148.4,935.6,422.6,4351.0,0.14145133217298167
38,1917.4,456.0,1090.0,895.8,431.0,4516.8,0.15002784739626843
39,1877.8,422.6,1039.4,861.8,437.0,4668.4,0.15828745291219934
40,1841.2,378.8,971.6,814.2,483.6,4817.6,0.1826146061475719
41,1811.0,349.6,903.0,773.8,518.6,4951.0,0.2037721021611002
42,1785.4,327.6,846.8,735.6,531.2,5080.4,0.21759790267081766
43,1754.0,311.6,794.2,705.8,548.6,5192.8,0.2324379289890687
44,1737.0,292.8,737.0,679.6,553.2,5307.4,0.2444974807743304
45,1716.8,275.4,684.8,656.2,557.8,5416.0,0.25655413485419926
46,1705.2,262.4,630.6,625.4,560.6,5522.8,0.26964886964886964
47,1694.6,246.0,580.4,598.0,560.6,5627.4,0.28241813602015114
48,1684.8,227.2,542.0,569.2,564.0,5719.8,0.29646761984861225
49,1681.4,222.8,491.2,540.2,572.2,5799.2,0.3132939115199299
50,1683.2,209.2,450.6,509.6,572.0,5882.4,0.32847134489491214
51,1682.6,195.2,411.2,486.4,571.4,5960.2,0.34334815526979934
52,1686.0,186.6,369.4,464.4,573.4,6027.2,0.3597691052829715
53,1695.2,177.2,335.6,441.0,569.4,6088.6,0.3738182773109244
54,1698.2,172.6,304.4,420.8,563.6,6147.4,0.3856575886136581
55,1700.0,168.8,271.2,399.4,557.6,6210.0,0.39914101646385114
56,1711.2,159.8,243.2,380.2,547.4,6265.2,0.4113933563805802
57,1721.4,153.6,215.6,358.0,539.4,6319.0,0.4258645191852203
58,1735.2,149.0,189.6,342.2,532.8,6358.2,0.43902439024390244
59,1749.4,140.2,167.8,326.2,525.2,6398.2,0.4529929273762291
60,1766.2,128.6,130.2,313.2,533.8,6435.0,0.48272743714957494
61,1782.8,120.2,91.2,301.6,544.6,6466.6,0.5149394856278366
62,1802.2,111.4,62.4,282.2,543.4,6505.4,0.5437262357414449
63,1821.4,105.2,31.2,271.0,551.4,6526.8,0.5750938673341677
64,1846.8,92.8,12.4,256.0,549.2,6549.8,0.6032513181019332
65,1867.8,84.2,10.0,236.4,535.8,6572.8,0.6184210526315789
66,1890.2,75.8,10.2,217.0,522.2,6591.6,0.6328162869607368
67,1920.4,70.0,8.4,200.0,503.0,6605.2,0.6437164064499616
68,1945.0,70.0,7.8,187.8,480.0,6616.4,0.6437768240343348
69,1977.4,60.4,9.6,177.2,455.6,6626.8,0.6482640865110986
70,2001.4,57.6,7.2,165.6,431.6,6643.6,0.651963746223565
71,2026.0,57.2,6.6,155.6,406.8,6654.8,0.6496327052060045
72,2056.6,50.6,7.2,143.8,389.8,6659.0,0.6591139668583023
73,2088.8,46.4,5.8,136.2,373.6,6656.2,0.6647686832740214
74,2120.0,43.0,4.8,130.2,354.0,6655.0,0.6654135338345865
75,2148.4,40.2,5.0,120.0,338.0,6655.4,0.6717011128775835
76,2180.0,38.6,5.0,115.0,322.6,6645.8,0.670407315045719
77,2209.2,40.6,5.8,107.8,307.0,6636.6,0.665654813529922
78,2238.8,37.8,6.4,102.6,293.2,6628.2,0.6663636363636364
79,2266.8,38.4,4.8,97.8,279.2,6620.0,0.6644455021418372
80,2298.0,40.0,3.4,90.8,262.8,6612.0,0.6619647355163728
81,2325.8,38.8,4.8,85.2,248.8,6603.6,0.6588983050847458
82,2359.2,36.2,5.2,80.0,234.4,6592.0,0.6587970770095559
83,2389.8,37.2,3.2,75.4,228.8,6572.6,0.6639582124201974
84,2426.6,34.4,4.0,71.6,219.4,6551.0,0.6660595021250759
85,2453.0,32.8,3.6,67.6,209.0,6541.0,0.6677316293929713
86,2481.8,28.8,4.0,66.0,198.2,6528.2,0.6673400673400673
87,2512.2,28.4,3.6,62.6,189.0,6511.2,0.6664315937940761
88,2541.0,27.6,4.4,57.6,181.8,6494.6,0.6698599852616066
89,2571.6,26.6,4.0,53.6,172.6,6478.6,0.6721183800623053
90,2605.4,25.2,3.6,48.8,166.2,6457.8,0.6817063166529943
91,2635.6,24.2,3.4,45.4,159.4,6439.0,0.6858864027538727
92,2667.0,22.8,1.8,42.6,153.4,6419.4,0.6953762466001813
93,2698.4,21.8,2.6,41.4,145.0,6397.8,0.6878557874762808
94,2732.0,19.4,2.6,42.0,135.6,6375.4,0.6793587174348698
95,2768.4,18.4,2.2,40.4,129.6,6348.0,0.6799580272822665
96,2796.0,20.0,2.2,38.6,124.4,6325.8,0.6717062634989202
97,2828.6,22.4,2.8,37.0,118.8,6297.4,0.656353591160221
98,2861.8,20.8,2.4,34.4,115.4,6272.2,0.6670520231213873
