Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9288.4,8.6,8.6,0,0,1.4,0.0
1,9282.8,12.6,8.8,0.8,0,2.0,0.0
2,9273.0,20.6,9.4,1.4,0,2.6,0.0
3,9257.2,32.4,11.2,3.0,0,3.2,0.0
4,9227.2,55.4,12.8,6.6,0,5.0,0.0
5,9183.0,87.2,19.0,12.4,0,5.4,0.0
6,9109.2,143.0,29.6,16.6,0,8.6,0.0
7,8992.0,229.4,47.4,24.8,0,13.4,0.0
8,8811.2,365.8,71.6,38.6,0,19.8,0.0
9,8584.4,517.8,110.2,68.0,0,26.6,0.0
10,8277.4,727.0,161.0,101.2,0,40.4,0.0
11,7932.4,927.0,236.8,152.0,0,58.8,0.0
12,7532.0,1141.2,335.4,211.6,0,86.8,0.0
13,7092.4,1356.6,447.0,284.4,0,126.6,0.0
14,6669.4,1512.8,577.8,366.4,0,180.6,0.0
15,6236.6,1645.6,719.2,457.2,0,248.4,0.0
16,5829.4,1720.6,868.8,546.4,0,341.8,0.0
17,5435.2,1771.6,1002.4,651.6,0,446.2,0.0
18,5056.8,1794.4,1148.4,749.6,0,557.8,0.0
19,4688.2,1802.4,1279.0,843.0,0,694.4,0.0
20,4385.8,1755.8,1360.4,929.2,34.6,841.2,0.008480392156862747
21,4120.8,1675.2,1439.4,995.8,69.4,1006.4,0.016603665247141013
22,3871.0,1583.0,1515.2,1055.8,98.2,1183.8,0.0230939278491134
23,3645.6,1497.0,1561.8,1103.4,127.2,1372.0,0.029654497132466075
24,3445.6,1396.2,1592.6,1149.6,156.6,1566.4,0.03646100116414435
25,3278.8,1285.4,1605.4,1170.8,184.6,1782.0,0.04347416513588619
26,3113.0,1206.0,1613.2,1190.8,203.8,1980.2,0.04836489629313209
27,2969.6,1105.0,1617.4,1206.6,226.0,2182.4,0.05439229843561973
28,2839.8,1024.0,1600.8,1205.4,251.0,2386.0,0.06150151916103107
29,2728.8,941.2,1584.2,1195.4,269.4,2588.0,0.06751541276126509
30,2628.6,859.6,1550.2,1181.4,290.4,2796.8,0.07481450948062653
31,2536.2,790.4,1511.8,1161.2,312.6,2994.8,0.08278601694915255
32,2447.8,737.2,1463.6,1135.2,329.8,3193.4,0.08996671940640515
33,2373.2,687.0,1417.8,1101.2,345.2,3382.6,0.0972065780581212
34,2296.0,644.6,1368.0,1069.6,362.8,3566.0,0.10531204644412191
35,2226.4,606.0,1312.0,1034.8,376.0,3751.8,0.11295361691900985
36,2159.0,569.4,1261.6,1009.0,384.8,3923.2,0.11932522947159513
37,2099.6,536.8,1200.2,974.6,399.2,4096.6,0.12832711842612834
38,2046.8,500.4,1152.2,941.0,412.0,4254.6,0.13707745541655578
39,1998.0,470.0,1099.8,909.0,423.6,4406.6,0.14594818081587652
40,1957.0,415.6,1038.0,868.0,471.0,4557.4,0.16866003007949582
41,1924.6,381.6,958.4,824.2,507.4,4710.8,0.18992364126366224
42,1902.0,347.0,894.8,786.2,527.4,4849.6,0.20638647569852075
43,1877.4,326.0,833.0,750.6,543.4,4976.6,0.22152466367713003
44,1851.8,307.6,781.2,719.8,546.0,5100.6,0.23188652000339757
45,1829.0,290.0,726.0,689.4,551.8,5220.8,0.2444621655147971
46,1818.0,275.0,672.2,660.4,561.8,5319.6,0.2589656126117821
47,1799.0,261.2,622.4,634.4,562.4,5427.6,0.2703326283407037
48,1793.0,248.4,569.6,615.0,561.8,5519.2,0.2816322438339683
49,1781.6,236.0,526.2,588.6,558.0,5616.6,0.2923302598491198
50,1777.6,222.2,484.0,565.8,556.2,5701.2,0.30423367246471944
51,1766.2,218.8,443.8,542.8,548.8,5786.6,0.31284916201117313
52,1769.8,201.6,405.2,515.2,547.0,5868.2,0.32774116237267825
53,1771.2,192.4,366.6,492.2,539.6,5945.0,0.33920040231330145
54,1772.0,181.6,334.4,465.4,537.4,6016.2,0.35383197260995525
55,1773.8,170.4,299.4,443.2,538.2,6082.0,0.3708654906284454
56,1775.8,163.6,270.4,421.4,535.0,6140.8,0.3847813578826237
57,1789.6,150.2,236.6,405.2,534.8,6190.6,0.4030750678323786
58,1799.2,143.4,209.8,387.2,529.6,6237.8,0.41700787401574807
59,1811.0,141.4,178.0,370.0,520.2,6286.4,0.4300595238095239
60,1816.6,134.6,144.8,354.4,526.6,6330.0,0.4538090313684936
61,1835.8,126.2,104.4,341.2,533.4,6366.0,0.482627578718784
62,1847.6,119.6,71.6,322.4,539.4,6406.4,0.5122507122507123
63,1867.8,113.2,41.4,305.8,540.8,6438.0,0.5401518178186177
64,1891.2,106.2,21.4,283.0,539.4,6465.8,0.5677894736842105
65,1913.8,92.4,17.6,266.4,530.6,6486.2,0.5850055126791621
66,1934.4,87.2,11.2,245.0,522.2,6507.0,0.6032809611829945
67,1959.2,80.2,10.0,226.6,509.2,6521.8,0.6164648910411622
68,1982.2,70.8,11.4,210.4,488.4,6543.8,0.6253521126760563
69,2007.2,67.8,7.0,196.2,469.2,6559.6,0.6338827343961091
70,2033.0,60.6,9.8,181.8,454.2,6567.6,0.6429784824462061
71,2058.4,57.0,8.8,168.0,433.8,6581.0,0.6497902935889754
72,2083.0,55.0,8.2,155.6,417.4,6587.8,0.6560829927695693
73,2111.4,51.8,5.8,147.8,401.2,6589.0,0.6613913616880975
74,2139.2,52.2,5.0,136.2,382.8,6591.6,0.664352655328011
75,2171.0,48.4,5.6,124.6,364.8,6592.6,0.6713286713286714
76,2203.8,45.0,5.8,115.8,348.2,6588.4,0.6763791763791764
77,2237.2,42.8,4.8,109.8,332.6,6579.8,0.6787755102040817
78,2272.6,38.2,6.0,105.2,312.8,6572.2,0.6767633059281696
79,2306.4,37.2,5.8,100.2,298.8,6558.6,0.6760180995475114
80,2332.8,37.6,4.4,94.0,285.8,6552.4,0.6775723091512565
81,2358.2,38.8,3.6,91.2,270.2,6545.0,0.6691431401684003
82,2390.6,36.0,5.8,87.6,258.6,6528.4,0.6664948453608248
83,2416.2,35.8,5.2,81.0,250.8,6518.0,0.6727467811158798
84,2445.6,36.0,3.8,75.0,243.4,6503.2,0.6795086543830263
85,2477.8,35.4,4.6,68.6,234.0,6486.6,0.6830122591943958
86,2505.0,35.4,4.6,65.8,223.0,6473.2,0.6782238442822384
87,2532.4,33.2,5.0,63.4,212.8,6460.2,0.6768447837150128
88,2559.4,33.6,3.6,61.0,200.6,6448.8,0.6713520749665327
89,2582.8,34.6,2.6,60.0,188.4,6438.6,0.6596638655462185
90,2614.6,31.2,5.8,58.6,180.0,6416.8,0.6531204644412191
91,2643.6,28.2,4.2,55.0,173.8,6402.2,0.6653905053598774
92,2668.2,27.8,4.0,49.8,168.2,6389.0,0.6733386709367494
93,2697.2,29.6,3.0,46.6,161.6,6369.0,0.6710963455149501
94,2730.8,26.0,4.4,44.8,155.6,6345.4,0.6741767764298093
