Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9284.8,12.2,9.4,0,0,0.6,0.0
1,9273.2,22.8,9.0,0.4,0,1.6,0.0
2,9262.4,29.4,12.4,1.2,0,1.6,0.0
3,9242.4,44.2,14.4,3.4,0,2.6,0.0
4,9197.6,80.4,18.2,6.8,0,4.0,0.0
5,9139.8,117.6,28.6,15.0,0,6.0,0.0
6,9036.4,197.6,41.0,23.6,0,8.4,0.0
7,8881.4,319.6,59.2,34.2,0,12.6,0.0
8,8661.2,479.2,90.6,55.2,0,20.8,0.0
9,8378.4,667.8,138.2,92.0,0,30.6,0.0
10,8010.6,905.0,209.4,138.8,0,43.2,0.0
11,7594.6,1138.2,304.2,200.6,0,69.4,0.0
12,7130.2,1382.8,405.4,280.6,0,108.0,0.0
13,6655.0,1582.8,535.2,380.0,0,154.0,0.0
14,6189.2,1755.8,668.8,471.8,0,221.4,0.0
15,5740.6,1853.4,828.2,581.8,0,303.0,0.0
16,5338.2,1883.2,999.2,683.4,0,403.0,0.0
17,4957.4,1888.4,1152.2,785.2,0,523.8,0.0
18,4634.2,1844.4,1289.6,885.2,0,653.6,0.0
19,4335.6,1778.6,1418.0,965.4,0,809.4,0.0
20,4058.6,1702.8,1524.2,1038.4,9.4,973.6,0.002198933283428465
21,3798.8,1627.2,1608.4,1101.6,18.2,1152.8,0.004178720668595306
22,3561.8,1544.6,1684.0,1157.2,25.2,1334.2,0.005712990251643618
23,3334.8,1467.6,1752.6,1195.8,33.4,1522.8,0.007506630107430216
24,3125.2,1380.8,1798.6,1232.0,40.2,1730.2,0.009030460957857851
25,2928.8,1309.8,1833.0,1256.0,47.2,1932.2,0.010616284300494827
26,2745.6,1246.2,1859.6,1268.0,54.2,2133.4,0.012240289069557363
27,2585.8,1182.2,1870.6,1266.6,61.0,2340.8,0.013925668888685966
28,2421.8,1117.4,1876.8,1272.8,65.8,2552.4,0.015186484490398817
29,2272.2,1048.6,1878.2,1271.8,69.0,2767.2,0.016168338176023995
30,2130.2,1000.2,1846.4,1271.4,71.4,2987.4,0.01704301331932974
31,1991.8,945.6,1827.4,1267.2,76.6,3198.4,0.018606684803731052
32,1869.2,912.2,1799.0,1245.8,80.6,3400.2,0.01996235387358827
33,1752.6,859.6,1765.4,1240.8,86.0,3602.6,0.021762234930917557
34,1639.6,817.2,1734.0,1219.4,91.6,3805.2,0.023717052457148776
35,1544.8,762.0,1698.0,1192.8,94.4,4015.0,0.02519214346712212
36,1453.4,730.6,1654.6,1164.4,97.4,4206.6,0.02670688236907047
37,1372.2,680.6,1621.0,1143.4,101.6,4388.2,0.028647155021710932
38,1294.8,647.4,1572.8,1124.4,104.2,4563.4,0.03021340756205057
39,1229.0,617.4,1528.6,1095.6,106.4,4730.0,0.031780167264038234
40,1163.2,588.8,1466.0,1074.6,121.8,4892.6,0.0374630905511811
41,1100.4,555.6,1415.8,1044.2,135.6,5055.4,0.04303122619954303
42,1039.2,536.0,1356.0,1014.4,147.0,5214.4,0.048143053645116916
43,986.2,508.4,1300.4,978.2,161.2,5372.6,0.05467743029645207
44,946.4,479.0,1239.0,949.8,172.0,5520.8,0.06056764560884569
45,913.6,441.4,1192.4,927.8,184.6,5647.2,0.06722015876483868
46,881.4,423.8,1142.4,894.2,194.2,5771.0,0.07315603104045808
47,860.8,396.8,1087.8,865.4,206.2,5890.0,0.0806666145059072
48,830.4,378.6,1038.2,833.2,215.0,6011.6,0.0872210953346856
49,815.4,348.4,992.4,805.0,224.0,6121.8,0.09452274453540382
50,797.8,334.8,940.2,774.6,231.4,6228.2,0.10144673388864534
51,787.2,309.6,898.2,743.2,239.0,6329.8,0.1091324200913242
52,780.0,284.8,844.8,709.6,247.0,6440.8,0.11839708561020038
