Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9288.2,8.8,8.8,0,0,1.2,0.0
1,9280.8,14.8,8.6,1.0,0,1.8,0.0
2,9270.2,24.0,8.6,2.2,0,2.0,0.0
3,9255.0,35.8,10.4,3.2,0,2.6,0.0
4,9238.2,45.0,13.8,7.0,0,3.0,0.0
5,9207.4,66.0,19.6,9.8,0,4.2,0.0
6,9158.4,104.0,25.6,13.8,0,5.2,0.0
7,9096.2,146.2,36.6,20.8,0,7.2,0.0
8,8995.6,215.8,54.4,29.8,0,11.4,0.0
9,8843.0,327.6,73.2,45.4,0,17.8,0.0
10,8653.6,454.8,103.2,68.4,0,27.0,0.0
11,8400.4,617.0,150.6,99.4,0,39.6,0.0
12,8055.2,843.4,209.0,143.8,0,55.6,0.0
13,7665.8,1063.2,304.8,196.8,0,76.4,0.0
14,7222.8,1284.0,413.2,278.2,0,108.8,0.0
15,6758.6,1492.6,538.2,360.2,0,157.4,0.0
16,6294.0,1664.6,681.4,448.0,0,219.0,0.0
17,5846.8,1775.8,836.8,549.6,0,298.0,0.0
18,5406.8,1860.2,995.2,642.4,0,402.4,0.0
19,5007.6,1878.6,1162.4,737.6,0,520.8,0.0
20,4636.0,1872.6,1301.6,841.8,6.0,649.0,0.0014917951268025858
21,4314.0,1830.2,1430.0,927.2,11.0,794.6,0.0026200457317073172
22,4000.8,1776.8,1538.8,1014.4,15.6,960.6,0.0035898379970544917
23,3733.8,1690.8,1631.2,1080.0,20.4,1150.8,0.00461287988422576
24,3484.6,1599.6,1730.4,1134.4,25.4,1332.6,0.005657267584302197
25,3257.0,1514.2,1787.0,1177.6,29.0,1542.2,0.006433293402546698
26,3051.6,1425.2,1827.6,1216.2,34.0,1752.4,0.007550521874306018
27,2859.2,1344.8,1863.8,1236.4,38.2,1964.6,0.00852069950035689
28,2677.8,1269.0,1883.0,1254.0,42.4,2180.8,0.009531516949914576
29,2507.8,1206.2,1891.8,1258.2,46.8,2396.2,0.010629116511469453
30,2347.6,1139.4,1897.8,1264.8,50.8,2606.6,0.011670648777798198
31,2206.8,1061.8,1897.0,1269.6,53.6,2818.2,0.012517515179822513
32,2074.8,984.0,1884.0,1262.8,55.6,3045.8,0.013281100707051402
33,1946.8,932.0,1860.0,1250.8,59.2,3258.2,0.014431984397854706
34,1831.8,876.4,1823.0,1242.8,62.8,3470.2,0.01568039950062422
35,1720.6,820.6,1803.0,1228.8,65.8,3668.2,0.01679342555254964
36,1617.2,783.6,1766.8,1201.6,68.4,3869.4,0.017903884410009424
37,1529.4,742.4,1729.2,1164.2,71.4,4070.4,0.019259818731117824
38,1447.8,700.8,1691.6,1139.2,75.0,4252.6,0.020795208783896194
39,1371.6,655.2,1642.4,1119.2,76.8,4441.8,0.021983054728646666
40,1308.4,605.6,1590.6,1093.0,91.6,4617.8,0.027094178892569806
41,1238.4,575.8,1518.8,1067.2,101.4,4805.4,0.031073792596224566
42,1178.0,550.2,1452.2,1039.6,113.4,4973.6,0.03593839132915003
43,1125.0,530.2,1382.6,1004.8,125.2,5139.2,0.041146312606809524
