Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9284.8,12.2,9.6,0,0,0.4,0.0
1,9276.4,18.8,10.6,0.2,0,1.0,0.0
2,9264.0,26.8,12.0,1.8,0,2.4,0.0
3,9231.0,53.6,14.8,4.0,0,3.6,0.0
4,9181.2,94.4,18.4,7.4,0,5.6,0.0
5,9103.0,154.4,27.4,14.4,0,7.8,0.0
6,8997.8,228.6,43.6,26.8,0,10.2,0.0
7,8815.8,360.8,70.4,45.2,0,14.8,0.0
8,8579.2,526.4,112.8,67.0,0,21.6,0.0
9,8279.4,718.2,171.2,101.4,0,36.8,0.0
10,7895.8,967.8,242.2,145.0,0,56.2,0.0
11,7505.6,1172.8,338.4,206.0,0,84.2,0.0
12,7069.2,1381.2,446.8,286.6,0,123.2,0.0
13,6617.4,1554.4,587.6,371.8,0,175.8,0.0
14,6181.0,1682.2,725.8,479.0,0,239.0,0.0
15,5752.2,1773.2,875.8,584.4,0,321.4,0.0
16,5343.8,1837.6,1033.6,672.2,0,419.8,0.0
17,4962.0,1854.6,1176.0,767.6,0,546.8,0.0
18,4621.0,1836.6,1308.0,854.6,0,686.8,0.0
19,4305.4,1778.0,1447.6,943.8,0,832.2,0.0
20,4003.2,1729.2,1558.2,1016.4,7.4,992.6,0.0017164594544442384
21,3730.0,1652.8,1653.4,1094.6,13.8,1162.4,0.003125991029764872
22,3464.0,1590.2,1736.4,1152.2,19.6,1344.6,0.0043571047483549705
23,3239.8,1501.0,1796.0,1191.6,25.8,1552.8,0.005715045188729399
24,3037.4,1426.8,1821.4,1223.4,30.8,1767.2,0.006840796019900497
25,2844.6,1349.2,1851.0,1246.2,34.2,1981.8,0.007632906307191003
26,2680.8,1251.4,1894.2,1254.4,40.0,2186.2,0.009009009009009009
27,2520.4,1156.8,1917.2,1265.8,44.2,2402.6,0.010082116788321169
28,2380.8,1073.0,1902.4,1271.8,47.6,2631.4,0.011083170345534134
29,2232.4,1026.8,1886.0,1264.0,50.2,2847.6,0.011876035013011594
30,2104.0,969.6,1871.4,1252.6,54.8,3054.6,0.013209912255327355
31,1994.0,912.6,1839.8,1239.0,57.8,3263.8,0.014274424577694358
32,1886.2,857.0,1812.6,1231.2,62.4,3457.6,0.015744852644327813
33,1787.8,801.0,1784.0,1209.0,66.4,3658.8,0.01720029012537561
34,1693.8,759.6,1738.0,1178.8,68.4,3868.4,0.01826532792138432
35,1605.6,720.8,1695.0,1157.8,71.8,4056.0,0.019696055302573102
