Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9958.0,23.0,9.4,0,0,0.6,0.0
1,9943.2,34.4,10.8,1.6,0,1.0,0.0
2,9900.2,69.0,16.2,4.0,0,1.6,0.0
3,9794.8,161.0,24.4,7.4,0,3.4,0.0
4,9642.6,281.6,41.8,19.8,0,5.2,0.0
5,9380.4,490.4,70.0,41.2,0,9.0,0.0
6,9012.4,764.0,123.0,73.2,0,18.4,0.0
7,8479.8,1132.0,213.4,135.0,0,30.8,0.0
8,7843.4,1535.6,334.6,220.2,0,57.2,0.0
9,7209.0,1860.8,498.8,323.4,0,99.0,0.0
10,6574.8,2126.0,684.0,443.0,0,163.2,0.0
11,6016.0,2261.4,890.2,587.2,0,236.2,0.0
12,5418.8,2403.0,1113.8,719.6,0,335.8,0.0
13,4845.6,2497.8,1327.2,860.0,0,460.4,0.0
14,4313.0,2532.0,1541.6,1002.8,0,601.6,0.0
15,3788.8,2547.8,1742.6,1137.2,0,774.6,0.0
16,3311.2,2523.2,1923.6,1255.0,0,978.0,0.0
17,2903.8,2420.8,2092.8,1377.6,0,1196.0,0.0
18,2560.4,2280.8,2246.2,1470.8,0,1432.8,0.0
19,2257.0,2123.6,2376.6,1550.4,0,1683.4,0.0
20,1985.4,1983.8,2446.0,1605.6,8.8,1961.4,0.0014559412329175079
21,1735.2,1838.4,2503.4,1660.8,17.6,2235.6,0.0029234909139231255
22,1514.4,1716.6,2518.6,1687.0,25.2,2529.2,0.00423714564347446
23,1312.2,1591.8,2537.6,1700.0,33.4,2816.0,0.0056969366173159584
24,1133.4,1474.0,2534.6,1720.8,40.6,3087.6,0.007036395147313692
25,969.8,1373.0,2509.2,1710.6,46.4,3382.0,0.008228117463469997
26,830.4,1257.6,2479.0,1694.6,52.8,3676.6,0.009628008752735229
27,706.0,1151.6,2434.6,1669.0,57.0,3972.8,0.010730017695116901
28,604.4,1050.0,2374.2,1642.8,62.2,4257.4,0.012126647430398504
29,521.8,940.2,2328.4,1608.8,66.2,4525.6,0.013391051055910671
30,438.4,868.4,2257.0,1562.0,70.4,4794.8,0.014796754802639879
31,376.6,781.6,2194.2,1517.0,74.4,5047.2,0.016290068313189705
32,326.4,703.6,2126.0,1473.2,77.2,5284.6,0.01762557077625571
33,285.2,633.0,2050.0,1418.6,80.0,5524.2,0.01913143294432753
34,247.6,569.2,1978.0,1363.0,84.4,5748.8,0.021128523506734092
35,214.2,522.2,1889.8,1319.8,88.0,5957.0,0.023037855385098695
36,187.4,478.2,1796.6,1278.6,92.8,6157.4,0.02545115462673468
37,169.2,434.4,1710.4,1234.4,95.4,6347.2,0.027456397858746328
38,151.2,403.2,1626.6,1184.6,96.6,6528.8,0.029175475687103596
39,143.6,366.2,1549.4,1125.8,99.2,6706.8,0.03158632108514297
40,137.8,339.8,1458.2,1079.0,116.2,6860.0,0.038821328344246966
41,135.4,316.0,1374.0,1026.2,131.4,7008.0,0.04614412136536031
42,130.2,295.4,1291.4,977.4,144.6,7152.0,0.05338157117542823
43,128.4,284.8,1208.8,929.0,158.6,7281.4,0.06144428947776228
44,128.2,267.8,1137.6,878.8,171.4,7407.2,0.06979964163544551
45,130.0,249.8,1067.6,834.2,182.0,7527.4,0.0779910867329448
46,138.8,233.0,997.2,796.6,194.0,7631.4,0.08735590778097982
47,141.6,227.6,927.2,762.0,204.2,7728.4,0.09627534181989628
48,145.8,218.6,869.6,719.8,210.0,7827.2,0.10406342913776016
49,156.4,207.6,808.6,688.6,217.2,7912.6,0.11300728407908427
50,155.8,207.2,753.4,653.2,225.2,7996.2,0.12245785753126699
51,164.4,197.8,704.0,623.4,232.6,8068.8,0.13232449652975312
52,179.2,189.2,655.4,594.0,241.2,8132.0,0.143588522443148
53,186.4,183.6,606.4,568.4,245.8,8200.4,0.15322279017578855
54,198.8,178.6,563.4,537.2,256.0,8257.0,0.16675351745700887
55,212.6,173.8,517.4,516.4,260.4,8310.4,0.17738419618528609
56,229.6,166.8,478.4,496.0,267.8,8352.4,0.19006387508871542
57,244.6,161.6,445.4,479.4,270.6,8389.4,0.19941046425939574
58,254.8,165.6,411.0,455.6,273.6,8430.4,0.20952672691070606
59,264.0,168.6,377.0,433.6,274.2,8473.6,0.21876495931067494
60,282.8,165.2,339.2,410.4,291.4,8502.0,0.24158514342563425
61,300.6,160.8,300.2,394.4,308.0,8527.0,0.2647412755716005
62,323.2,159.2,266.0,377.0,322.4,8543.2,0.28667970834074336
63,336.4,155.8,239.4,356.6,336.6,8566.2,0.3092613009922822
64,356.4,149.4,214.4,337.6,345.8,8587.4,0.3302139037433155
65,377.8,142.6,193.2,317.0,351.4,8609.0,0.34993029277036447
66,393.8,142.0,164.4,298.6,361.0,8631.2,0.37370600414078675
67,415.0,140.2,146.0,284.2,364.0,8641.6,0.389554794520548
68,440.6,130.6,130.2,270.6,366.2,8652.8,0.4079768270944742
69,463.8,125.0,108.4,260.6,371.0,8662.2,0.42890173410404625
70,491.4,120.2,93.2,246.6,374.2,8665.4,0.4485734835770798
71,520.2,116.2,75.4,233.8,379.0,8666.4,0.4711586275484833
72,550.4,108.6,61.2,221.4,381.8,8667.6,0.4939197930142303
73,572.6,106.8,52.4,207.2,384.0,8668.0,0.511727078891258
74,598.0,100.6,49.0,198.2,378.6,8666.6,0.5212004405286345
75,622.2,95.4,44.4,189.2,375.4,8664.4,0.5329358319136854
76,651.4,93.0,38.0,176.6,373.4,8658.6,0.5483113069016152
77,683.2,87.4,35.0,165.0,363.8,8656.6,0.5586609336609336
78,714.4,83.0,30.2,159.4,358.6,8645.4,0.5681242078580482
79,750.6,80.0,26.6,152.2,349.0,8632.6,0.5742020401447845
80,787.8,79.6,20.0,138.4,344.4,8620.8,0.5913461538461539
81,820.0,78.8,18.8,129.8,333.2,8610.4,0.5943631823046736
82,855.0,71.6,16.6,121.8,330.4,8595.6,0.6113989637305699
83,897.0,64.8,17.4,114.2,322.0,8575.6,0.621141975308642
