Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9962.2,18.8,9.2,0,0,0.8,0.0
1,9945.8,32.6,9.6,0.8,0,2.2,0.0
2,9917.2,54.0,13.4,3.4,0,3.0,0.0
3,9811.4,150.0,17.4,8.0,0,4.2,0.0
4,9667.2,268.6,33.0,17.6,0,4.6,0.0
5,9432.2,448.6,63.6,38.2,0,8.4,0.0
6,9067.6,724.4,109.6,75.8,0,13.6,0.0
7,8591.8,1050.2,193.0,130.6,0,25.4,0.0
8,8034.2,1400.2,305.8,200.2,0,50.6,0.0
9,7375.4,1776.8,454.8,296.8,0,87.2,0.0
10,6664.2,2150.4,619.6,415.0,0,141.8,0.0
11,6017.0,2373.8,833.4,551.4,0,215.4,0.0
12,5449.0,2447.4,1068.6,713.2,0,312.8,0.0
13,4907.6,2507.4,1278.4,855.8,0,441.8,0.0
14,4414.8,2500.0,1489.4,990.8,0,596.0,0.0
15,3967.4,2468.0,1675.6,1108.6,0,771.4,0.0
16,3536.0,2411.0,1848.2,1223.6,0,972.2,0.0
17,3114.4,2369.4,1997.6,1329.6,0,1180.0,0.0
18,2704.4,2291.4,2161.0,1423.0,0,1411.2,0.0
19,2321.8,2227.4,2267.6,1514.6,0,1659.6,0.0
20,2021.2,2099.4,2293.2,1588.4,83.2,1905.6,0.013719864120576498
21,1751.2,1949.4,2254.4,1644.8,202.0,2189.2,0.033385118831190295
22,1537.8,1793.4,2159.8,1679.8,335.2,2485.0,0.05616433765624476
23,1363.4,1627.4,2061.4,1693.2,466.6,2779.0,0.07977977635673494
24,1208.8,1477.0,1945.8,1700.6,593.4,3065.4,0.10379932829554997
25,1075.2,1333.8,1817.4,1697.4,716.0,3351.2,0.12867052438629908
26,973.8,1186.6,1679.6,1684.4,827.4,3639.2,0.15384901450353292
27,873.4,1068.4,1543.8,1656.4,937.4,3911.6,0.18006146753745678
28,793.4,954.8,1404.6,1618.4,1037.4,4182.4,0.2068511724357952
29,716.8,859.6,1254.4,1580.0,1135.0,4445.2,0.23503831020915303
30,660.2,765.8,1102.0,1544.8,1218.8,4699.4,0.26316016755192817
31,612.8,685.6,953.8,1497.4,1293.0,4948.4,0.29188676689692533
32,571.4,613.6,806.2,1444.6,1363.4,5191.8,0.3224845073087658
33,544.6,544.2,667.6,1390.8,1436.8,5407.0,0.35569639055305236
34,520.2,476.2,545.0,1324.2,1493.6,5631.8,0.3890596509507684
35,498.0,432.8,421.0,1248.6,1551.6,5839.0,0.42463054187192123
36,485.6,388.0,313.6,1177.8,1599.0,6027.0,0.45969411223551054
37,481.4,342.6,228.4,1086.2,1636.4,6216.0,0.4968423609424338
38,480.6,307.0,159.6,986.6,1653.8,6403.4,0.5322819439974251
39,481.6,271.4,111.8,904.8,1660.2,6561.2,0.563123261651177
40,492.4,197.0,43.4,681.8,1858.4,6718.0,0.6683449615190966
41,509.4,146.8,18.0,491.8,1962.8,6862.2,0.7493319080705505
42,533.6,102.4,15.0,353.0,1978.6,7008.4,0.8079216006533279
43,563.8,73.2,9.2,264.0,1947.0,7133.8,0.8489578791314205
44,593.2,62.0,6.2,208.6,1865.6,7255.4,0.8707991038088124
45,625.0,51.2,5.6,177.6,1776.8,7354.8,0.8834526650755767
46,654.4,43.0,6.4,158.6,1675.4,7453.2,0.8895614314537539
47,687.4,37.6,6.2,143.0,1572.0,7544.8,0.8937912212872413
48,726.0,34.0,3.6,131.0,1467.2,7629.2,0.8969311651791173
49,764.2,29.4,4.2,124.4,1365.4,7703.4,0.8962846264933702
50,811.4,25.0,4.2,114.6,1273.6,7762.2,0.8985466346832228
51,845.6,24.0,2.4,107.2,1191.2,7820.6,0.8991545893719808
52,882.0,25.4,3.6,99.8,1113.4,7866.8,0.8963129930767992
53,921.6,24.4,2.6,93.6,1036.8,7912.0,0.8958009331259721
54,961.0,24.6,2.6,89.4,973.6,7939.8,0.8930471473124197
55,998.6,24.4,3.0,82.4,907.0,7975.6,0.8920141620771047
56,1037.0,25.6,2.6,78.2,841.2,8006.4,0.8877163360067539
57,1068.8,26.4,2.8,74.2,780.6,8038.2,0.8830316742081448
58,1104.0,25.8,4.0,70.2,725.6,8061.4,0.8788759689922481
59,1143.8,24.8,3.6,67.4,682.6,8068.8,0.8769270298047276
