Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9964.0,17.0,9.8,0,0,0.2,0.0
1,9948.2,30.6,9.6,1.6,0,1.0,0.0
2,9926.2,47.2,12.2,3.6,0,1.8,0.0
3,9882.2,80.8,17.8,6.8,0,3.4,0.0
4,9776.8,167.8,28.0,13.2,0,5.2,0.0
5,9595.4,313.4,47.4,27.2,0,7.6,0.0
6,9299.6,550.6,78.6,48.6,0,13.6,0.0
7,8903.2,835.8,137.6,90.6,0,23.8,0.0
8,8332.6,1247.8,226.8,144.0,0,39.8,0.0
9,7673.4,1660.0,361.2,232.6,0,63.8,0.0
10,6927.0,2076.4,533.0,351.0,0,103.6,0.0
11,6200.0,2394.2,751.6,478.0,0,167.2,0.0
12,5539.2,2558.0,991.2,643.2,0,259.4,0.0
13,4927.0,2671.2,1229.6,792.0,0,371.2,0.0
14,4371.8,2690.2,1464.6,943.0,0,521.4,0.0
15,3879.8,2650.0,1683.0,1090.8,0,687.4,0.0
16,3424.8,2584.2,1863.6,1236.4,0,882.0,0.0
17,3011.2,2490.8,2035.4,1351.0,0,1102.6,0.0
18,2635.8,2369.4,2201.4,1453.4,0,1331.0,0.0
19,2301.8,2244.8,2318.8,1543.2,0,1582.4,0.0
20,2028.6,2083.6,2335.4,1616.4,80.0,1847.0,0.01308172809628152
21,1793.0,1916.0,2299.6,1664.4,203.6,2114.4,0.03346702610296535
22,1614.6,1727.2,2213.8,1700.6,344.8,2390.0,0.0575972203661633
23,1455.0,1544.0,2120.6,1720.0,476.4,2675.0,0.08128305749872035
24,1306.0,1402.8,1982.0,1719.0,604.2,2977.0,0.10585143658023827
25,1180.8,1259.6,1846.8,1712.2,721.4,3270.2,0.13021660649819497
26,1076.0,1125.2,1703.6,1689.4,831.2,3565.6,0.15538191199012974
27,973.0,1024.4,1554.0,1661.6,939.6,3838.4,0.1814039694184879
28,887.2,930.6,1389.0,1626.4,1046.8,4111.0,0.2096619131549431
29,814.2,846.8,1238.6,1572.8,1136.0,4382.6,0.23695298485670185
30,749.0,766.4,1086.2,1530.4,1220.8,4638.2,0.26517224901168596
31,692.6,696.8,938.6,1481.4,1303.6,4878.0,0.2949054384218623
32,649.6,629.4,802.0,1422.8,1381.4,5105.8,0.32614033430918876
33,614.8,572.8,662.6,1365.6,1449.4,5325.8,0.35784120086904997
34,584.4,517.8,533.4,1306.2,1514.8,5534.4,0.3911988017147875
35,554.8,465.6,423.0,1234.4,1560.4,5752.8,0.42363034153227996
36,535.0,417.0,321.0,1165.6,1610.6,5941.8,0.4583119913493825
37,529.8,368.4,234.6,1080.8,1649.4,6128.0,0.49483979359174374
38,527.0,319.4,161.2,999.2,1680.2,6304.0,0.5317088607594936
39,521.8,280.6,108.2,915.2,1689.6,6475.6,0.564404061998931
40,536.8,210.0,30.2,681.8,1895.2,6637.0,0.6727246911827347
41,553.2,153.4,16.8,474.4,1999.8,6793.4,0.7562396006655574
42,580.8,106.0,13.8,335.2,2013.8,6941.4,0.8156999351911859
43,608.8,79.0,11.0,247.6,1964.8,7079.8,0.8533703961084086
44,647.0,56.0,7.8,199.4,1890.2,7190.6,0.8777746818983932
45,682.0,46.4,6.0,171.4,1788.6,7296.6,0.8887895050685749
46,711.6,42.0,5.4,158.8,1680.8,7392.4,0.8907260201377848
47,745.4,35.2,4.4,149.0,1561.8,7495.2,0.8922531992687386
48,780.0,33.6,3.2,136.6,1449.2,7588.4,0.893134475533095
49,812.0,37.0,3.6,127.0,1359.2,7652.2,0.8902279276919047
50,844.0,35.2,3.8,120.0,1270.8,7717.2,0.8887956357532522
51,879.0,33.4,4.8,112.2,1181.0,7780.6,0.8870362024936157
52,915.2,32.6,3.6,102.8,1108.2,7828.6,0.8885503527902502
53,949.2,34.2,2.6,96.0,1041.6,7867.4,0.8869209809264306
54,985.6,29.8,3.0,95.6,974.6,7902.4,0.8835902085222122
55,1019.6,30.8,4.2,91.0,909.0,7936.4,0.8782608695652174
56,1053.8,29.0,4.8,85.0,855.2,7963.2,0.878028747433265
57,1093.6,31.4,3.8,80.4,791.8,7990.0,0.8726030416574829
58,1134.6,31.0,5.8,77.0,739.4,8003.2,0.8666197843413034
59,1168.2,34.0,5.4,72.0,690.2,8021.2,0.8610279441117765
60,1201.6,32.4,6.0,69.6,645.8,8035.6,0.8567259219952242
61,1242.6,31.0,5.4,66.2,607.6,8038.2,0.8555336524922557
62,1282.2,30.8,4.6,62.4,572.0,8039.0,0.8539862645565841
63,1323.2,30.6,4.2,58.6,542.2,8032.2,0.8530522341095029
64,1366.4,29.8,3.2,56.0,509.8,8025.8,0.851369405477622
65,1403.6,29.6,3.4,52.4,480.8,8021.2,0.8491699046273401
66,1451.4,27.8,3.4,48.6,452.4,8007.4,0.8500563697857949
67,1488.2,25.6,3.0,47.4,427.8,7999.0,0.8491464867010718
68,1522.6,27.0,2.2,44.6,404.2,7990.4,0.8456066945606694
69,1563.4,23.6,2.4,43.4,381.6,7976.6,0.846119733924612
70,1599.4,23.4,2.6,42.4,356.0,7967.2,0.8388312912346843
71,1639.8,23.4,3.2,40.0,333.4,7951.2,0.8334999999999999
72,1677.8,23.8,2.8,39.8,314.0,7932.8,0.8254468980021031
73,1716.6,23.4,3.4,38.6,294.2,7914.8,0.818131256952169
74,1752.0,24.2,5.0,38.8,273.2,7897.8,0.8007033997655334
75,1788.8,25.8,3.8,38.2,259.2,7875.2,0.7926605504587155
76,1824.0,28.2,3.4,38.2,245.2,7852.0,0.7784126984126983
77,1861.4,29.6,3.0,38.6,234.4,7824.0,0.7670157068062827
78,1900.8,31.2,2.6,36.8,223.4,7796.2,0.7598639455782313
79,1934.4,33.6,3.8,35.6,209.0,7774.6,0.7411347517730497
80,1970.8,34.2,3.4,34.8,203.0,7744.8,0.7371096586782862
81,2004.0,36.0,3.2,33.6,192.2,7722.0,0.7252830188679245
82,2044.2,33.4,3.8,34.2,180.4,7695.0,0.716441620333598
83,2076.2,37.0,3.4,31.2,170.2,7673.0,0.7038875103391232
84,2109.4,35.8,6.6,31.0,162.0,7646.2,0.6881903143585386
85,2150.0,34.2,3.2,32.0,158.4,7613.2,0.6953467954345918
86,2187.6,33.4,4.4,30.2,152.4,7583.0,0.691470054446461
87,2222.4,32.0,4.0,31.4,145.8,7555.4,0.6838649155722326
88,2253.6,35.6,3.6,29.8,140.0,7528.4,0.6698564593301436
89,2284.2,37.8,3.4,28.6,134.2,7502.8,0.657843137254902
90,2321.6,35.4,5.2,30.6,129.2,7469.0,0.6447105788423154
91,2353.2,36.6,4.4,30.8,127.0,7439.0,0.6388329979879275
92,2385.4,37.8,3.0,30.8,125.2,7408.8,0.6361788617886178
93,2417.8,39.8,4.0,29.6,122.4,7377.4,0.6251276813074566
94,2443.4,43.2,4.8,26.8,118.8,7354.0,0.6136363636363636
95,2473.4,45.2,4.4,28.0,116.8,7323.2,0.6008230452674898
96,2502.2,46.0,4.2,27.6,112.4,7298.6,0.5909568874868559
97,2528.2,47.8,5.8,25.6,114.4,7269.2,0.5909090909090909
98,2560.4,46.6,7.6,26.4,113.0,7237.0,0.5836776859504132
99,2591.4,48.0,5.0,28.2,114.4,7204.0,0.5848670756646216
100,2620.2,43.2,7.2,28.8,112.8,7178.8,0.5875
101,2647.4,46.8,2.6,28.6,113.6,7152.0,0.592901878914405
102,2675.8,48.8,6.0,29.2,109.6,7121.6,0.5661157024793388
103,2702.8,49.4,6.2,27.0,111.4,7094.2,0.5742268041237114
104,2729.2,51.2,6.4,29.6,111.4,7063.2,0.5609264853977844
105,2744.6,59.0,4.0,30.4,114.2,7038.8,0.55009633911368
106,2767.8,65.2,6.6,31.2,111.2,7009.0,0.5191409897292251
107,2787.0,67.6,7.6,33.2,112.8,6982.8,0.5099457504520796
108,2808.6,69.4,7.6,34.4,118.8,6952.2,0.5160729800173762
109,2831.2,68.4,7.2,34.8,123.8,6925.6,0.5286080273270709
110,2856.2,66.6,7.2,36.6,126.2,6898.2,0.533389687235841
111,2875.8,70.8,8.0,36.8,127.6,6872.0,0.524671052631579
112,2902.8,64.6,8.0,39.4,127.8,6848.4,0.5329441201000834
113,2927.8,62.6,7.6,41.2,128.4,6823.4,0.5354462051709759
114,2950.2,65.2,7.2,44.4,127.0,6797.0,0.5209187858900738
115,2974.6,63.0,8.8,42.6,127.4,6774.6,0.5268817204301075
116,2998.2,63.0,7.6,43.6,129.6,6749.0,0.5315832649712879
117,3025.8,63.6,6.0,41.4,131.6,6722.6,0.5424567188788129
118,3051.6,64.4,6.0,39.0,134.0,6696.0,0.5505341002465078
119,3077.0,62.8,9.4,41.8,132.0,6668.0,0.5365853658536586
120,3101.4,60.4,7.4,42.8,133.2,6645.8,0.5463494667760459
121,3118.6,70.4,6.6,41.6,134.0,6619.8,0.5304829770387965
