Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9960.6,20.4,9.6,0,0,0.4,0.0
1,9939.4,36.8,11.6,2.0,0,1.2,0.0
2,9879.8,89.8,14.0,5.4,0,2.0,0.0
3,9783.6,167.0,25.2,12.2,0,3.0,0.0
4,9573.2,345.0,40.8,25.8,0,6.2,0.0
5,9272.6,572.8,82.8,51.8,0,11.0,0.0
6,8786.6,950.4,139.8,92.2,0,22.0,0.0
7,8270.4,1269.6,248.6,163.8,0,38.6,0.0
8,7646.2,1638.8,385.4,252.4,0,68.2,0.0
9,7015.4,1952.2,545.2,363.8,0,114.4,0.0
10,6485.2,2089.2,739.4,495.8,0,181.4,0.0
11,5970.0,2189.2,930.4,627.6,0,273.8,0.0
12,5466.8,2274.0,1107.6,758.2,0,384.4,0.0
13,4967.8,2315.2,1299.6,887.0,0,521.4,0.0
14,4469.6,2365.6,1482.4,996.2,0,677.2,0.0
15,4019.4,2336.6,1674.8,1110.0,0,850.2,0.0
16,3607.6,2288.6,1840.8,1213.6,0,1040.4,0.0
17,3204.0,2241.6,1987.0,1308.6,0,1249.8,0.0
18,2806.8,2196.6,2107.4,1407.4,0,1472.8,0.0
19,2424.2,2143.0,2221.0,1495.4,0,1707.4,0.0
20,2080.0,2072.8,2306.8,1559.2,9.4,1962.8,0.0015803100097508491
21,1785.4,1971.2,2373.4,1609.2,17.8,2234.0,0.0029807756715118225
22,1539.4,1845.4,2425.6,1644.8,24.8,2511.0,0.004174662492004174
23,1329.6,1693.4,2467.8,1683.0,32.4,2784.8,0.005513392097471327
24,1141.8,1558.2,2485.8,1699.2,38.2,3067.8,0.006607396132424673
25,984.4,1422.6,2475.8,1701.6,44.6,3362.0,0.007901357049215178
26,853.6,1296.6,2447.4,1694.0,50.4,3649.0,0.009183004154216166
27,732.4,1185.2,2417.4,1667.6,56.2,3932.2,0.010551216581556023
28,629.4,1067.6,2387.2,1645.0,61.0,4200.8,0.011819872887924354
29,543.0,959.0,2337.0,1607.2,66.8,4478.0,0.013440643863179074
30,465.4,877.2,2270.0,1565.2,71.0,4742.2,0.01484299870385082
31,399.6,798.6,2187.0,1530.6,76.4,4998.8,0.016635457039585425
32,338.8,728.6,2116.6,1487.4,80.4,5239.2,0.01821889870836166
33,294.6,654.8,2043.0,1442.8,85.4,5470.4,0.020208234737340274
34,250.4,599.2,1950.2,1392.4,89.0,5709.8,0.022079984122258606
35,216.6,546.0,1869.2,1345.6,90.8,5922.8,0.02357461834042995
36,188.8,499.8,1789.4,1288.8,95.8,6128.4,0.026076542000108876
37,164.0,457.2,1703.2,1235.2,100.2,6331.2,0.028662966988958177
38,146.4,418.2,1621.8,1189.2,102.2,6513.2,0.030677793120009608
39,135.0,381.2,1544.4,1136.4,104.2,6689.8,0.03291011306929442
40,123.2,345.6,1462.0,1081.6,120.2,6858.4,0.03994151658137835
41,116.8,321.2,1375.0,1026.8,134.2,7017.0,0.046969060618787625
42,117.8,298.8,1287.0,976.4,149.2,7161.8,0.05502692336062551
43,125.6,278.8,1208.6,930.6,161.8,7285.6,0.0627180401581518
44,127.0,259.0,1136.6,883.8,176.2,7408.4,0.07175435738719663
45,122.6,247.2,1058.2,839.6,190.2,7533.2,0.08144912641315519
46,129.4,230.2,983.0,809.6,200.8,7638.0,0.09030401151286202
47,136.0,222.0,920.6,774.6,209.0,7728.8,0.09829743203837833
48,145.0,211.4,855.4,745.8,217.4,7816.0,0.1070935960591133
49,152.2,205.8,788.2,708.2,226.4,7910.2,0.1173908534688375
50,164.4,195.0,736.2,669.0,235.6,7990.8,0.12833642008933435
51,178.6,182.8,690.4,634.2,239.8,8065.2,0.1372481684981685
52,189.6,181.2,641.0,606.2,246.6,8126.4,0.1472238805970149
53,198.4,181.6,593.2,579.8,253.0,8185.0,0.15737745707887535
54,202.6,184.0,545.4,546.8,264.0,8248.2,0.17140631086871838
55,216.0,183.2,499.8,524.6,268.4,8299.0,0.18184281842818426
56,229.0,180.0,458.6,505.6,270.6,8347.2,0.1912637828668363
57,246.4,167.8,425.0,484.6,272.6,8394.6,0.20192592592592595
58,263.8,167.0,394.4,462.2,275.2,8428.4,0.21188789651986448
59,271.4,169.8,367.0,441.6,279.6,8461.6,0.2222575516693164
60,279.0,169.8,327.8,424.6,299.4,8490.4,0.2450884086444008
61,297.2,165.4,288.4,407.4,314.2,8518.4,0.2673132550621065
62,323.4,157.2,249.8,391.4,326.8,8542.4,0.29043725559900463
63,340.6,148.6,216.8,376.2,340.4,8568.4,0.31460258780036965
64,360.0,144.8,181.2,362.0,353.6,8589.4,0.3394777265745008
65,383.8,136.6,151.2,344.0,366.0,8609.4,0.3668069753457607
66,404.0,135.8,124.8,332.6,374.0,8619.8,0.3866832092638544
67,430.6,133.4,95.0,316.4,384.6,8631.0,0.4138153647514526
68,450.0,132.8,72.0,302.4,386.6,8647.2,0.43253524278362054
69,483.2,130.0,53.6,285.4,393.2,8645.6,0.45604268151241006
70,509.0,126.6,37.4,274.6,392.2,8651.2,0.47207510832932115
71,540.4,119.0,28.0,263.8,390.2,8649.6,0.4871410736579276
72,579.4,111.4,24.4,248.4,379.8,8647.6,0.49712041884816754
73,610.8,105.8,17.0,232.4,375.8,8649.2,0.5140902872777018
74,641.8,105.2,14.8,226.2,365.6,8637.4,0.5136274234335488
75,670.2,102.8,14.6,213.6,358.4,8631.4,0.5198723527705251
76,700.2,100.2,13.0,202.6,352.4,8622.6,0.5273870098772822
77,728.8,98.2,11.2,198.2,343.8,8610.8,0.527786306416948
78,757.4,98.8,14.4,184.8,336.2,8599.4,0.5301166824345632
79,782.0,101.6,10.8,175.2,329.0,8592.4,0.53357119688615
80,811.6,96.4,14.8,163.0,321.0,8584.2,0.5393145161290323
81,838.8,94.4,9.2,156.0,319.4,8573.2,0.5516407599309153
82,864.0,89.6,12.6,154.0,310.4,8560.4,0.5478291563713379
83,899.0,83.6,11.0,148.6,301.0,8547.8,0.5531054759279677
84,922.6,82.8,8.4,143.0,292.0,8542.2,0.5549220828582287
85,951.0,81.4,8.8,138.4,283.6,8527.8,0.5536899648574776
86,976.6,84.8,11.2,131.6,275.6,8511.2,0.5476947535771065
87,1011.8,86.4,8.8,125.6,271.0,8487.4,0.5510370069133794
88,1044.8,81.8,9.0,121.4,264.4,8469.6,0.5547629039026437
89,1078.8,79.2,9.0,119.4,255.4,8449.2,0.5516198704103672
90,1103.2,77.4,11.8,114.0,251.4,8433.2,0.5530136383633963
91,1136.4,76.8,9.2,111.8,246.4,8410.4,0.554705087798289
92,1164.4,79.4,9.0,107.2,240.6,8390.4,0.5515818431911966
93,1197.4,78.4,10.0,104.6,237.2,8363.4,0.5513714551371455
94,1223.0,82.4,9.6,101.4,230.0,8344.6,0.543221539914974
