Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9953.6,27.4,9.6,0,0,0.4,0.0
1,9924.4,49.0,12.4,3.8,0,1.4,0.0
2,9839.8,123.8,16.4,7.8,0,3.2,0.0
3,9685.6,255.4,28.0,16.6,0,5.4,0.0
4,9472.6,420.6,56.2,32.6,0,9.0,0.0
5,9152.0,663.6,97.4,62.8,0,15.2,0.0
6,8742.6,941.0,169.0,110.6,0,27.8,0.0
7,8218.4,1286.6,264.4,175.0,0,46.6,0.0
8,7642.6,1606.6,394.2,265.4,0,82.2,0.0
9,7023.8,1906.6,559.4,372.6,0,128.6,0.0
10,6362.4,2180.2,744.4,507.0,0,197.0,0.0
11,5723.0,2374.2,963.4,645.2,0,285.2,0.0
12,5143.4,2476.0,1181.8,792.2,0,397.6,0.0
13,4596.6,2532.8,1391.0,935.4,0,535.2,0.0
14,4095.8,2533.0,1602.0,1072.0,0,688.2,0.0
15,3618.0,2500.6,1799.0,1199.4,0,874.0,0.0
16,3177.4,2449.6,1966.8,1303.8,0,1093.4,0.0
17,2764.0,2385.2,2102.4,1412.2,0,1327.2,0.0
18,2403.0,2281.4,2224.6,1506.2,0,1575.8,0.0
19,2092.0,2144.2,2339.6,1578.2,0,1837.0,0.0
20,1819.0,1989.2,2440.4,1631.4,9.0,2102.0,0.0014827018121911038
21,1591.4,1831.6,2498.8,1670.8,17.2,2381.2,0.00285790243254021
22,1379.8,1665.4,2547.4,1708.6,24.2,2665.6,0.004070236813778256
23,1192.0,1530.0,2558.2,1714.8,31.6,2964.4,0.005415966818633668
24,1032.6,1406.4,2538.0,1709.8,40.2,3264.0,0.007059567294183761
25,894.6,1280.2,2519.4,1695.6,47.6,3553.6,0.008587717399148443
26,771.8,1177.0,2474.0,1677.6,52.6,3838.0,0.009774771426447632
27,668.8,1065.6,2427.6,1643.2,58.0,4127.8,0.01116587093793316
28,576.4,959.0,2381.0,1618.2,63.4,4393.0,0.012625458021347779
29,489.0,873.8,2324.4,1575.8,68.4,4659.6,0.01412522716008591
30,426.4,784.0,2260.4,1521.6,73.6,4925.0,0.01586343650314682
31,373.2,711.2,2184.4,1479.8,77.6,5164.8,0.01742645407590388
32,323.6,640.4,2103.4,1432.4,83.4,5407.8,0.019579303220959715
33,287.4,578.8,2015.0,1390.8,86.6,5632.4,0.021271369620750637
34,253.8,529.8,1937.6,1333.6,91.4,5844.8,0.023481656561504475
35,220.6,484.8,1851.6,1273.8,93.6,6066.6,0.025271342945083427
36,194.8,453.2,1750.0,1224.4,95.8,6272.8,0.0271896463643072
37,177.6,416.6,1677.4,1173.4,100.2,6445.8,0.029754127568594847
38,161.0,378.6,1605.2,1125.6,101.8,6618.8,0.03170154459392127
39,147.6,351.6,1528.8,1065.0,105.4,6792.6,0.03454831519601416
40,137.8,327.0,1440.8,1014.4,121.2,6949.8,0.041744162016945655
41,141.8,299.6,1354.0,968.2,135.4,7092.0,0.04910779051211374
42,135.8,279.2,1264.6,915.4,149.0,7247.0,0.057127520895636844
43,131.4,266.0,1178.0,879.2,162.2,7374.2,0.06526112496982378
44,129.4,255.4,1095.2,835.6,175.0,7500.4,0.0741148568524479
45,129.0,242.2,1017.8,792.8,189.2,7620.0,0.08438893844781445
46,135.2,231.4,956.2,751.6,199.6,7717.0,0.09332335889283709
47,137.4,225.0,887.0,711.8,207.8,7822.0,0.10228391415633
48,146.0,221.8,827.6,676.8,215.8,7903.0,0.11112255406797117
49,152.8,215.4,767.6,647.6,225.2,7982.4,0.12134928332794481
50,169.0,202.4,723.6,616.8,231.2,8048.0,0.13032694475760992
51,184.0,198.6,672.2,589.4,239.6,8107.2,0.1409577597364396
52,201.2,194.8,623.2,565.0,243.8,8163.0,0.14986476518318173
53,207.0,190.4,577.6,547.6,245.4,8223.0,0.15720691864189623
54,210.8,188.2,530.4,527.8,249.4,8284.4,0.16673352052413426
55,218.2,187.6,492.6,505.2,257.2,8330.2,0.1782892000554554
56,233.8,188.8,448.6,485.4,261.8,8372.6,0.1890798786653185
57,250.6,186.0,420.4,461.0,268.0,8405.0,0.20068893215515948
58,262.6,180.8,386.0,445.6,271.8,8444.2,0.2116492758137362
59,276.0,176.2,360.2,428.6,273.8,8476.2,0.22102034226670975
60,292.8,176.4,315.8,412.6,291.2,8502.2,0.2434782608695652
