Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,9955.4,25.6,9.0,0,0,1.0,0.0
1,9930.8,45.4,10.8,2.8,0,1.2,0.0
2,9856.8,111.8,16.4,4.4,0,1.6,0.0
3,9737.6,209.6,28.8,12.4,0,2.6,0.0
4,9499.8,409.0,50.0,27.0,0,5.2,0.0
5,9103.0,728.8,93.2,57.2,0,8.8,0.0
6,8560.2,1127.0,168.2,116.0,0,19.6,0.0
7,7871.4,1589.4,291.2,198.8,0,40.2,0.0
8,7125.4,2023.8,452.0,318.0,0,71.8,0.0
9,6420.2,2331.6,651.6,460.6,0,127.0,0.0
10,5771.4,2517.8,877.6,620.6,0,203.6,0.0
11,5218.4,2570.8,1104.6,786.6,0,310.6,0.0
12,4723.6,2543.4,1342.4,936.8,0,444.8,0.0
13,4263.4,2497.6,1555.8,1073.8,0,600.4,0.0
14,3834.2,2437.6,1735.2,1193.2,0,790.8,0.0
15,3428.2,2355.6,1911.2,1307.2,0,988.8,0.0
16,3036.0,2287.4,2042.4,1402.2,0,1223.0,0.0
17,2677.0,2197.2,2172.2,1484.0,0,1460.6,0.0
18,2352.2,2081.6,2285.8,1559.4,0,1712.0,0.0
19,2046.0,1986.4,2365.2,1612.0,0,1981.4,0.0
20,1783.4,1878.8,2411.2,1651.0,9.4,2257.2,0.0015797257327238507
21,1536.8,1759.8,2445.2,1690.8,17.8,2540.6,0.0030100108225108225
22,1331.0,1625.0,2479.2,1715.2,25.4,2815.2,0.004345743224746784
23,1133.8,1510.8,2497.6,1722.8,34.0,3092.0,0.0058974536876431
24,959.6,1402.0,2490.4,1715.0,41.8,3382.2,0.0073992777738440835
25,820.8,1282.4,2467.8,1712.0,48.4,3659.6,0.008783072623670743
26,690.8,1166.6,2447.6,1688.6,54.4,3943.0,0.010154558351377588
27,590.4,1055.4,2403.0,1664.2,62.2,4215.8,0.011996605462120044
28,501.6,961.0,2345.6,1636.6,64.4,4481.8,0.012860452112788565
29,419.6,874.4,2283.0,1604.4,69.8,4739.8,0.014446560145707424
30,362.4,781.0,2227.6,1553.6,75.2,4991.2,0.016215983093975074
31,309.2,703.6,2147.4,1499.6,80.4,5250.8,0.018144888287068384
32,270.2,635.6,2072.6,1451.0,84.2,5477.4,0.01984257906395815
33,237.0,578.6,1975.8,1404.2,89.0,5706.4,0.021988338768653026
34,201.0,529.4,1902.2,1343.0,91.6,5923.8,0.023692514613832705
35,179.2,482.8,1822.0,1295.6,94.0,6117.4,0.025443915114768297
36,162.6,426.6,1741.8,1249.4,95.6,6315.0,0.027210109865087945
37,151.4,387.2,1654.4,1188.8,97.4,6511.8,0.029268585852515176
38,134.8,358.4,1574.4,1140.8,101.2,6681.4,0.03187602368653143
39,131.8,330.4,1496.8,1085.0,103.4,6843.6,0.034288367157447944
40,124.4,312.0,1400.4,1031.6,120.6,7002.0,0.04210011869021853
41,118.0,294.0,1316.6,983.8,137.0,7141.6,0.05015742842498353
42,120.0,269.8,1237.4,941.4,149.2,7273.2,0.05743321271845408
43,119.8,253.4,1156.0,897.2,162.6,7402.0,0.06585128786651546
44,124.6,244.6,1075.8,853.2,175.6,7517.2,0.0747488506725694
45,125.2,238.2,1002.8,812.2,186.2,7626.4,0.08314727159060463
46,131.8,221.4,943.6,777.4,193.8,7723.0,0.09072184252410823
47,137.6,217.0,875.8,731.4,202.6,7826.6,0.09996052891257155
48,144.4,212.0,820.0,700.8,211.4,7902.4,0.10873366937557864
49,151.2,206.4,760.8,666.6,219.0,7987.0,0.11819948186528498
50,155.2,200.8,711.8,638.6,223.0,8061.6,0.12569045203471987
51,167.8,191.4,655.4,612.4,228.2,8135.8,0.13523764371222
52,183.6,184.0,612.4,587.4,234.8,8188.8,0.14506363524033117
53,192.8,182.0,567.8,557.6,241.2,8249.6,0.15575358388221616
54,208.2,182.2,521.6,532.0,247.6,8299.4,0.16691384656869354
55,220.2,179.0,485.0,503.2,252.2,8351.4,0.17768071015922218
56,238.0,176.4,450.8,480.0,259.6,8386.2,0.18993268949370792
57,252.8,170.4,417.4,457.4,266.0,8427.0,0.20286760219646127
58,271.4,170.0,386.4,438.4,273.0,8451.8,0.21533364884051112
59,288.6,163.2,357.2,421.2,280.2,8480.6,0.2293337698477656
60,303.0,166.0,316.2,405.6,300.2,8500.0,0.2526936026936027
61,322.0,161.4,276.0,391.6,317.4,8522.6,0.2768667131891137
62,344.6,157.8,236.4,379.0,335.6,8537.6,0.30266955266955264
63,366.4,155.0,199.8,360.6,345.4,8563.8,0.32560331825037697
64,384.8,152.8,170.2,346.2,358.2,8578.8,0.3486470702744792
65,411.2,148.6,138.8,338.8,363.8,8589.8,0.3674747474747475
66,437.0,141.4,118.4,323.4,375.8,8595.0,0.391866527632951
67,457.8,142.6,94.8,309.2,383.2,8603.4,0.41213164121316415
68,486.2,135.4,77.0,293.4,384.6,8614.4,0.4319407008086254
69,515.2,130.2,61.6,280.8,386.4,8616.8,0.449825378346915
70,538.8,126.0,50.8,264.8,384.0,8626.6,0.46511627906976744
71,566.8,121.0,38.0,256.0,384.6,8624.6,0.48099049524762383
72,594.8,113.6,31.4,244.4,381.2,8625.6,0.4946794705424345
73,625.4,112.8,21.6,231.8,379.4,8620.0,0.508851931330472
74,651.4,113.2,17.4,218.2,368.6,8622.2,0.5137998327293003
75,688.2,106.6,17.0,209.8,358.0,8611.4,0.5177899913219555
76,718.4,105.4,12.6,198.8,349.4,8606.4,0.5244671269888922
77,750.0,102.0,14.8,188.6,341.6,8594.0,0.5279752704791345
78,777.4,103.4,10.0,178.6,333.0,8588.6,0.5328
79,798.8,102.6,13.8,170.4,320.0,8585.4,0.5273566249176006
80,830.8,96.2,14.6,161.0,316.8,8571.6,0.5382262996941896
81,859.2,92.2,11.6,154.2,311.4,8562.4,0.5468914646996839
82,893.4,85.4,11.2,150.6,303.4,8547.0,0.5510352342898657
83,922.6,87.8,9.6,146.0,295.6,8529.4,0.5484230055658628
84,951.8,89.2,9.2,139.8,287.0,8514.0,0.5464584920030464
85,981.4,91.6,9.8,134.4,276.2,8497.6,0.539453125
86,1005.2,88.2,10.2,130.4,268.2,8488.8,0.5396378269617707
87,1036.0,83.4,12.6,125.6,261.2,8472.2,0.5410107705053853
88,1064.8,84.4,10.4,121.4,257.4,8452.6,0.5434966216216216
89,1096.4,78.4,10.6,118.6,251.0,8436.0,0.5473179241168774
90,1122.8,82.8,9.4,113.8,249.0,8413.2,0.5472527472527473
91,1152.2,81.6,8.2,113.0,244.2,8391.8,0.5463087248322147
92,1182.4,80.2,10.2,109.6,236.8,8371.8,0.5421245421245421
93,1208.8,82.6,9.6,106.6,233.6,8349.8,0.540240518038853
94,1241.0,80.8,9.6,102.2,229.6,8327.8,0.5438180956892468
95,1274.6,75.2,11.8,96.6,224.6,8308.2,0.5502204801567859
96,1297.6,75.2,10.0,93.8,224.2,8290.2,0.5560515873015873
97,1321.6,78.6,7.8,91.6,219.0,8272.4,0.5516372795969773
98,1350.4,79.8,8.2,90.2,212.8,8249.6,0.5442455242966753
99,1379.0,80.0,10.6,88.8,206.8,8225.8,0.5354738477472812
100,1405.0,81.2,9.0,87.0,203.8,8205.0,0.5349081364829397
101,1433.8,84.0,7.2,86.4,202.4,8177.2,0.5326315789473685
102,1457.2,83.2,11.2,84.6,194.2,8160.6,0.5203644158628081
103,1482.8,80.2,10.6,86.0,193.2,8138.2,0.5221621621621622
104,1510.2,80.0,7.4,85.4,192.0,8116.0,0.5263157894736842
105,1541.0,78.6,8.8,84.8,187.4,8090.4,0.5211345939933258
106,1578.0,76.8,7.8,84.6,184.6,8059.2,0.5217637083097796
107,1599.0,75.8,11.6,84.2,178.4,8042.0,0.5097142857142857
108,1622.2,78.6,9.4,86.4,178.2,8016.2,0.5053885422575155
109,1648.8,75.6,11.2,86.4,175.2,7993.8,0.5028702640642939
110,1662.8,85.4,9.8,83.0,172.4,7977.6,0.4917284654877353
111,1685.4,88.0,10.2,82.4,171.8,7953.2,0.4875141884222474
112,1712.4,87.0,11.2,80.0,172.4,7928.0,0.4917284654877353
113,1745.8,85.2,10.4,80.8,171.8,7897.0,0.4933946008041355
114,1771.8,82.4,10.4,82.4,171.0,7873.0,0.4939341421143847
115,1799.0,87.0,8.4,84.8,167.8,7844.0,0.48218390804597705
116,1824.4,90.4,9.2,83.8,162.6,7820.6,0.46994219653179187
117,1850.2,88.8,12.6,82.4,164.2,7792.8,0.4718390804597701
118,1876.6,88.0,11.0,83.2,165.2,7767.0,0.4755325273459988
119,1900.2,89.2,14.2,84.4,164.6,7738.4,0.4670828603859251
120,1918.8,91.6,11.6,83.0,165.4,7720.6,0.47042093287827075
121,1936.0,92.0,13.8,86.0,165.8,7697.4,0.46364653243847875
122,1949.2,96.2,11.2,82.4,169.8,7682.2,0.4721913236929922
123,1971.0,99.4,8.8,83.0,171.8,7657.0,0.4732782369146006
124,1987.6,105.8,11.2,80.6,168.0,7637.8,0.4595185995623632
125,2000.0,104.0,15.2,84.0,167.8,7620.0,0.45229110512129383
126,2016.2,102.4,12.4,86.6,174.2,7599.2,0.46379126730564424
127,2040.2,100.6,10.8,90.2,174.0,7575.2,0.463258785942492
128,2060.2,99.4,15.0,92.0,172.0,7552.4,0.4545454545454546
129,2080.8,106.6,12.0,92.8,173.6,7525.2,0.45090909090909087
130,2099.2,109.8,15.4,91.8,174.2,7500.6,0.4452965235173824
131,2114.2,112.6,14.4,94.8,177.4,7477.6,0.4443887775551102
132,2134.0,115.2,13.8,96.4,179.6,7452.0,0.4434567901234568
133,2149.6,116.8,14.2,97.2,180.0,7433.2,0.44096031357177856
134,2168.0,118.8,14.4,99.6,180.8,7409.4,0.437137330754352
135,2176.8,123.6,14.2,101.2,182.6,7392.6,0.433111954459203
136,2189.2,127.4,12.0,102.4,184.4,7375.6,0.4326607226654153
137,2202.4,130.4,16.4,103.6,180.4,7357.8,0.41875580315691735
138,2213.0,134.6,15.6,105.4,185.0,7337.4,0.41988197911938263
139,2222.6,140.4,13.6,108.2,186.6,7319.6,0.41577540106951877
140,2228.8,140.8,17.8,110.4,184.4,7308.8,0.40670489633877377
141,2242.4,130.8,21.4,115.0,189.4,7292.0,0.41480508103372754
142,2258.4,128.6,19.2,116.8,197.0,7271.0,0.42677642980935876
143,2260.4,137.2,18.0,119.0,200.8,7255.6,0.4227368421052632
144,2268.4,139.0,19.8,123.0,203.4,7237.4,0.41920857378400656
145,2274.4,138.6,19.8,123.8,208.6,7225.8,0.42502037489812555
146,2283.6,141.2,20.6,122.4,209.8,7213.4,0.42469635627530367
147,2293.8,138.4,22.6,120.0,215.0,7201.2,0.4334677419354839
148,2304.4,141.4,21.2,117.4,217.0,7189.6,0.43661971830985913
149,2316.0,143.4,20.6,116.8,221.0,7173.2,0.44041450777202074
