Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,987.0,3.0,9.0,0,0,1.0,0.0
1,985.4,4.4,8.2,0.2,0,1.8,0.0
2,982.4,6.4,8.2,0.8,0,2.2,0.0
3,981.2,5.6,8.8,1.6,0,2.8,0.0
4,978.2,8.2,8.8,1.6,0,3.2,0.0
5,974.8,10.0,9.6,2.0,0,3.6,0.0
6,973.0,10.2,9.6,2.8,0,4.4,0.0
7,970.2,11.6,9.4,3.4,0,5.4,0.0
8,967.0,12.6,10.2,4.0,0,6.2,0.0
9,965.0,12.6,11.0,3.8,0,7.6,0.0
10,961.8,12.2,12.6,5.2,0,8.2,0.0
11,955.4,15.4,12.8,5.4,0,11.0,0.0
12,950.6,17.0,14.0,6.0,0,12.4,0.0
13,944.2,19.4,14.8,6.2,0,15.4,0.0
14,939.8,19.2,15.8,8.4,0,16.8,0.0
15,933.0,22.2,17.8,9.2,0,17.8,0.0
16,928.0,22.4,19.8,10.4,0,19.4,0.0
17,920.6,25.4,21.6,11.2,0,21.2,0.0
18,914.2,27.0,23.0,12.0,0,23.8,0.0
19,906.4,29.8,24.2,13.6,0,26.0,0.0
20,899.0,31.6,19.2,14.4,6.0,29.8,0.08426966292134831
21,893.4,30.4,15.4,17.6,10.4,32.8,0.14092140921409216
22,888.8,28.0,13.2,19.6,15.6,34.8,0.20418848167539266
23,883.6,29.2,12.2,19.6,19.0,36.4,0.2375
24,876.8,31.8,10.4,20.0,22.6,38.4,0.2665094339622641
25,873.6,28.0,10.6,20.2,25.0,42.6,0.2983293556085919
26,867.8,26.8,11.8,21.8,26.8,45.0,0.3073394495412844
27,864.0,25.2,9.8,19.8,29.6,51.6,0.35071090047393366
28,859.8,24.2,11.4,19.8,29.2,55.6,0.3451536643026004
29,854.2,24.6,9.8,19.4,31.8,60.2,0.3714953271028037
30,847.2,28.0,9.4,19.2,32.8,63.4,0.3668903803131991
31,842.8,24.2,11.0,20.0,34.0,68.0,0.3811659192825112
32,837.0,24.2,10.8,20.8,34.4,72.8,0.3813747228381375
33,831.0,25.8,9.4,22.4,36.0,75.4,0.38461538461538464
34,826.8,25.0,9.0,23.0,36.8,79.4,0.39232409381663114
35,820.4,26.4,8.4,23.4,36.6,84.8,0.3860759493670886
