Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,994.4,0.6,4.6,0,0,0.4,0.0
1,994.2,0.6,4.4,0.2,0,0.6,0.0
2,993.0,1.6,3.4,0.2,0,1.8,0.0
3,992.4,2.2,3.2,0.2,0,2.0,0.0
4,991.4,2.4,3.4,0.6,0,2.2,0.0
5,990.6,2.4,3.6,0.8,0,2.6,0.0
6,990.2,2.4,3.6,1.0,0,2.8,0.0
7,990.0,2.6,3.6,1.0,0,2.8,0.0
8,989.2,3.0,3.6,1.2,0,3.0,0.0
9,988.0,3.2,4.0,1.2,0,3.6,0.0
10,987.0,3.6,4.0,1.8,0,3.6,0.0
11,986.2,3.0,3.8,2.8,0,4.2,0.0
12,985.0,3.4,4.0,2.8,0,4.8,0.0
13,983.8,3.6,4.0,3.8,0,4.8,0.0
14,983.4,3.2,4.0,3.8,0,5.6,0.0
15,981.2,5.0,4.0,3.6,0,6.2,0.0
16,980.4,5.2,4.4,3.2,0,6.8,0.0
17,979.6,4.0,5.6,3.6,0,7.2,0.0
18,978.4,4.6,5.4,4.0,0,7.6,0.0
19,977.2,5.4,5.8,4.0,0,7.6,0.0
20,976.8,3.6,2.0,4.4,4.6,8.6,0.3150684931506849
21,975.6,3.8,0.8,4.8,6.0,9.0,0.38961038961038963
22,975.0,3.8,0.8,4.2,6.0,10.2,0.4054054054054054
23,973.6,4.6,0.6,3.8,5.8,11.6,0.3918918918918919
24,972.8,4.8,0.8,3.6,5.2,12.8,0.36111111111111116
25,972.4,3.8,1.0,4.0,6.0,12.8,0.4054054054054054
26,972.0,3.6,0.6,3.8,6.6,13.4,0.4520547945205479
27,971.4,3.8,0.4,3.8,6.6,14.0,0.4520547945205479
28,971.4,2.8,0.4,3.8,6.8,14.8,0.49275362318840576
29,971.0,2.6,1.0,3.8,6.2,15.4,0.45588235294117646
30,970.6,2.4,0.2,3.8,6.8,16.2,0.5151515151515151
31,969.4,2.6,0.8,3.8,6.8,16.6,0.4857142857142857
32,968.4,3.4,0.2,4.0,6.6,17.4,0.4647887323943662
33,968.0,3.2,0.8,3.8,6.6,17.6,0.45833333333333337
34,967.4,3.2,0,4.4,7.2,17.8,0.48648648648648646
35,966.4,4.0,0.2,3.4,7.0,19.0,0.4794520547945206
36,966.4,2.8,1.0,3.8,7.0,19.0,0.4794520547945206
37,965.6,3.0,0.4,3.8,7.4,19.8,0.5068493150684932
38,965.4,2.2,0.8,4.0,7.6,20.0,0.5205479452054794
39,964.8,2.0,0.4,4.4,8.0,20.4,0.5405405405405405
40,964.4,2.0,0.4,4.2,8.0,21.0,0.547945205479452
41,964.6,1.8,0.2,4.2,8.0,21.2,0.5633802816901409
42,964.2,1.8,0.2,4.6,7.8,21.4,0.5416666666666667
43,963.8,2.0,0,4.2,7.6,22.4,0.5507246376811593
44,963.8,1.8,0,4.4,6.8,23.2,0.5230769230769231
45,963.2,1.8,0.4,4.2,7.0,23.4,0.5223880597014925
46,962.8,2.0,0.2,4.2,7.2,23.6,0.5294117647058824
47,961.8,3.0,0,3.6,7.2,24.4,0.5217391304347826
48,961.0,3.4,0.2,3.6,7.2,24.6,0.5
49,960.4,3.8,0,3.4,7.0,25.4,0.49295774647887325
50,960.4,3.0,0.4,3.6,6.6,26.0,0.4852941176470588
51,959.6,3.0,0.6,3.6,5.8,27.4,0.4461538461538461
52,960.0,2.2,0.4,3.8,6.0,27.6,0.48387096774193544
53,959.8,2.2,0.2,3.2,6.0,28.6,0.5172413793103448
54,959.2,2.4,0.2,3.0,5.8,29.4,0.5087719298245614
55,959.2,1.8,0.4,3.0,5.8,29.8,0.5272727272727272
56,959.0,1.8,0.2,2.6,6.0,30.4,0.5660377358490566
57,958.6,1.4,0.6,2.8,6.0,30.6,0.5555555555555555
58,958.6,1.6,0,2.4,6.2,31.2,0.607843137254902
59,959.0,1.2,0.2,2.6,5.8,31.2,0.5918367346938775
60,958.8,1.8,0,2.4,5.2,31.8,0.5531914893617021
61,958.4,2.4,0.2,2.4,4.8,31.8,0.48979591836734687
62,958.4,1.8,0.4,2.4,4.4,32.6,0.48888888888888893
63,958.6,1.4,0.4,2.0,5.0,32.6,0.5681818181818181
64,958.8,1.4,0,1.8,5.2,32.8,0.6190476190476191
65,958.2,2.0,0.2,1.8,4.8,33.0,0.5454545454545454
66,958.0,1.6,0.4,1.8,4.8,33.4,0.5581395348837209
67,958.0,1.4,0.4,1.6,4.8,33.8,0.5853658536585367
68,958.6,1.2,0,1.8,5.0,33.4,0.625
69,958.4,1.8,0,1.6,4.8,33.4,0.5853658536585367
70,958.2,1.8,0,1.4,5.0,33.6,0.6097560975609757
71,958.8,0.8,0.8,1.6,4.6,33.4,0.5897435897435898
72,959.0,0.6,0.2,1.4,5.0,33.8,0.6944444444444444
73,959.2,0.2,0,1.6,4.8,34.2,0.7272727272727273
74,958.8,0.8,0,1.4,4.6,34.4,0.676470588235294
75,959.0,0.8,0,1.4,4.2,34.6,0.65625
76,959.2,1.0,0,1.2,4.2,34.4,0.65625
77,959.6,0.8,0,1.4,4.0,34.2,0.6451612903225806
78,959.8,0.8,0,1.2,4.0,34.2,0.6666666666666666
79,960.2,0.8,0.2,1.2,3.4,34.2,0.6071428571428572
80,960.2,0.8,0,1.2,3.6,34.2,0.6428571428571429
81,960.6,0.4,0.4,1.2,2.8,34.6,0.5833333333333334
82,960.4,0.4,0.2,1.0,3.2,34.8,0.6666666666666666
83,960.6,0.2,0,1.2,3.2,34.8,0.6956521739130436
84,960.4,0.6,0,1.2,3.2,34.6,0.64
85,960.0,1.0,0,1.0,3.2,34.8,0.6153846153846154
86,960.0,0.6,0.6,1.0,3.0,34.8,0.5769230769230769
87,960.2,0.6,0.2,0.8,3.4,34.8,0.6799999999999999
88,960.6,0.6,0,0.6,3.2,35.0,0.7272727272727273
89,960.6,0.2,0.4,0.6,2.6,35.6,0.6842105263157895
90,960.4,0.6,0,0.6,3.0,35.4,0.7142857142857143
91,960.8,0.2,0.2,0.8,2.8,35.2,0.7
92,961.0,0.2,0,0.8,3.0,35.0,0.75
93,960.4,0.8,0,0.6,2.6,35.6,0.65
94,960.8,0.4,0,0.8,2.6,35.4,0.6842105263157895
95,961.0,0,0.2,1.0,2.6,35.2,0.6842105263157895
96,961.0,0.2,0,1.0,2.6,35.2,0.6842105263157895
97,961.4,0.2,0,0.8,2.6,35.0,0.7222222222222222
98,962.0,0.2,0,0.6,2.6,34.6,0.7647058823529411
99,962.0,0.2,0,0.6,2.6,34.6,0.7647058823529411
100,962.2,0.2,0,0.6,2.4,34.6,0.7499999999999999
101,962.4,0.2,0,0.6,2.4,34.4,0.7499999999999999
102,962.4,0.2,0,0.6,2.2,34.6,0.7333333333333334
103,962.2,0.4,0,0.6,2.0,34.8,0.6666666666666666
104,962.0,0.8,0,0.6,1.6,35.0,0.5333333333333333
105,962.0,0.8,0,0.6,1.6,35.0,0.5333333333333333
106,962.0,0.8,0,0.4,1.4,35.4,0.5384615384615384
107,962.4,0.8,0,0.4,1.2,35.2,0.4999999999999999
108,962.6,0.8,0,0.4,1.2,35.0,0.4999999999999999
109,962.6,0.8,0,0.2,1.2,35.2,0.5454545454545454
110,962.6,0.6,0,0.4,1.2,35.2,0.5454545454545454
111,962.8,0.4,0.2,0.4,1.2,35.0,0.5454545454545454
112,964.0,0.4,0,0.4,1.2,34.0,0.6
113,964.6,0.2,0,0.6,1.2,33.4,0.6
114,965.0,0.2,0,0.6,1.2,33.0,0.6
115,965.2,0.2,0,0.4,1.0,33.2,0.625
116,965.4,0.2,0,0.4,1.0,33.0,0.625
117,965.6,0.2,0,0.4,0.6,33.2,0.4999999999999999
118,965.6,0.2,0,0.4,0.6,33.2,0.4999999999999999
119,965.6,0.2,0,0.4,0.6,33.2,0.4999999999999999
120,965.8,0.2,0,0.4,0.6,33.0,0.4999999999999999
121,966.0,0.2,0,0.4,0.6,32.8,0.4999999999999999
122,966.0,0,0.2,0.4,0.6,32.8,0.4999999999999999
123,966.4,0,0,0.4,0.6,32.6,0.6
124,966.6,0,0,0.4,0.6,32.4,0.6
125,966.6,0.2,0,0.4,0.6,32.2,0.4999999999999999
126,966.6,0.4,0,0.4,0.6,32.0,0.4285714285714286
127,967.0,0.2,0.2,0.4,0.4,31.8,0.3333333333333333
128,967.8,0.2,0,0.4,0.6,31.0,0.4999999999999999
129,968.0,0,0.2,0.4,0.6,30.8,0.4999999999999999
130,968.0,0,0,0.4,0.8,30.8,0.6666666666666666
131,968.0,0,0,0.4,0.6,31.0,0.6
132,968.2,0.2,0,0.4,0.2,31.0,0.25
133,968.4,0.2,0,0.4,0.2,30.8,0.25
134,968.8,0.2,0,0.4,0.2,30.4,0.25
135,968.8,0.2,0,0.4,0.2,30.4,0.25
136,969.0,0.2,0,0.4,0,30.4,0.0
137,969.2,0.2,0,0.4,0,30.2,0.0
138,969.2,0.4,0,0.2,0,30.2,0.0
139,969.2,0.4,0,0.2,0,30.2,0.0
140,970.0,0.2,0,0.4,0,29.4,0.0
