Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,994.0,1.0,5.0,0,0,0,0.0
1,993.0,1.8,5.0,0,0,0.2,0.0
2,991.2,3.4,4.6,0,0,0.8,0.0
3,990.2,4.0,4.2,0.4,0,1.2,0.0
4,989.8,3.4,5.0,0.4,0,1.4,0.0
5,988.6,4.0,5.0,0.6,0,1.8,0.0
6,987.4,4.6,5.0,0.6,0,2.4,0.0
7,985.2,5.6,4.8,1.0,0,3.4,0.0
8,984.6,5.4,4.2,1.6,0,4.2,0.0
9,984.0,4.8,4.8,2.0,0,4.4,0.0
10,983.0,5.8,4.6,1.8,0,4.8,0.0
11,981.8,5.6,5.4,2.0,0,5.2,0.0
12,981.4,5.8,5.6,2.0,0,5.2,0.0
13,980.0,6.0,5.8,2.6,0,5.6,0.0
14,979.0,5.8,5.4,3.2,0,6.6,0.0
15,978.2,5.2,5.6,3.4,0,7.6,0.0
16,977.2,5.0,5.6,4.2,0,8.0,0.0
17,974.6,6.4,6.0,4.4,0,8.6,0.0
18,973.2,7.2,6.0,3.8,0,9.8,0.0
19,970.4,8.4,7.0,4.4,0,9.8,0.0
20,968.8,7.6,8.0,5.2,0,10.4,0.0
21,967.8,8.0,8.0,5.6,0,10.6,0.0
22,964.8,10.2,8.6,5.4,0,11.0,0.0
23,960.6,13.0,8.8,5.4,0,12.2,0.0
24,958.4,12.6,9.6,6.2,0,13.2,0.0
25,955.6,13.0,10.8,6.2,0,14.4,0.0
26,953.2,11.8,12.0,7.0,0,16.0,0.0
27,949.8,13.2,12.6,7.6,0,16.8,0.0
28,946.2,13.0,13.4,9.0,0,18.4,0.0
29,943.0,13.0,14.2,10.2,0,19.6,0.0
30,939.4,13.8,9.6,11.0,6.0,20.2,0.1485148514851485
31,937.6,13.0,6.8,10.6,9.6,22.4,0.24
32,934.8,13.6,4.8,10.8,11.8,24.2,0.2878048780487805
33,932.6,13.0,4.2,10.4,12.8,27.0,0.3168316831683168
34,930.6,11.8,3.6,10.2,14.6,29.2,0.36318407960199
35,928.8,11.0,3.0,10.8,15.6,30.8,0.38613861386138615
36,926.6,10.8,2.8,10.8,15.8,33.2,0.39303482587064675
37,926.0,10.4,2.0,10.6,16.4,34.6,0.416243654822335
38,923.2,10.4,3.2,10.6,15.2,37.4,0.3857868020304568
39,922.6,8.6,2.2,11.0,16.8,38.8,0.43523316062176165
40,920.8,8.6,1.4,11.0,17.0,41.2,0.4473684210526316
41,919.6,8.2,1.4,11.0,17.0,42.8,0.45212765957446804
42,917.8,8.4,1.2,11.0,16.8,44.8,0.4491978609625668
