Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,986.6,3.4,9.4,0,0,0.6,0.0
1,982.6,6.8,9.0,0,0,1.6,0.0
2,979.8,8.2,9.6,0.8,0,1.6,0.0
3,976.6,9.2,10.6,1.8,0,1.8,0.0
4,974.0,9.4,10.8,3.2,0,2.6,0.0
5,970.2,11.4,11.0,3.4,0,4.0,0.0
6,967.2,12.0,12.0,3.8,0,5.0,0.0
7,964.0,11.4,13.6,5.2,0,5.8,0.0
8,959.4,13.6,14.0,5.8,0,7.2,0.0
9,954.6,16.0,14.6,6.0,0,8.8,0.0
10,950.0,18.4,15.0,6.0,0,10.6,0.0
11,945.4,19.0,15.2,7.6,0,12.8,0.0
12,941.6,18.8,16.0,9.4,0,14.2,0.0
13,934.4,22.8,16.6,9.2,0,17.0,0.0
14,929.6,23.6,17.8,9.8,0,19.2,0.0
15,926.0,22.2,19.8,10.2,0,21.8,0.0
16,921.4,21.6,20.8,12.0,0,24.2,0.0
17,916.0,23.0,23.2,10.8,0,27.0,0.0
18,909.2,24.2,26.6,11.2,0,28.8,0.0
19,901.4,26.2,28.2,13.0,0,31.2,0.0
20,895.2,25.8,22.0,14.8,8.2,34.0,0.11581920903954802
21,888.2,27.6,16.4,16.0,14.6,37.2,0.1957104557640751
22,882.6,28.2,13.2,16.8,18.4,40.8,0.2402088772845953
23,876.6,29.0,10.4,17.8,22.2,44.0,0.2795969773299748
24,870.8,30.6,7.6,18.4,25.4,47.2,0.3097560975609756
25,865.4,29.0,9.2,18.8,27.4,50.2,0.32464454976303314
26,860.2,28.8,9.2,18.6,30.2,53.0,0.347926267281106
27,856.8,27.6,7.4,20.4,32.0,55.8,0.36613272311212813
28,851.8,29.0,6.8,19.4,32.6,60.4,0.3712984054669704
29,847.4,29.2,7.4,19.2,33.6,63.2,0.37583892617449666
30,843.2,29.6,6.6,19.4,33.4,67.8,0.3752808988764045
31,840.2,28.0,5.2,20.2,35.6,70.8,0.4
32,836.0,27.2,6.2,21.2,34.4,75.0,0.3865168539325843
33,832.8,24.8,6.0,23.0,34.6,78.8,0.3914027149321267
34,827.4,24.0,6.4,23.8,35.6,82.8,0.3964365256124721
35,824.8,22.4,6.2,24.0,36.2,86.4,0.4076576576576577
36,818.2,23.8,6.4,23.6,37.0,91.0,0.4074889867841409
37,814.8,24.8,4.8,22.4,37.2,96.0,0.41704035874439466
38,811.4,24.8,5.2,20.6,38.2,99.8,0.43018018018018017
39,807.6,23.4,5.6,20.6,38.4,104.4,0.43636363636363634
40,803.4,22.8,4.0,20.6,40.0,109.2,0.45766590389016015
41,801.6,21.0,2.0,21.4,39.6,114.4,0.4714285714285714
42,800.4,18.4,2.8,22.4,40.2,115.8,0.4797136038186158
43,796.0,19.4,2.6,21.6,41.2,119.2,0.48584905660377353
44,792.2,19.8,3.2,22.0,38.6,124.2,0.46172248803827753
45,791.0,17.8,3.4,21.8,39.8,126.2,0.48067632850241543
46,787.8,18.2,2.6,22.0,39.2,130.2,0.4780487804878049
47,786.2,17.8,2.0,21.6,39.2,133.2,0.48635235732009924
48,784.0,17.2,2.8,20.0,38.6,137.4,0.49109414758269726
49,781.6,16.4,2.6,19.6,39.2,140.6,0.5038560411311054
50,780.6,15.2,2.4,18.0,40.2,143.6,0.5303430079155673
51,778.8,14.8,1.8,18.0,40.0,146.6,0.5361930294906166
52,777.4,14.4,2.4,17.2,38.2,150.4,0.5290858725761773
53,774.2,14.8,1.4,17.2,36.4,156.0,0.5214899713467048
54,773.6,13.4,1.6,18.2,35.0,158.2,0.5131964809384164
55,772.8,12.4,2.2,16.6,33.6,162.4,0.5185185185185185
56,771.4,12.8,1.2,16.0,34.2,164.4,0.5327102803738318
57,770.8,12.8,0.6,15.8,34.4,165.6,0.5408805031446541
58,769.8,12.0,1.4,15.2,32.4,169.2,0.5311475409836065
59,769.0,12.8,0.6,14.4,32.6,170.6,0.5397350993377483
60,767.4,12.4,0.8,14.8,30.2,174.4,0.5189003436426116
61,766.8,9.4,2.4,14.6,28.8,178.0,0.5217391304347826
62,765.8,8.2,2.2,13.2,29.8,180.8,0.5580524344569289
63,766.2,7.0,0.6,12.6,31.0,182.6,0.60546875
64,765.6,7.0,1.2,12.4,28.8,185.0,0.582995951417004
65,765.6,7.0,0.6,12.6,28.0,186.2,0.5809128630705394
66,765.6,7.0,1.2,11.8,26.8,187.6,0.5726495726495727
67,766.2,6.8,0.8,10.8,27.0,188.4,0.5947136563876653
68,765.6,6.8,0.6,10.8,26.4,189.8,0.5919282511210763
69,764.4,7.6,0.4,10.4,24.0,193.2,0.5660377358490566
