Day,Strategy,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,LocalGNTS-14,987.0,3.0,8.4,0,0,1.6,0.0
1,LocalGNTS-14,984.6,4.2,8.0,0.8,0,2.4,0.0
2,LocalGNTS-14,981.8,6.4,7.6,1.0,0,3.2,0.0
3,LocalGNTS-14,978.2,8.0,7.8,2.0,0,4.0,0.0
4,LocalGNTS-14,973.8,11.4,8.0,2.2,0,4.6,0.0
5,LocalGNTS-14,972.6,10.2,8.6,3.8,0,4.8,0.0
6,LocalGNTS-14,969.0,11.8,9.4,3.8,0,6.0,0.0
7,LocalGNTS-14,967.6,10.8,9.2,5.0,0,7.4,0.0
8,LocalGNTS-14,964.4,12.2,9.6,5.4,0,8.4,0.0
9,LocalGNTS-14,961.4,13.0,10.4,5.8,0,9.4,0.0
10,LocalGNTS-14,957.8,14.4,11.0,6.2,0,10.6,0.0
11,LocalGNTS-14,953.6,15.4,12.2,7.6,0,11.2,0.0
12,LocalGNTS-14,948.4,18.4,12.8,8.0,0,12.4,0.0
13,LocalGNTS-14,945.4,17.8,13.8,9.8,0,13.2,0.0
14,LocalGNTS-14,941.6,18.8,14.4,10.2,0,15.0,0.0
15,LocalGNTS-14,937.2,19.0,16.8,10.6,0,16.4,0.0
16,LocalGNTS-14,929.4,22.6,18.0,10.8,0,19.2,0.0
17,LocalGNTS-14,922.4,25.4,19.4,12.0,0,20.8,0.0
18,LocalGNTS-14,914.8,27.6,21.2,12.8,0,23.6,0.0
19,LocalGNTS-14,906.0,32.2,22.8,13.4,0,25.6,0.0
20,LocalGNTS-14,902.6,26.4,10.6,15.2,18.4,26.8,0.26062322946175637
21,LocalGNTS-14,898.8,23.8,5.8,15.4,25.0,31.2,0.35714285714285715
22,LocalGNTS-14,895.4,21.4,4.0,16.4,28.6,34.2,0.40625
23,LocalGNTS-14,891.4,21.0,3.0,17.8,30.6,36.2,0.42265193370165743
24,LocalGNTS-14,887.6,21.8,1.2,17.4,31.8,40.2,0.4404432132963989
25,LocalGNTS-14,883.8,20.8,3.2,17.8,32.0,42.4,0.43360433604336046
26,LocalGNTS-14,879.6,21.8,1.4,17.8,34.2,45.2,0.4547872340425532
27,LocalGNTS-14,877.0,18.8,3.0,18.4,34.8,48.0,0.46399999999999997
28,LocalGNTS-14,874.2,17.4,3.4,19.0,35.2,50.8,0.4693333333333334
29,LocalGNTS-14,870.6,17.8,2.2,20.0,35.4,54.0,0.4694960212201591
30,LocalGNTS-14,866.6,19.0,1.8,20.4,35.2,57.0,0.4607329842931937
31,LocalGNTS-14,861.6,20.0,3.0,20.2,35.0,60.2,0.4475703324808184
32,LocalGNTS-14,858.2,19.0,4.0,20.0,35.4,63.4,0.45153061224489793
33,LocalGNTS-14,854.0,20.4,2.8,18.8,37.0,67.0,0.46835443037974683
34,LocalGNTS-14,850.2,21.0,3.2,17.6,36.0,72.0,0.46272493573264784
35,LocalGNTS-14,848.6,19.4,3.2,17.2,35.2,76.4,0.4693333333333334
36,LocalGNTS-14,845.8,18.4,3.4,17.2,35.2,80.0,0.4743935309973046
37,LocalGNTS-14,843.0,17.4,2.2,18.0,35.2,84.2,0.4835164835164836
38,LocalGNTS-14,840.6,17.2,2.4,18.0,34.4,87.4,0.47777777777777775
39,LocalGNTS-14,838.4,16.8,3.0,17.4,34.8,89.6,0.4833333333333333
40,LocalGNTS-14,836.4,14.2,2.2,18.2,34.2,94.8,0.497093023255814
41,LocalGNTS-14,835.0,11.6,3.2,17.0,35.8,97.4,0.5295857988165681
42,LocalGNTS-14,832.4,11.6,2.6,15.6,35.2,102.6,0.5415384615384616
43,LocalGNTS-14,831.2,11.2,1.6,15.2,37.0,103.8,0.5692307692307692
44,LocalGNTS-14,829.8,10.0,1.8,14.8,36.0,107.6,0.5750798722044729
45,LocalGNTS-14,828.6,10.0,1.8,14.8,35.8,109.0,0.5737179487179487
46,LocalGNTS-14,827.4,10.6,1.0,14.4,35.8,110.8,0.5792880258899676
47,LocalGNTS-14,825.8,11.2,0.8,14.0,33.6,114.6,0.5637583892617449
48,LocalGNTS-14,825.6,9.4,1.6,14.8,32.8,115.8,0.5597269624573379
49,LocalGNTS-14,824.4,9.6,1.0,14.4,31.4,119.2,0.5567375886524822
50,LocalGNTS-14,823.6,8.8,1.6,14.0,29.8,122.2,0.5498154981549815
51,LocalGNTS-14,822.6,9.0,1.0,13.4,28.8,125.2,0.5517241379310345
52,LocalGNTS-14,822.2,9.2,0.2,13.6,26.4,128.4,0.534412955465587
53,LocalGNTS-14,820.2,10.8,0.2,12.8,24.2,131.8,0.5041666666666667
54,LocalGNTS-14,818.2,11.0,1.6,13.4,22.2,133.6,0.4605809128630705
55,LocalGNTS-14,817.4,11.6,0.8,13.6,22.0,134.6,0.4583333333333333
56,LocalGNTS-14,815.8,12.0,1.4,13.4,22.2,135.2,0.4530612244897959
57,LocalGNTS-14,813.0,12.0,1.8,14.0,22.6,136.6,0.4484126984126984
58,LocalGNTS-14,812.2,10.4,2.2,14.6,22.2,138.4,0.4493927125506072
59,LocalGNTS-14,811.6,10.4,0.4,14.4,22.8,140.4,0.47500000000000003
60,LocalGNTS-14,809.8,10.6,1.6,13.6,22.0,142.4,0.46025104602510464
61,LocalGNTS-14,809.4,9.6,1.0,13.6,21.8,144.6,0.4739130434782609
62,LocalGNTS-14,807.2,10.2,1.4,13.2,20.2,147.8,0.4488888888888889
63,LocalGNTS-14,805.8,10.4,1.2,12.6,20.0,150.0,0.4524886877828054
64,LocalGNTS-14,804.4,10.4,0.8,12.6,19.8,152.0,0.4541284403669725
65,LocalGNTS-14,802.4,10.8,1.8,12.0,18.8,154.2,0.4331797235023041
66,LocalGNTS-14,802.0,9.6,1.4,12.0,19.8,155.2,0.4626168224299066
67,LocalGNTS-14,800.0,9.8,1.4,11.4,19.4,158.0,0.4619047619047619
68,LocalGNTS-14,799.0,9.2,1.2,11.2,19.6,159.8,0.47572815533980584
69,LocalGNTS-14,798.4,8.8,1.4,10.4,20.0,161.0,0.49261083743842365
70,LocalGNTS-14,797.8,8.6,1.6,11.2,20.6,160.2,0.4904761904761905
71,LocalGNTS-14,796.2,10.0,0.6,10.8,21.4,161.0,0.5
72,LocalGNTS-14,795.0,10.0,1.6,10.6,20.8,162.0,0.48372093023255813
73,LocalGNTS-14,795.4,9.2,0.8,10.6,20.8,163.2,0.502415458937198
74,LocalGNTS-14,795.2,8.8,0.8,10.2,20.8,164.2,0.5123152709359606
75,LocalGNTS-14,794.6,7.6,1.6,9.8,18.6,167.8,0.4946808510638298
76,LocalGNTS-14,793.8,8.0,1.2,9.6,18.8,168.6,0.5000000000000001
77,LocalGNTS-14,791.8,8.6,0.8,9.0,18.0,171.8,0.4945054945054945
78,LocalGNTS-14,790.6,7.8,0.6,9.6,17.4,174.0,0.4915254237288135
79,LocalGNTS-14,789.4,7.8,1.0,9.4,16.2,176.2,0.4709302325581394
80,LocalGNTS-14,789.6,8.0,0.8,8.8,16.2,176.6,0.47928994082840237
81,LocalGNTS-14,788.4,8.0,0.4,9.0,16.8,177.4,0.49122807017543857
82,LocalGNTS-14,788.0,7.8,1.0,8.6,15.8,178.8,0.4759036144578313
83,LocalGNTS-14,787.6,8.2,0.4,8.4,15.4,180.0,0.4753086419753087
84,LocalGNTS-14,788.8,7.8,1.0,8.8,14.2,179.4,0.4465408805031446
85,LocalGNTS-14,789.0,7.2,0.6,8.0,14.6,180.6,0.48026315789473684
86,LocalGNTS-14,789.4,7.0,0.4,7.2,14.4,181.6,0.496551724137931
87,LocalGNTS-14,789.2,6.2,1.0,7.6,13.8,182.2,0.4825174825174825
88,LocalGNTS-14,787.6,6.4,1.0,7.6,13.6,183.8,0.47552447552447547
89,LocalGNTS-14,787.6,7.4,0.6,6.0,14.0,184.4,0.5
90,LocalGNTS-14,787.4,7.4,0.8,5.6,14.2,184.6,0.5071428571428571
91,LocalGNTS-14,786.6,7.6,1.0,5.4,14.4,185.0,0.5070422535211268
92,LocalGNTS-14,786.2,6.6,1.2,6.0,13.4,186.6,0.4926470588235294
93,LocalGNTS-14,785.2,6.2,0.6,7.4,13.8,186.8,0.4928571428571429
94,LocalGNTS-14,785.6,5.0,1.4,7.8,13.8,186.4,0.4928571428571429
