Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,1979.4,10.6,9.6,0,0,0.4,0.0
1,1971.2,17.8,9.0,0.2,0,1.8,0.0
2,1964.2,21.8,10.6,1.0,0,2.4,0.0
3,1956.2,26.4,12.0,2.6,0,2.8,0.0
4,1948.6,27.4,15.2,5.2,0,3.6,0.0
5,1936.2,33.8,17.6,7.2,0,5.2,0.0
6,1916.8,44.6,21.6,10.8,0,6.2,0.0
7,1901.8,52.0,24.2,13.6,0,8.4,0.0
8,1875.6,68.4,28.6,17.4,0,10.0,0.0
9,1851.4,76.8,35.0,23.0,0,13.8,0.0
10,1815.2,96.6,43.4,28.2,0,16.6,0.0
11,1773.0,118.4,52.0,34.6,0,22.0,0.0
12,1725.0,143.0,61.0,42.0,0,29.0,0.0
13,1675.0,162.8,73.8,50.6,0,37.8,0.0
14,1609.6,199.2,87.4,57.4,0,46.4,0.0
15,1541.2,227.8,106.2,67.8,0,57.0,0.0
16,1462.6,259.8,125.4,82.0,0,70.2,0.0
17,1377.2,297.6,145.8,96.6,0,82.8,0.0
18,1276.0,339.0,170.4,115.0,0,99.6,0.0
19,1174.2,375.2,199.8,133.8,0,117.0,0.0
20,1076.4,402.2,209.0,149.4,23.0,140.0,0.029351710056151097
21,982.4,423.0,201.4,170.8,59.0,163.4,0.06907047529852493
22,892.6,430.4,196.8,189.0,96.8,194.4,0.10602409638554217
23,803.0,436.8,189.0,208.8,133.6,228.8,0.13798801900433796
24,726.8,430.0,187.0,226.6,163.4,266.2,0.16226415094339625
25,652.6,414.2,190.4,245.6,192.2,305.0,0.1843821949347659
26,587.8,394.8,192.0,260.2,216.8,348.4,0.20379770633577743
27,520.4,381.0,202.6,268.8,237.8,389.4,0.21812511465786094
28,463.2,367.2,205.0,272.4,256.0,436.2,0.23260039978193714
29,416.0,339.2,210.0,278.4,269.8,486.6,0.24585383634044103
30,369.6,314.2,205.2,287.8,281.8,541.4,0.2587695133149679
31,329.8,288.2,204.4,291.0,294.0,592.6,0.27282850779510026
32,296.6,266.0,194.8,287.0,305.0,650.6,0.2897036474164134
33,266.0,243.6,190.2,281.2,318.8,700.2,0.3083768620622945
34,236.2,220.2,185.0,277.2,327.4,754.0,0.3242226183402654
35,214.4,195.0,180.2,272.2,331.8,806.4,0.3388480392156863
36,190.6,179.6,169.8,263.2,335.6,861.2,0.3539337692469944
37,174.4,162.8,160.0,253.2,337.4,912.2,0.36938909568644623
38,161.6,149.6,149.0,242.2,338.4,959.2,0.3848953594176524
39,150.4,130.0,138.6,230.8,342.0,1008.2,0.4064654147848823
40,144.4,103.6,110.6,205.4,377.8,1058.2,0.47378981690494104
41,135.6,86.4,85.4,189.8,401.0,1101.8,0.5258326776816155
42,134.2,72.4,62.4,175.0,414.8,1141.2,0.5724537675959149
43,133.2,62.8,39.2,164.4,414.2,1186.2,0.6085806641198943
44,134.2,52.4,20.6,158.0,410.8,1224.0,0.6400747896540979
45,132.6,49.2,8.4,143.2,406.8,1259.8,0.6695194206714944
46,136.0,40.8,3.6,129.0,401.0,1289.6,0.6981197771587744
47,139.8,34.8,3.8,111.2,391.2,1319.2,0.723105360443623
48,143.6,29.8,3.6,96.8,375.6,1350.6,0.7425860023724793
49,146.2,26.4,3.4,89.0,357.4,1377.6,0.75052498950021
50,150.8,21.8,3.4,79.4,342.6,1402.0,0.7661001788908766
51,155.4,18.6,2.4,73.4,325.8,1424.4,0.7753450737743931
52,162.2,16.0,2.0,68.6,306.0,1445.2,0.7794192562404483
53,168.2,16.6,2.0,64.4,285.4,1463.4,0.7747014115092291
54,172.8,14.2,2.2,60.6,268.8,1481.4,0.7773279352226721
55,177.8,14.2,2.2,56.4,251.4,1498.0,0.7754472547809994
56,186.6,12.8,0.8,52.8,235.0,1512.0,0.7796947577969476
57,193.0,12.8,1.2,49.8,219.8,1523.4,0.7750352609308886
58,198.0,11.4,2.6,48.0,208.8,1531.2,0.7710487444608567
59,205.0,10.8,0.4,44.8,198.0,1541.0,0.7795275590551181
60,212.2,11.6,0.6,42.0,184.6,1549.0,0.7730318257956448
61,217.6,11.8,1.2,38.8,169.2,1561.4,0.7656108597285067
62,225.8,9.6,1.8,36.0,158.2,1568.6,0.7694552529182879
63,232.8,10.4,0.8,32.0,150.6,1573.4,0.7770897832817337
64,239.0,11.0,0.6,29.2,139.6,1580.6,0.7738359201773837
65,246.0,10.0,1.4,27.8,130.0,1584.8,0.7683215130023641
66,253.8,8.4,1.4,25.2,124.0,1587.2,0.779874213836478
67,259.8,9.0,0.8,23.6,116.2,1590.6,0.7767379679144384
68,265.6,9.8,0.6,22.2,110.0,1591.8,0.7713884992987378
69,275.0,8.0,2.0,20.6,104.2,1590.2,0.7729970326409495
70,281.4,7.0,1.2,18.8,97.8,1593.8,0.7836538461538461
71,288.2,6.8,0.6,17.0,92.2,1595.2,0.79073756432247
72,296.6,5.2,0.8,17.0,88.0,1592.4,0.7927927927927928
73,305.2,5.0,0.2,16.0,82.4,1591.2,0.7953667953667953
74,314.8,5.2,0.6,14.6,77.2,1587.6,0.7909836065573771
75,325.0,5.4,0.2,12.8,73.6,1583.0,0.7999999999999999
76,333.8,5.6,0.8,11.6,69.4,1578.8,0.7940503432494279
77,341.4,4.4,1.2,11.6,65.8,1575.6,0.7927710843373493
78,350.4,4.4,0.6,10.8,61.8,1572.0,0.7963917525773196
79,358.6,3.6,1.0,10.0,59.2,1567.6,0.8021680216802168
80,363.0,4.0,0.6,9.4,58.0,1565.0,0.8055555555555556
81,370.6,3.6,0.2,9.6,54.2,1561.8,0.8017751479289941
