Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,1983.8,6.2,9.0,0,0,1.0,0.0
1,1979.0,9.8,8.6,0.4,0,2.2,0.0
2,1972.6,14.8,9.2,1.0,0,2.4,0.0
3,1967.4,16.8,9.8,2.6,0,3.4,0.0
4,1961.0,20.0,10.4,4.0,0,4.6,0.0
5,1953.0,24.2,12.0,5.4,0,5.4,0.0
6,1942.2,30.4,13.2,7.2,0,7.0,0.0
7,1931.0,34.2,16.2,10.0,0,8.6,0.0
8,1914.6,43.4,20.4,11.4,0,10.2,0.0
9,1896.2,52.2,23.6,15.6,0,12.4,0.0
10,1873.4,65.4,27.4,19.4,0,14.4,0.0
11,1842.2,84.4,32.4,23.4,0,17.6,0.0
12,1811.8,100.0,38.2,27.0,0,23.0,0.0
13,1780.4,112.4,47.6,32.4,0,27.2,0.0
14,1737.8,131.0,60.8,37.8,0,32.6,0.0
15,1684.4,160.2,71.8,44.4,0,39.2,0.0
16,1627.0,187.8,84.2,53.4,0,47.6,0.0
17,1560.4,222.8,97.0,63.4,0,56.4,0.0
18,1483.2,254.8,116.0,77.0,0,69.0,0.0
19,1403.2,288.2,134.4,88.6,0,85.6,0.0
20,1321.0,312.6,136.8,106.4,22.8,100.4,0.0394054614586934
21,1245.4,327.8,131.0,122.8,56.8,116.2,0.08897243107769423
22,1164.0,333.8,134.8,141.2,86.6,139.6,0.12435381964388283
23,1081.0,351.4,138.8,150.8,111.0,167.0,0.14760638297872342
24,1001.8,359.2,149.0,163.6,128.8,197.6,0.16087934049462907
25,924.0,361.0,158.2,180.8,148.2,227.8,0.17472294270219285
26,847.6,365.0,161.4,194.6,167.8,263.6,0.18879387938793882
27,769.8,370.8,170.4,202.8,186.4,299.8,0.2003439380911436
28,697.4,372.4,174.2,214.2,202.0,339.8,0.2098047361861238
29,634.6,360.6,180.0,227.2,217.4,380.2,0.22066585464880228
30,577.2,348.4,179.6,238.6,232.4,423.8,0.23263263263263265
31,528.6,321.6,179.6,255.4,250.6,464.2,0.24880857823669578
32,481.4,309.0,177.6,255.2,263.0,513.8,0.2617436305732484
33,429.2,302.4,176.4,255.4,276.6,560.0,0.2736446379105659
34,389.8,288.8,172.0,254.2,289.4,605.8,0.2881322182397451
35,352.8,263.8,178.4,253.6,300.6,650.8,0.3016860698514653
36,326.2,239.6,172.2,254.2,310.8,697.0,0.31818181818181823
37,294.2,226.2,166.6,254.4,316.8,741.8,0.32863070539419087
38,268.6,212.8,156.4,246.4,318.0,797.8,0.34061696658097684
39,251.6,188.8,151.2,242.6,318.2,847.6,0.35324156305506216
40,232.8,158.2,129.0,222.8,357.2,900.0,0.41190036900369
41,217.6,138.8,105.6,208.2,382.8,947.0,0.45822360545846297
42,213.6,120.0,81.6,195.2,401.2,988.4,0.5027568922305764
43,206.2,105.4,61.4,184.6,410.8,1031.6,0.538966150616636
44,198.4,92.2,40.4,180.2,418.0,1070.8,0.571975916803503
45,192.2,80.0,24.0,175.8,418.2,1109.8,0.5991404011461318
46,188.2,68.6,11.6,165.2,413.8,1152.6,0.6277305825242718
47,188.8,57.6,8.0,148.6,413.4,1183.6,0.6586998087954111
48,186.6,52.2,6.6,131.6,407.6,1215.4,0.6816053511705686
49,186.4,45.6,4.4,119.8,396.4,1247.4,0.7001059696220416
50,189.2,40.2,4.4,106.4,384.0,1275.8,0.7177570093457943
51,188.4,40.0,2.8,95.4,368.6,1304.8,0.7273086029992107
52,191.6,36.6,3.0,88.0,350.4,1330.4,0.7330543933054393
53,196.4,33.6,3.4,82.6,334.0,1350.0,0.736331569664903
54,202.0,29.6,3.0,76.0,319.0,1370.4,0.746024321796071
55,205.4,27.0,4.0,71.4,301.4,1390.8,0.7464091134224864
56,208.6,25.0,3.4,66.6,288.4,1408.0,0.7522170057381324
57,212.6,23.4,2.6,63.2,267.2,1431.0,0.7497194163860831
58,218.2,19.6,3.8,60.4,252.4,1445.6,0.7507436049970256
59,223.2,18.4,1.8,57.4,240.2,1459.0,0.7558212712397735
60,226.2,19.2,2.8,52.4,226.4,1473.0,0.7526595744680851
61,232.2,17.4,1.6,50.0,217.2,1481.6,0.7589098532494759
62,237.4,15.6,2.0,47.8,204.2,1493.0,0.7574183976261126
63,242.8,14.2,1.6,47.4,193.0,1501.0,0.7533177205308353
64,247.4,14.6,0.8,44.0,181.8,1511.4,0.753731343283582
65,253.0,15.8,1.0,41.6,171.6,1517.0,0.7460869565217391
