Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,1996.0,1.0,3.0,0,0,0,0.0
1,1995.0,2.0,3.0,0,0,0,0.0
2,1994.2,2.8,2.8,0,0,0.2,0.0
3,1992.4,4.2,3.2,0,0,0.2,0.0
4,1990.2,5.6,3.4,0.4,0,0.4,0.0
5,1989.2,6.0,3.8,0.6,0,0.4,0.0
6,1987.8,6.8,3.4,1.2,0,0.8,0.0
7,1986.6,7.0,4.0,1.6,0,0.8,0.0
8,1985.8,5.2,5.2,2.4,0,1.4,0.0
9,1984.8,5.6,5.0,2.6,0,2.0,0.0
10,1982.6,6.6,5.2,3.0,0,2.6,0.0
11,1980.0,7.8,5.8,3.6,0,2.8,0.0
12,1978.2,7.8,6.8,4.2,0,3.0,0.0
13,1973.8,10.2,7.4,5.2,0,3.4,0.0
14,1971.6,9.6,9.0,5.2,0,4.6,0.0
15,1966.2,12.6,9.4,5.8,0,6.0,0.0
16,1960.6,16.6,10.0,5.8,0,7.0,0.0
17,1957.8,16.0,11.6,6.8,0,7.8,0.0
18,1952.2,18.4,12.8,7.4,0,9.2,0.0
19,1944.0,22.6,15.4,7.8,0,10.2,0.0
20,1937.2,26.2,16.8,8.8,0,11.0,0.0
21,1931.4,27.2,19.0,10.4,0,12.0,0.0
22,1923.4,28.8,20.2,13.0,0,14.6,0.0
23,1913.6,31.6,22.6,16.0,0,16.2,0.0
24,1902.6,35.8,24.8,17.6,0,19.2,0.0
25,1889.8,43.2,25.8,18.6,0,22.6,0.0
26,1876.8,50.0,29.0,18.4,0,25.8,0.0
27,1862.2,55.6,32.8,20.4,0,29.0,0.0
28,1847.8,58.6,37.8,22.2,0,33.6,0.0
29,1830.0,63.6,41.6,26.2,0,38.6,0.0
30,1812.2,69.8,44.4,31.2,0,42.4,0.0
31,1787.2,78.2,51.8,36.6,0,46.2,0.0
32,1766.0,84.4,58.2,39.4,0,52.0,0.0
33,1741.2,93.4,66.8,41.8,0,56.8,0.0
34,1709.8,107.0,71.0,47.2,0,65.0,0.0
35,1676.0,119.2,78.2,53.4,0,73.2,0.0
36,1643.8,126.4,87.2,60.2,0,82.4,0.0
37,1605.0,142.2,94.8,66.0,0,92.0,0.0
38,1569.4,152.0,103.8,72.8,0,102.0,0.0
39,1526.4,164.4,118.2,80.0,0,111.0,0.0
40,1484.4,173.4,121.2,89.0,9.0,123.0,0.02292409577177789
41,1436.4,183.2,128.8,98.0,17.0,136.6,0.03981264637002342
42,1391.0,193.6,131.4,106.8,24.0,153.2,0.05265467310223782
43,1342.6,203.4,136.6,116.2,30.2,171.0,0.062088815789473686
44,1294.6,211.8,142.6,123.8,37.4,189.8,0.07253685027152831
45,1242.8,218.8,153.0,130.8,44.6,210.0,0.08150584795321637
46,1198.0,221.0,159.2,140.0,49.6,232.2,0.08704808704808704
47,1151.6,223.4,169.8,147.2,55.4,252.6,0.09298422289358844
48,1105.4,227.8,177.8,148.8,59.4,280.8,0.09677419354838708
49,1062.2,226.2,183.2,157.4,63.6,307.4,0.10088832487309646
50,1022.6,223.2,185.0,164.0,66.6,338.6,0.10425798371947399
51,977.8,228.4,188.4,167.2,70.0,368.2,0.10703363914373089
52,936.2,225.8,197.6,168.6,72.2,399.6,0.10870219813309244
53,895.8,224.2,199.0,177.0,74.6,429.4,0.11055127445168937
54,856.8,222.2,202.2,179.0,79.4,460.4,0.11628588166373757
55,817.6,217.2,203.8,185.8,81.8,493.8,0.11879175137961082
56,781.0,218.0,203.2,189.8,84.6,523.4,0.12162162162162161
57,744.8,209.8,208.0,190.4,88.0,559.0,0.12640045963803503
58,710.4,207.6,211.0,193.6,88.2,589.2,0.12592804111936035
59,680.8,199.4,209.6,194.6,91.6,624.0,0.13176064441887225
60,651.4,193.4,195.0,196.4,108.6,655.2,0.15661955581194115
61,626.6,184.8,180.2,199.0,122.0,687.4,0.17784256559766765
62,604.0,174.0,172.0,199.4,133.4,717.2,0.19652327637006484
63,584.4,163.6,158.6,197.0,144.6,751.8,0.2178366978005423
64,566.0,151.2,147.4,194.0,153.4,788.0,0.23746130030959753
65,548.0,147.2,137.4,186.8,162.4,818.2,0.25623224992111077
66,528.2,142.0,131.2,179.6,169.2,849.8,0.2720257234726688
67,512.6,134.0,122.8,173.0,175.8,881.8,0.29029062087186264
68,499.4,122.4,118.4,171.4,181.2,907.2,0.3053589484327603
69,487.2,112.6,113.6,166.6,182.6,937.4,0.3173444560305874
70,476.2,107.0,106.6,160.6,185.0,964.6,0.330829756795422
71,467.2,101.2,103.0,155.8,181.2,991.6,0.3348115299334811
72,457.0,96.2,100.4,152.0,178.4,1016.0,0.33851992409867177
73,451.8,87.4,95.4,149.6,179.6,1036.2,0.35078125
74,448.0,80.0,88.4,147.2,176.0,1060.4,0.3580146460537022
75,440.8,76.2,81.6,144.0,174.0,1083.4,0.3656998738965952
76,433.8,73.0,75.0,138.8,172.8,1106.6,0.37597911227154046
77,426.6,71.0,66.6,133.6,167.6,1134.6,0.38195077484047407
78,421.2,67.6,62.0,129.0,165.4,1154.8,0.3900943396226415
79,416.8,61.6,59.0,125.4,160.6,1176.6,0.3949827840629611
80,413.2,59.2,52.2,118.2,164.0,1193.2,0.41666666666666663
81,408.8,56.2,46.8,113.0,161.4,1213.8,0.4276629570747218
82,407.2,50.0,40.4,109.8,159.6,1233.0,0.443579766536965
83,407.0,47.0,33.8,105.4,155.8,1251.0,0.4555555555555556
84,405.6,43.0,28.2,103.0,154.2,1266.0,0.4695493300852619
85,404.4,40.2,22.8,99.2,150.4,1283.0,0.48112603966730644
86,408.0,34.8,19.6,97.0,148.0,1292.6,0.49432197728790916
87,409.8,34.0,14.6,92.0,141.2,1308.4,0.5010645848119234
88,411.4,32.0,13.4,88.0,134.8,1320.4,0.5026099925428784
89,412.6,29.0,11.2,82.2,130.2,1334.8,0.515439429928741
90,417.8,27.6,7.8,76.2,127.4,1343.2,0.5330543933054394
91,423.6,25.0,6.6,74.2,123.8,1346.8,0.539198606271777
92,425.2,23.4,5.2,70.8,119.0,1356.4,0.5448717948717949
93,429.6,21.8,5.2,66.6,115.0,1361.8,0.551294343240652
94,434.0,21.4,4.6,60.2,110.8,1369.0,0.5624365482233502
95,438.2,19.2,4.6,56.2,109.4,1372.4,0.5776135163674763
96,444.6,16.8,4.4,51.0,105.6,1377.6,0.59392575928009
97,447.6,17.6,2.0,48.2,104.6,1380.0,0.6067285382830626
98,454.0,16.0,1.6,46.6,97.4,1384.4,0.6027227722772277
99,460.0,14.6,1.6,45.0,93.2,1385.6,0.6036269430051814
100,463.2,13.6,1.4,43.0,89.2,1389.6,0.6059782608695653
101,467.0,14.8,0.8,41.0,83.6,1392.8,0.5962910128388017
102,470.2,15.0,0.6,40.2,79.0,1395.0,0.586053412462908
103,477.8,14.6,1.0,39.8,74.6,1392.2,0.5738461538461538
104,485.4,13.4,1.2,37.6,69.2,1393.2,0.5700164744645799
105,491.8,12.0,2.2,37.8,66.0,1390.2,0.559322033898305
106,498.6,11.8,1.2,35.8,62.4,1390.2,0.5611510791366907
107,503.0,11.2,2.0,34.0,60.4,1389.4,0.5613382899628253
108,508.6,12.6,1.0,32.0,58.2,1387.6,0.5606936416184971
109,514.2,12.0,1.4,28.8,54.0,1389.6,0.5613305613305614
110,522.8,10.8,1.4,26.6,51.6,1386.8,0.5707964601769911
111,529.0,9.8,0.8,25.2,48.8,1386.4,0.5768321513002365
112,536.4,9.8,0.6,24.8,45.8,1382.6,0.5654320987654321
113,541.8,9.4,2.0,23.8,44.4,1378.6,0.5577889447236181
114,548.8,9.0,0.8,23.0,43.4,1375.0,0.5695538057742783
115,555.2,8.8,1.6,21.6,41.0,1371.8,0.5616438356164384
116,561.8,9.4,0.6,19.8,40.0,1368.4,0.5730659025787966
117,568.2,9.0,1.4,18.6,36.0,1366.8,0.5538461538461539
118,573.2,7.6,0.8,17.8,35.8,1364.8,0.5774193548387097
119,577.8,7.2,1.0,17.2,34.0,1362.8,0.5723905723905724
120,584.0,6.6,1.0,16.0,31.6,1360.8,0.572463768115942
121,590.4,7.6,0.4,15.0,31.0,1355.6,0.5740740740740741
122,598.0,6.4,0.8,14.2,29.2,1351.4,0.5770750988142292
123,606.0,5.6,1.0,14.2,27.6,1345.6,0.5702479338842976
124,614.0,5.8,0,12.6,26.4,1341.2,0.5892857142857143
125,619.0,6.0,0.4,12.8,23.6,1338.2,0.5514018691588785
126,628.6,4.6,0.8,13.4,22.6,1330.0,0.5458937198067633
127,636.8,5.0,0.4,12.4,22.6,1322.8,0.5594059405940593
128,647.6,5.0,0.6,12.2,21.2,1313.4,0.5435897435897435
