Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,1981.8,8.2,8.8,0,0,1.2,0.0
1,1976.6,11.4,8.6,0.8,0,2.6,0.0
2,1970.4,15.4,9.0,1.8,0,3.4,0.0
3,1964.2,17.4,11.2,3.0,0,4.2,0.0
4,1956.8,22.2,12.6,4.2,0,4.2,0.0
5,1946.8,27.2,15.0,5.8,0,5.2,0.0
6,1934.8,35.0,17.0,7.0,0,6.2,0.0
7,1920.0,44.0,18.6,8.4,0,9.0,0.0
8,1903.8,52.2,21.0,10.6,0,12.4,0.0
9,1885.4,59.2,28.4,13.4,0,13.6,0.0
10,1864.8,69.4,32.4,17.2,0,16.2,0.0
11,1836.0,84.4,36.4,23.0,0,20.2,0.0
12,1802.4,100.2,45.8,26.6,0,25.0,0.0
13,1761.4,120.2,54.2,34.0,0,30.2,0.0
14,1722.0,138.0,62.0,42.0,0,36.0,0.0
15,1668.8,158.0,74.2,55.6,0,43.4,0.0
16,1599.2,196.0,88.0,62.2,0,54.6,0.0
17,1527.6,231.0,105.8,69.8,0,65.8,0.0
18,1448.8,261.4,128.0,80.4,0,81.4,0.0
19,1366.8,295.2,148.2,94.2,0,95.6,0.0
20,1276.8,325.2,161.4,112.6,9.2,114.8,0.015121630506245888
21,1178.6,363.4,179.4,127.2,17.6,133.8,0.02559627690517743
22,1079.6,382.2,201.0,157.2,26.0,154.0,0.03392484342379958
23,977.2,414.4,219.2,173.4,32.8,183.0,0.03905691831388426
24,880.2,431.8,241.8,193.4,39.2,213.6,0.043257559037740013
25,781.4,441.2,269.0,218.0,46.0,244.4,0.04721823034284541
26,680.4,455.8,290.6,239.2,53.2,280.8,0.051212938005390826
27,580.8,465.4,314.2,258.4,58.6,322.6,0.053437898960423134
28,494.2,463.8,342.6,274.2,63.4,361.8,0.05541958041958041
29,423.0,447.4,364.2,290.0,68.2,407.2,0.058300564199008385
30,353.8,428.8,385.4,304.6,72.2,455.2,0.06062132661628882
31,292.8,404.6,404.6,317.2,76.0,504.8,0.06320691949434463
