Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,2995.2,1.8,2.6,0,0,0.4,0.0
1,2991.8,5.0,2.4,0.2,0,0.6,0.0
2,2989.0,6.6,2.6,1.0,0,0.8,0.0
3,2986.0,8.0,3.6,1.4,0,1.0,0.0
4,2982.0,10.4,4.4,2.0,0,1.2,0.0
5,2977.2,12.4,5.4,3.0,0,2.0,0.0
6,2970.8,16.8,5.8,3.4,0,3.2,0.0
7,2962.0,21.4,8.2,4.8,0,3.6,0.0
8,2951.0,27.4,11.4,6.2,0,4.0,0.0
9,2936.2,35.4,15.4,7.4,0,5.6,0.0
10,2920.4,44.6,17.6,10.0,0,7.4,0.0
11,2901.6,53.0,23.6,13.6,0,8.2,0.0
12,2872.0,72.4,28.4,16.8,0,10.4,0.0
13,2838.4,92.4,35.2,19.6,0,14.4,0.0
14,2798.8,113.2,43.2,25.0,0,19.8,0.0
15,2747.4,142.0,55.4,31.0,0,24.2,0.0
16,2685.8,176.6,68.6,39.8,0,29.2,0.0
17,2609.4,218.0,85.8,49.8,0,37.0,0.0
18,2511.6,269.8,104.8,66.8,0,47.0,0.0
19,2405.8,321.4,132.0,82.0,0,58.8,0.0
20,2276.0,387.4,164.8,96.6,0,75.2,0.0
21,2130.2,453.8,201.4,119.8,0,94.8,0.0
22,1970.4,524.0,245.2,142.2,0,118.2,0.0
23,1789.8,600.8,290.6,175.6,0,143.2,0.0
24,1598.8,670.6,344.4,213.4,0,172.8,0.0
25,1383.4,747.8,405.6,250.8,0,212.4,0.0
26,1186.6,799.0,458.4,291.4,0,264.6,0.0
27,984.8,843.6,522.6,331.2,0,317.8,0.0
28,797.0,866.0,582.0,377.4,0,377.6,0.0
29,642.8,849.0,637.2,425.0,0,446.0,0.0
30,509.2,816.4,696.8,460.6,0,517.0,0.0
31,399.2,768.0,743.2,490.8,0,598.8,0.0
32,308.2,707.6,785.8,515.6,0,682.8,0.0
33,228.8,650.8,817.2,537.0,0,766.2,0.0
34,172.4,583.4,833.2,553.4,0,857.6,0.0
35,127.8,511.4,844.0,560.8,0,956.0,0.0
36,98.4,452.4,839.8,560.0,0,1049.4,0.0
37,76.0,391.8,833.8,555.2,0,1143.2,0.0
38,61.8,330.2,829.8,547.4,0,1230.8,0.0
39,51.0,280.2,812.8,537.0,0,1319.0,0.0
40,47.0,239.8,779.0,517.6,8.0,1408.6,0.00518000518000518
41,41.2,210.4,740.2,498.4,21.0,1488.8,0.014285714285714285
42,36.4,181.4,702.8,485.0,35.2,1559.2,0.0250640843064654
43,32.2,155.4,655.0,467.4,48.4,1641.6,0.036495249585281254
44,32.4,133.0,611.2,447.8,62.8,1712.8,0.05004781638508129
45,34.8,117.2,564.0,426.2,74.0,1783.8,0.06263754867106822
46,34.2,102.0,518.4,408.0,85.6,1851.8,0.07684021543985636
47,34.6,91.2,477.0,386.6,97.2,1913.4,0.09239543726235741
48,37.8,84.2,434.8,364.8,107.2,1971.2,0.10817356205852674
49,44.0,71.8,395.8,346.6,116.2,2025.6,0.12489251934651761
50,47.0,64.8,357.6,332.0,124.0,2074.6,0.14116575591985425
51,48.2,60.4,325.2,316.2,131.8,2118.2,0.1581094049904031
52,52.0,56.8,294.6,299.8,134.2,2162.6,0.17086834733893555
53,55.6,55.2,260.2,279.0,139.4,2210.6,0.18997001907876807
54,59.6,53.0,227.0,262.0,147.4,2251.0,0.2138091093704671
55,66.8,50.0,197.8,249.4,154.8,2281.2,0.2374233128834356
56,68.2,47.8,172.0,235.6,159.8,2316.6,0.25975292587776333
57,72.4,46.2,146.6,224.6,165.2,2345.0,0.2835564709921044
58,82.4,42.8,124.4,212.2,170.4,2367.8,0.3099308839578029
59,86.2,42.0,101.6,203.2,174.4,2392.6,0.3346124328472756
60,93.0,38.4,54.0,196.4,208.8,2409.4,0.41961414790996787
61,100.4,36.6,18.4,180.0,234.2,2430.4,0.4991474850809889
62,112.8,29.4,4.4,152.6,258.4,2442.4,0.5809352517985612
63,121.2,23.2,3.4,124.0,265.8,2462.4,0.6383285302593661
64,130.2,18.6,2.4,105.8,259.6,2483.4,0.6718426501035196
65,138.0,17.0,2.2,90.8,248.6,2503.4,0.6932515337423313
66,152.2,14.2,2.6,85.0,235.2,2510.8,0.6979228486646883
67,163.4,12.4,2.2,77.0,222.4,2522.6,0.7082802547770701
