Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,2997.2,0.8,1.8,0,0,0.2,0.0
1,2995.8,1.8,2.0,0.4,0,0,0.0
2,2994.8,2.4,2.0,0.6,0,0.2,0.0
3,2993.6,3.6,2.0,0.4,0,0.4,0.0
4,2992.4,4.6,1.8,0.6,0,0.6,0.0
5,2991.4,4.8,2.0,0.8,0,1.0,0.0
6,2990.0,5.8,1.8,1.2,0,1.2,0.0
7,2989.4,5.2,2.4,1.4,0,1.6,0.0
8,2988.6,5.2,2.6,2.0,0,1.6,0.0
9,2985.8,6.4,3.8,2.4,0,1.6,0.0
10,2981.2,9.0,4.4,3.4,0,2.0,0.0
11,2975.4,13.2,5.0,4.2,0,2.2,0.0
12,2969.2,17.6,6.0,4.6,0,2.6,0.0
13,2963.2,19.6,8.6,5.4,0,3.2,0.0
14,2956.0,23.2,10.0,6.0,0,4.8,0.0
15,2948.4,27.0,12.0,7.2,0,5.4,0.0
16,2937.4,33.0,14.6,8.6,0,6.4,0.0
17,2925.4,40.8,16.6,8.6,0,8.6,0.0
18,2911.8,46.6,21.0,9.8,0,10.8,0.0
19,2893.0,56.6,23.4,13.0,0,14.0,0.0
20,2875.6,63.4,19.4,16.8,9.2,15.6,0.08455882352941176
21,2859.2,65.2,19.2,20.6,17.0,18.8,0.13934426229508196
22,2841.6,70.0,18.2,25.4,23.0,21.8,0.1683748169838946
23,2823.8,73.2,17.8,29.0,28.0,28.2,0.1891891891891892
24,2806.2,74.4,21.0,30.6,32.2,35.6,0.2035398230088496
25,2781.8,86.6,18.8,35.0,37.4,40.4,0.21034870641169856
26,2761.6,92.6,17.8,40.8,41.0,46.2,0.2133194588969823
27,2736.8,97.8,21.8,46.0,45.4,52.2,0.21516587677725119
28,2707.4,106.8,25.0,49.8,49.6,61.4,0.21453287197231832
29,2673.6,116.8,28.6,55.4,53.8,71.8,0.21131186174391198
30,2640.0,130.0,31.2,60.0,57.0,81.8,0.2048885693745507
31,2608.6,137.4,37.6,65.6,61.2,89.6,0.20278330019880716
32,2565.6,153.6,41.6,70.4,65.4,103.4,0.197583081570997
33,2526.0,162.6,48.4,79.4,69.6,114.0,0.19333333333333333
34,2476.4,182.8,53.6,86.8,71.4,129.0,0.1809427268119615
35,2424.4,198.0,63.0,94.6,75.4,144.6,0.1749419953596288
36,2368.8,214.0,75.6,103.8,78.6,159.2,0.16652542372881354
37,2307.0,233.6,90.2,111.0,82.6,175.6,0.15964437572477774
38,2231.8,264.2,103.6,118.6,85.2,196.6,0.1490552834149755
39,2154.6,291.0,119.6,130.0,86.2,218.6,0.13752393107849392
40,2077.6,304.8,130.2,145.6,96.6,245.2,0.14264619019492025
41,2004.0,316.0,140.4,161.4,109.0,269.2,0.1499724821133737
42,1925.0,334.2,146.6,175.6,123.8,294.8,0.15867726224045117
43,1845.0,347.0,159.8,186.4,132.2,329.6,0.16016476859704382
44,1756.8,372.8,173.0,196.4,141.8,359.2,0.16040723981900454
45,1680.2,376.6,184.2,212.0,149.8,397.2,0.16236722306525042
46,1604.6,378.4,198.0,228.0,159.2,431.8,0.16521378165213782
47,1522.8,386.6,212.2,243.8,168.2,466.4,0.16640284922833398
48,1448.6,385.2,224.2,258.8,174.8,508.4,0.1675934803451582
49,1378.2,390.2,230.6,270.0,182.0,549.0,0.16964951528709918
