Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,2974.6,15.4,9.0,0,0,1.0,0.0
1,2962.6,25.4,10.0,0.8,0,1.2,0.0
2,2949.6,34.6,11.2,2.0,0,2.6,0.0
3,2929.8,47.0,14.2,5.2,0,3.8,0.0
4,2899.8,68.0,17.4,9.4,0,5.4,0.0
5,2861.4,93.6,23.4,14.6,0,7.0,0.0
6,2808.4,126.6,35.2,20.2,0,9.6,0.0
7,2735.6,176.2,45.0,30.6,0,12.6,0.0
8,2634.2,240.8,64.2,44.8,0,16.0,0.0
9,2498.8,326.2,94.2,58.6,0,22.2,0.0
10,2318.6,442.8,123.2,82.6,0,32.8,0.0
11,2091.0,581.6,167.6,115.6,0,44.2,0.0
12,1831.0,725.2,218.8,160.4,0,64.6,0.0
13,1514.4,890.0,289.0,213.2,0,93.4,0.0
14,1185.0,1042.0,372.6,268.0,0,132.4,0.0
15,878.6,1141.2,464.2,336.4,0,179.6,0.0
16,600.4,1183.6,567.0,407.4,0,241.6,0.0
17,385.8,1164.4,669.2,472.2,0,308.4,0.0
18,232.8,1085.8,763.8,530.4,0,387.2,0.0
19,120.4,981.4,839.4,583.0,0,475.8,0.0
20,61.6,852.0,889.2,619.4,8.4,569.4,0.0035457999155761926
21,28.6,717.0,921.0,645.0,17.2,671.2,0.007477610642552822
22,12.0,591.6,940.6,649.4,24.6,781.8,0.01115039434321458
23,5.6,483.8,939.8,646.0,31.8,893.0,0.015132768630436852
24,6.2,392.6,922.4,638.6,39.0,1001.2,0.019572417946401688
25,3.8,311.4,891.0,629.2,46.4,1118.2,0.024707135250266236
26,7.6,255.0,856.8,607.0,52.0,1221.6,0.02936525864016264
27,7.8,209.8,819.0,584.2,57.8,1321.4,0.03459420636820685
28,10.4,174.4,778.4,558.8,62.2,1415.8,0.039522175625873686
29,11.2,147.0,736.0,531.8,66.6,1507.4,0.04495747266099635
30,13.0,124.2,694.8,506.2,70.6,1591.2,0.05058031236566843
31,10.0,106.8,651.0,482.0,74.2,1676.0,0.05646879756468798
32,11.6,91.2,609.2,452.4,77.8,1757.8,0.06322119291402567
33,13.2,83.2,572.4,427.0,82.6,1821.6,0.0708891177480261
34,12.2,74.6,534.8,403.0,86.8,1888.6,0.0789665211062591
35,14.2,66.0,496.8,385.8,90.6,1946.6,0.08718244803695151
36,16.0,63.4,462.2,362.6,93.8,2002.0,0.09551934826883911
37,18.8,59.8,425.0,342.0,97.6,2056.8,0.10558199913457378
38,17.4,58.8,392.6,321.4,100.2,2109.6,0.1147766323024055
39,21.0,54.0,358.6,306.0,104.4,2156.0,0.12685297691373026
40,24.8,52.4,316.2,291.8,122.6,2192.2,0.1565772669220945
41,29.6,52.2,276.8,272.6,138.2,2230.6,0.1868072452014058
42,31.2,51.4,242.8,257.4,150.4,2266.8,0.2142450142450143
43,36.2,50.2,209.6,243.2,165.4,2295.4,0.24745661280670259
44,38.6,48.4,180.0,231.8,175.8,2325.4,0.27641509433962264
45,43.2,46.4,151.4,221.8,186.0,2351.2,0.3071334214002642
46,45.6,42.8,123.6,210.2,196.4,2381.4,0.34275741710296687
47,49.4,44.0,95.6,195.4,205.8,2409.8,0.3805473372781066
48,53.8,45.8,70.2,186.2,215.8,2428.2,0.4166023166023166
