Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,3973.8,16.2,9.4,0,0,0.6,0.0
1,3960.8,26.6,11.0,0.2,0,1.4,0.0
2,3947.2,34.4,14.2,2.0,0,2.2,0.0
3,3922.8,52.8,16.4,4.2,0,3.8,0.0
4,3899.6,65.0,21.8,8.4,0,5.2,0.0
5,3855.2,93.6,29.6,14.0,0,7.6,0.0
6,3800.2,127.4,40.0,22.6,0,9.8,0.0
7,3723.2,180.4,50.0,32.0,0,14.4,0.0
8,3626.2,241.2,66.8,44.6,0,21.2,0.0
9,3497.8,323.6,90.4,56.4,0,31.8,0.0
10,3334.8,421.0,122.4,78.4,0,43.4,0.0
11,3121.8,553.6,163.4,105.4,0,55.8,0.0
12,2871.0,689.8,218.4,149.8,0,71.0,0.0
13,2566.4,854.2,279.4,200.0,0,100.0,0.0
14,2205.8,1043.6,360.4,252.2,0,138.0,0.0
15,1817.4,1222.0,463.2,315.0,0,182.4,0.0
16,1422.4,1367.4,580.8,400.8,0,228.6,0.0
17,1043.4,1471.2,708.2,480.2,0,297.0,0.0
18,740.0,1486.2,826.8,564.6,0,382.4,0.0
19,491.4,1450.6,938.6,645.8,0,473.6,0.0
20,299.0,1354.4,1008.0,720.8,28.6,589.2,0.009190822032264286
21,179.8,1203.4,1054.4,778.2,76.0,708.2,0.02442159383033419
22,108.4,1030.8,1068.8,822.0,130.6,839.4,0.042788808072865475
23,60.0,864.0,1061.8,850.4,184.0,979.8,0.06215796229984461
24,31.8,727.4,1018.4,861.0,238.0,1123.4,0.08366141732283464
25,15.6,612.0,964.2,849.8,287.4,1271.0,0.10591877349450872
26,10.0,505.2,904.4,831.2,334.6,1414.6,0.1299215655820455
27,10.6,416.8,831.2,810.2,377.8,1553.4,0.1550903119868637
28,10.2,344.2,752.0,781.4,418.2,1694.0,0.18215872462758081
29,14.6,289.2,675.6,744.4,456.0,1820.2,0.21060410123776097
30,13.0,244.2,601.8,709.0,491.4,1940.6,0.24012900703674744
31,14.8,201.8,539.4,655.2,524.8,2064.0,0.2731626067041432
32,16.4,168.4,483.0,601.6,559.2,2171.4,0.3085752124489571
33,19.8,136.0,440.2,540.6,585.2,2278.2,0.34383078730904815
34,19.6,114.0,395.0,480.2,611.2,2380.0,0.38190452386903273
35,24.4,95.2,345.0,428.6,633.4,2473.4,0.42164824923445615
36,26.8,76.2,305.4,378.4,645.2,2568.0,0.4591517221747794
37,34.2,64.4,267.2,339.8,637.2,2657.2,0.48693259972489683
38,39.8,59.6,230.0,309.0,634.2,2727.4,0.5144386761842958
39,43.2,54.0,192.6,289.6,621.6,2799.0,0.5368802902055622
40,52.8,51.8,117.4,269.8,650.8,2857.4,0.5971737933565792
