Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4976.8,13.2,8.8,0,0,1.2,0.0
1,4966.6,21.8,10.0,0,0,1.6,0.0
2,4955.4,28.6,11.6,1.8,0,2.6,0.0
3,4943.0,36.0,13.6,4.2,0,3.2,0.0
4,4927.0,45.4,17.2,6.6,0,3.8,0.0
5,4903.2,58.4,23.0,9.4,0,6.0,0.0
6,4867.0,82.4,27.8,15.4,0,7.4,0.0
7,4821.4,111.4,36.4,20.0,0,10.8,0.0
8,4759.6,152.6,48.0,25.4,0,14.4,0.0
9,4687.8,195.2,64.4,33.6,0,19.0,0.0
10,4591.2,253.0,80.8,48.6,0,26.4,0.0
11,4470.8,319.8,108.8,66.2,0,34.4,0.0
12,4313.4,410.0,136.0,92.2,0,48.4,0.0
13,4131.0,506.2,179.0,122.2,0,61.6,0.0
14,3912.2,622.6,227.6,155.4,0,82.2,0.0
15,3663.4,744.8,286.8,196.0,0,109.0,0.0
16,3372.8,895.4,344.8,237.8,0,149.2,0.0
17,3072.0,1018.2,428.0,294.8,0,187.0,0.0
18,2773.4,1114.0,521.0,354.0,0,237.6,0.0
19,2458.2,1201.8,627.2,413.0,0,299.8,0.0
20,2138.8,1287.8,717.6,475.2,9.4,371.2,0.003775100401606426
21,1854.8,1313.6,811.4,543.8,17.6,458.8,0.006551518761167362
22,1575.6,1331.0,895.8,612.0,26.0,559.6,0.009075677185143814
23,1320.6,1326.2,973.0,680.4,31.0,668.8,0.010296950773932107
24,1101.0,1283.2,1049.0,738.2,38.8,789.8,0.012479094300784768
25,901.6,1230.2,1119.0,784.0,44.4,920.8,0.013972809667673716
26,731.6,1157.0,1183.0,827.2,49.6,1051.6,0.015419049987565284
27,577.0,1081.2,1233.6,862.2,55.4,1190.6,0.017138967949511197
28,453.2,986.6,1274.6,887.2,59.8,1338.6,0.01863973567732685
29,349.4,910.4,1291.6,902.2,65.0,1481.4,0.02050990786318314
30,266.2,817.4,1299.6,913.6,71.8,1631.4,0.023143372872614747
31,200.2,723.8,1300.4,912.4,74.2,1789.0,0.024644612727514285
32,150.0,644.0,1287.6,904.8,79.0,1934.6,0.02709748233518557
33,112.8,559.0,1262.0,896.6,83.0,2086.6,0.029636506462900808
34,78.6,487.8,1224.2,879.6,86.0,2243.8,0.03211831490887362
35,60.0,420.2,1188.4,860.2,88.6,2382.6,0.034644560882145924
36,46.4,366.2,1138.0,831.0,91.8,2526.6,0.037824474660074166
37,39.6,309.0,1094.0,801.8,92.6,2663.0,0.040306433359449806
38,32.8,270.6,1039.0,769.6,96.2,2791.8,0.044221752321412164
39,32.4,236.0,984.2,737.6,98.4,2911.4,0.047855266997373795
40,31.4,213.6,914.4,703.8,114.6,3022.2,0.05887792848335389
41,29.6,191.2,851.6,671.8,129.0,3126.8,0.06997179431546974
42,30.0,172.2,792.0,642.4,143.6,3219.8,0.08204776596960348
43,33.0,155.0,727.8,613.4,156.0,3314.8,0.0944195617963927
44,34.4,141.6,661.8,580.2,168.6,3413.4,0.10862002319288752
