Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4979.6,10.4,8.6,0,0,1.4,0.0
1,4968.4,19.4,8.2,1.4,0,2.6,0.0
2,4959.0,24.4,10.4,2.6,0,3.6,0.0
3,4948.2,30.4,12.2,4.2,0,5.0,0.0
4,4936.2,38.2,13.6,5.4,0,6.6,0.0
5,4915.8,53.6,14.6,7.2,0,8.8,0.0
6,4897.6,59.2,19.2,11.8,0,12.2,0.0
7,4862.6,85.8,21.4,15.4,0,14.8,0.0
8,4828.8,101.2,32.0,20.6,0,17.4,0.0
9,4777.8,133.4,39.0,28.4,0,21.4,0.0
10,4720.2,164.4,52.4,35.4,0,27.6,0.0
11,4633.0,220.0,70.8,44.2,0,32.0,0.0
12,4528.8,277.6,94.8,59.2,0,39.6,0.0
13,4401.6,343.6,126.4,79.6,0,48.8,0.0
14,4226.0,446.6,163.6,100.4,0,63.4,0.0
15,4012.4,571.6,211.8,125.0,0,79.2,0.0
16,3784.6,686.8,262.8,160.2,0,105.6,0.0
17,3539.6,795.0,325.8,209.0,0,130.6,0.0
18,3254.0,916.4,395.4,267.2,0,167.0,0.0
19,2949.2,1036.4,476.0,325.4,0,213.0,0.0
20,2649.0,1134.0,543.8,384.2,17.4,271.6,0.008367798403385591
21,2341.8,1211.4,613.4,453.0,45.4,335.0,0.019542011019283743
22,2040.2,1270.8,680.0,519.2,80.0,409.8,0.03137254901960784
23,1768.6,1288.0,745.0,584.6,112.4,501.4,0.04117216117216117
24,1505.4,1289.2,811.8,652.6,144.8,596.2,0.04995859784708805
25,1276.2,1258.8,864.0,711.0,174.8,715.2,0.05810011300937313
26,1076.8,1202.4,914.8,769.0,205.0,832.0,0.06631728778467909
27,895.8,1140.6,956.0,810.8,230.0,966.8,0.07330910945368778
28,732.4,1084.6,990.2,839.6,257.2,1096.0,0.0810947156009585
29,602.0,996.4,1012.2,869.4,282.0,1238.0,0.08924050632911393
30,497.6,907.2,1017.0,889.6,306.6,1382.0,0.09825663376490194
31,401.2,832.8,1004.8,902.0,325.6,1533.6,0.10622471616860239
32,322.0,753.2,987.0,908.4,342.4,1687.0,0.11447676362420595
33,257.8,667.6,968.6,903.6,359.0,1843.4,0.1238443493859528
34,209.6,595.0,939.4,889.4,371.8,1994.8,0.1329947059665188
35,175.0,514.8,904.8,879.6,389.0,2136.8,0.14470649505245148
36,144.8,452.8,863.4,857.4,401.6,2280.0,0.15594905250077665
37,119.2,397.6,815.0,840.6,415.8,2411.8,0.168408262454435
38,98.2,349.8,757.0,819.6,427.0,2548.4,0.18143961927424151
39,84.4,307.0,700.2,789.4,436.0,2683.0,0.19528800501657262
40,76.0,269.8,578.8,751.8,515.2,2808.4,0.24352429570807338
41,68.6,234.4,464.6,715.0,589.4,2928.0,0.2941998602375961
42,67.6,201.8,365.4,669.2,651.6,3044.4,0.3451271186440678
43,68.6,171.4,271.6,630.0,712.0,3146.4,0.3988795518207283
44,72.8,141.8,187.0,582.2,772.2,3244.0,0.4587690114068441
45,79.4,120.0,108.2,527.8,826.6,3338.0,0.5223050676102616
46,90.2,98.0,58.4,465.4,861.2,3426.8,0.5807147673634525
47,96.6,81.6,28.4,399.8,892.4,3501.2,0.6364284695478534
48,107.8,67.0,8.4,333.6,909.0,3574.2,0.6896813353566009
49,119.0,51.0,5.4,265.8,908.8,3650.0,0.7382615759545085
50,132.4,40.8,4.4,214.0,894.0,3714.4,0.7752341311134235
