Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4980.4,9.6,9.4,0,0,0.6,0.0
1,4970.4,18.2,10.0,0.4,0,1.0,0.0
2,4962.4,22.4,11.0,2.6,0,1.6,0.0
3,4951.0,29.8,12.4,4.4,0,2.4,0.0
4,4938.8,33.8,16.8,6.0,0,4.6,0.0
5,4916.2,51.0,19.8,7.4,0,5.6,0.0
6,4886.8,69.6,24.4,11.2,0,8.0,0.0
7,4850.0,93.4,32.2,14.2,0,10.2,0.0
8,4804.8,121.4,38.4,20.4,0,15.0,0.0
9,4745.6,158.4,49.6,28.4,0,18.0,0.0
10,4666.2,205.2,63.4,42.2,0,23.0,0.0
11,4564.6,264.0,87.0,54.2,0,30.2,0.0
12,4430.6,347.6,112.0,71.4,0,38.4,0.0
13,4264.6,438.6,149.0,93.8,0,54.0,0.0
14,4059.6,556.6,192.4,120.4,0,71.0,0.0
15,3820.0,680.0,254.2,153.6,0,92.2,0.0
16,3548.8,819.6,309.6,199.6,0,122.4,0.0
17,3247.4,965.2,377.6,253.8,0,156.0,0.0
18,2935.0,1088.0,460.6,313.6,0,202.8,0.0
19,2596.4,1223.0,552.2,372.0,0,256.4,0.0
20,2280.2,1296.0,635.8,448.0,20.0,320.0,0.008334027835652971
21,1981.4,1339.8,717.4,514.6,50.8,396.0,0.019370090749637765
22,1699.2,1350.4,799.2,582.6,84.4,484.2,0.029965206277071645
23,1440.4,1336.2,865.0,656.4,117.2,584.8,0.03939760656178567
24,1208.2,1318.8,911.6,709.4,151.8,700.2,0.04910078923534739
25,1005.2,1263.8,959.6,764.6,182.8,824.0,0.05765106597704049
26,821.4,1196.2,996.8,817.4,212.6,955.6,0.06596338814768848
27,669.8,1115.6,1022.4,851.2,241.2,1099.8,0.07466567607726597
28,553.8,1016.0,1043.6,877.6,265.4,1243.6,0.08287016798850932
29,446.6,930.6,1047.8,889.2,288.0,1397.8,0.09126632019267333
30,360.6,835.0,1044.8,901.0,308.8,1549.8,0.09994821336095287
31,287.4,756.2,1030.6,899.6,330.2,1696.0,0.10946098256315057
32,229.0,665.6,1003.8,896.6,347.4,1857.6,0.11924212260589001
33,189.4,579.4,969.6,883.8,364.8,2013.0,0.13039748355733485
34,150.8,515.0,928.6,870.6,376.4,2158.6,0.13989444733516687
35,123.4,450.4,874.8,859.4,388.4,2303.6,0.15095219588029538
36,103.0,392.6,823.6,835.8,403.8,2441.2,0.16442707060835574
37,88.6,343.2,772.0,807.0,416.6,2572.6,0.17812553446211732
38,78.6,295.0,718.0,773.2,430.6,2704.6,0.19424395525081198
39,72.4,254.6,662.6,748.4,448.4,2813.6,0.21210974456007567
40,66.2,223.2,534.0,715.4,526.8,2934.4,0.2634790437131139
41,65.6,193.6,411.6,684.2,598.8,3046.2,0.31712742294248486
42,65.2,172.2,308.8,643.4,663.8,3146.6,0.3712112739067218
43,72.4,145.2,218.0,597.6,724.6,3242.2,0.42992761362287885
44,73.2,123.2,139.2,544.6,782.6,3337.2,0.4923251132360343
45,80.6,104.4,74.0,486.6,833.6,3420.8,0.5562525023355132
46,85.4,88.8,34.0,413.6,873.8,3504.4,0.6196284215004965
47,99.6,71.6,11.0,346.6,897.6,3573.6,0.6765149231233041
48,109.6,56.8,5.2,276.6,903.6,3648.2,0.7274190951537595
49,124.0,43.2,5.4,222.6,890.2,3714.6,0.7664887205097296
50,138.0,36.2,4.0,180.2,876.4,3765.2,0.799051787016776
51,153.6,27.8,4.8,151.8,847.2,3814.8,0.8212485459480419
52,174.8,21.4,2.6,130.2,813.0,3858.0,0.8405707196029776
53,190.0,19.6,1.6,117.4,762.2,3909.2,0.8461367673179396
54,206.4,15.0,3.2,109.8,709.6,3956.0,0.8471824259789876
55,221.6,15.8,1.6,101.4,660.4,3999.2,0.847535934291581
56,238.6,15.8,1.6,92.0,618.8,4033.2,0.8497665476517441
57,258.6,16.6,1.4,84.2,575.4,4063.8,0.8491735537190082
58,278.4,16.2,0.8,78.6,538.0,4088.0,0.8491161616161615
59,298.8,14.4,2.4,73.6,495.6,4115.2,0.8457337883959045
60,319.8,12.8,1.6,70.2,462.6,4133.0,0.8453947368421052
61,339.4,11.0,2.4,64.6,428.0,4154.6,0.8458498023715415
62,357.8,12.4,1.4,60.4,399.8,4168.2,0.8434599156118143
