Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4980.8,9.2,9.2,0,0,0.8,0.0
1,4968.8,19.0,8.8,1.0,0,2.4,0.0
2,4962.0,22.6,10.8,1.8,0,2.8,0.0
3,4948.8,31.0,14.4,2.8,0,3.0,0.0
4,4930.2,45.0,16.4,4.6,0,3.8,0.0
5,4909.4,58.0,20.0,6.8,0,5.8,0.0
6,4885.2,70.6,25.2,11.8,0,7.2,0.0
7,4849.2,93.4,31.6,16.0,0,9.8,0.0
8,4805.2,121.2,38.2,21.2,0,14.2,0.0
9,4749.8,153.2,49.2,30.8,0,17.0,0.0
10,4664.8,212.0,60.4,40.0,0,22.8,0.0
11,4563.6,273.6,80.6,51.4,0,30.8,0.0
12,4439.4,345.8,105.6,70.2,0,39.0,0.0
13,4280.0,433.4,140.4,95.0,0,51.2,0.0
14,4065.6,561.2,182.6,124.2,0,66.4,0.0
15,3835.2,679.8,234.4,164.8,0,85.8,0.0
16,3566.2,813.0,296.0,214.0,0,110.8,0.0
17,3248.2,966.4,369.8,265.8,0,149.8,0.0
18,2935.0,1081.8,466.0,325.4,0,191.8,0.0
19,2622.0,1181.6,554.8,391.0,0,250.6,0.0
20,2299.2,1277.2,640.8,450.8,9.6,322.4,0.004036326942482341
21,1992.6,1325.8,741.0,520.2,18.0,402.4,0.00690978886756238
22,1692.0,1379.4,824.4,581.6,26.2,496.4,0.009318537487551572
23,1420.4,1382.4,927.6,646.2,32.8,590.6,0.01097356975577116
24,1173.2,1368.4,1012.8,709.6,38.6,697.4,0.012334632836965554
25,956.4,1316.4,1097.2,770.2,43.4,816.4,0.01344819038175508
26,767.8,1239.0,1166.8,822.6,49.6,954.2,0.01513117754728493
27,605.6,1148.0,1225.8,872.2,56.6,1091.8,0.01713801247501968
28,469.8,1052.6,1270.2,907.4,62.2,1237.8,0.01889199368242012
29,367.6,952.4,1293.2,920.4,67.8,1398.6,0.02096604613767085
30,283.4,844.6,1316.8,933.6,72.2,1549.4,0.022796160646627938
31,216.6,748.8,1314.0,938.0,75.8,1706.8,0.024637586946629392
32,164.6,664.0,1290.2,929.2,79.0,1873.0,0.026667566837699164
33,123.8,579.2,1268.2,919.4,85.0,2024.4,0.029805736727680762
34,91.4,501.6,1234.0,894.4,88.6,2190.0,0.03259030383285515
35,73.0,433.4,1196.4,872.4,91.6,2333.2,0.03531498187986737
36,58.0,373.2,1154.6,844.0,95.2,2475.0,0.038589379813538716
37,45.4,323.2,1107.2,806.6,98.4,2619.2,0.04213410978847307
38,41.8,280.2,1059.4,779.6,99.6,2739.4,0.04488912925905895
39,34.6,247.2,1006.6,748.0,102.6,2861.0,0.04875498954571374
40,31.6,219.2,940.8,706.6,119.4,2982.4,0.06012084592145015
41,31.2,191.6,875.6,673.6,131.6,3096.4,0.07028412732322152
42,32.2,171.6,806.0,644.4,142.8,3203.0,0.08091568449682685
43,32.4,157.2,739.6,611.6,156.2,3303.0,0.09383635708278264
44,33.8,144.2,683.0,580.0,170.0,3389.0,0.1077859497844281
45,34.2,134.4,623.4,547.8,180.2,3480.0,0.12128146453089245
46,39.0,120.6,576.8,522.6,191.6,3549.4,0.13573250212524796
47,43.4,111.2,526.6,490.0,200.8,3628.0,0.15113653469817853
48,47.4,101.8,474.2,463.4,208.6,3704.6,0.1671474358974359
49,55.8,94.4,425.6,437.4,216.4,3770.4,0.18435849378088262
50,62.2,91.4,381.0,411.2,226.2,3828.0,0.20382050819967562
51,66.8,89.2,342.6,383.2,232.6,3885.6,0.22203130966017565
52,73.2,82.8,308.4,358.8,240.0,3936.8,0.24242424242424243
53,80.8,77.8,270.0,340.0,241.8,3989.6,0.26011187607573155
54,90.6,74.2,235.4,322.8,247.2,4029.8,0.28103683492496584
55,103.4,71.6,205.6,302.6,253.0,4063.8,0.3037944284341979
56,113.8,68.4,177.8,288.4,259.2,4092.4,0.326530612244898
57,127.2,66.6,149.6,277.4,261.0,4118.2,0.3458786111847337
58,140.0,68.2,123.6,258.6,266.0,4143.6,0.37130094919039636
59,149.0,64.8,99.8,248.6,265.8,4172.0,0.3914580265095729
60,166.2,59.6,63.6,237.2,281.6,4191.8,0.43862928348909663
61,180.2,54.4,32.2,220.2,296.8,4216.2,0.4917163684559312
62,193.0,48.0,13.2,204.6,307.2,4234.0,0.5361256544502617
63,207.6,44.6,5.4,182.8,309.6,4250.0,0.5707964601769911
