Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4982.4,7.6,9.8,0,0,0.2,0.0
1,4974.6,12.4,10.2,1.6,0,1.2,0.0
2,4961.0,23.6,10.2,3.0,0,2.2,0.0
3,4947.8,33.4,11.4,4.2,0,3.2,0.0
4,4931.2,42.8,15.0,5.6,0,5.4,0.0
5,4911.2,54.0,18.8,9.2,0,6.8,0.0
6,4884.6,70.2,24.4,12.8,0,8.0,0.0
7,4843.2,98.0,31.0,17.4,0,10.4,0.0
8,4792.6,127.0,41.2,25.6,0,13.6,0.0
9,4722.6,170.8,55.8,32.6,0,18.2,0.0
10,4634.8,223.0,74.0,44.0,0,24.2,0.0
11,4520.4,294.6,95.2,57.2,0,32.6,0.0
12,4381.2,379.2,123.4,72.4,0,43.8,0.0
13,4212.4,470.8,164.2,98.4,0,54.2,0.0
14,3998.4,587.8,211.2,131.2,0,71.4,0.0
15,3755.4,713.4,272.4,163.2,0,95.6,0.0
16,3480.0,845.0,332.8,211.8,0,130.4,0.0
17,3169.2,992.6,406.4,264.4,0,167.4,0.0
18,2858.8,1104.8,496.0,331.4,0,209.0,0.0
19,2528.4,1217.6,590.8,397.2,0,266.0,0.0
20,2215.0,1281.4,685.4,474.2,8.6,335.4,0.0035107772697583277
21,1904.4,1331.4,778.0,547.2,16.8,422.2,0.006284132565272686
22,1616.8,1349.4,877.6,621.4,25.4,509.4,0.0088384717099311
23,1346.4,1345.6,971.8,687.2,32.6,616.4,0.010733570393783752
24,1119.2,1304.8,1049.4,748.6,40.0,738.0,0.012727504136438845
25,916.2,1242.2,1121.2,807.8,46.8,865.8,0.014543194530764449
26,735.4,1176.8,1191.6,849.8,52.2,994.2,0.01596135029354208
27,582.0,1104.2,1231.8,881.4,58.4,1142.2,0.017827706209170277
28,452.2,1022.6,1262.6,909.8,65.4,1287.4,0.02005888847994111
29,349.4,936.0,1285.8,922.6,69.4,1436.8,0.02159437426099944
30,273.6,843.6,1286.8,930.2,74.0,1591.8,0.023607477828112036
31,208.8,752.6,1277.0,928.8,77.4,1755.4,0.0254957507082153
32,158.8,654.8,1266.6,920.8,81.0,1918.0,0.02770935960591133
33,116.8,573.6,1250.2,909.8,84.6,2065.0,0.030019161166702144
34,88.8,483.4,1226.0,895.8,88.0,2218.0,0.03267488489529185
35,66.0,419.8,1186.2,863.8,92.0,2372.2,0.0359122491997814
36,55.6,364.6,1140.4,828.8,93.8,2516.8,0.038638985005767006
37,42.6,316.4,1100.4,791.8,94.8,2654.0,0.04115655118520447
38,35.6,279.8,1051.8,757.4,97.8,2777.6,0.04472288275105176
39,29.6,248.0,995.2,724.2,100.8,2902.2,0.04873803307223672
40,30.4,216.2,930.4,692.8,117.0,3013.2,0.05980372112042528
41,32.4,195.0,864.0,653.8,132.4,3122.4,0.07175373943203989
42,34.4,174.4,802.6,620.6,145.8,3222.2,0.08362968911322705
43,35.8,159.2,743.0,590.6,157.6,3313.8,0.09549200193892389
44,36.6,139.4,691.8,556.8,170.2,3405.2,0.10922859709921703
45,39.0,126.4,633.0,528.4,181.6,3491.6,0.12358785899006398
46,41.8,117.8,578.6,503.6,193.4,3564.8,0.13879718673747668
47,47.0,112.6,521.6,482.4,203.8,3632.6,0.15434716752499245
48,51.8,107.0,474.4,455.6,212.2,3699.0,0.16986871597822606
49,54.8,99.0,432.2,429.4,219.0,3765.6,0.1856561546286877
50,60.0,95.8,390.4,404.4,224.2,3825.2,0.2011123071402942
51,68.2,89.0,352.0,381.0,231.2,3878.6,0.21952145841245727
52,76.4,89.0,312.4,362.0,238.2,3922.0,0.2378194888178914
53,86.2,84.4,278.4,339.8,241.4,3969.8,0.2557203389830509
54,96.6,82.6,246.6,320.8,247.6,4005.8,0.2758467023172905
55,108.4,81.4,214.2,300.8,249.8,4045.4,0.2952020798865516
56,116.6,82.2,181.0,283.4,253.2,4083.6,0.31657914478619653
57,127.4,73.2,160.2,274.0,256.0,4109.2,0.335341891537857
58,140.4,71.2,134.4,258.8,264.4,4130.8,0.362788144895719
59,152.4,69.4,114.6,242.6,267.4,4153.6,0.38530259365994235
60,163.8,64.0,87.8,227.6,284.6,4172.2,0.42861445783132535
61,174.0,62.6,62.8,210.8,295.8,4194.0,0.4680379746835443
62,191.2,59.6,42.0,195.8,305.2,4206.2,0.5064719548622636
63,207.6,55.8,26.4,185.6,308.2,4216.4,0.5350694444444444
64,229.2,50.0,13.6,172.4,314.6,4220.2,0.5713766799854704
65,248.2,43.2,8.8,157.2,311.8,4230.8,0.5984644913627639
66,263.8,41.4,6.4,145.2,303.8,4239.4,0.6115136876006442
67,283.6,38.2,4.6,132.2,291.2,4250.2,0.6246246246246246
68,304.8,33.2,4.4,122.6,277.8,4257.2,0.6342465753424658
69,322.2,31.0,4.2,114.6,267.0,4261.0,0.6405950095969289
70,337.4,30.2,2.6,106.0,252.2,4271.6,0.6450127877237851
71,353.4,32.2,3.8,98.8,239.0,4272.8,0.6393793472445157
72,369.0,30.0,4.4,90.8,229.0,4276.8,0.6465273856578204
73,388.2,27.6,3.6,88.0,222.8,4269.8,0.6514619883040936
74,407.4,25.6,4.0,83.6,211.2,4268.2,0.6510480887792849
75,423.0,26.0,3.4,77.8,204.6,4265.2,0.6561898652982682
76,440.4,24.6,4.2,73.8,192.8,4264.2,0.6526743398781314
77,461.4,22.6,2.6,67.8,186.2,4259.4,0.6669054441260744
78,482.2,23.4,3.0,63.0,177.6,4250.8,0.6651685393258426
79,501.4,23.0,2.4,58.4,166.6,4248.2,0.665335463258786
80,519.4,23.0,1.2,53.4,158.8,4244.2,0.6717428087986463
81,539.4,23.0,2.0,51.6,152.4,4231.6,0.6655021834061136
82,557.8,21.6,2.8,49.6,145.8,4222.4,0.6633303002729755
83,580.8,20.6,2.4,46.2,140.2,4209.8,0.6695319961795607
84,601.0,19.2,3.6,43.6,134.2,4198.4,0.6689930209371884
85,618.8,18.2,2.0,40.4,130.2,4190.4,0.6823899371069182
86,638.0,18.0,1.4,36.4,124.2,4182.0,0.6900000000000001
87,657.2,17.8,2.6,34.4,120.0,4168.0,0.6864988558352403
88,675.4,16.4,2.2,33.4,116.0,4156.6,0.6904761904761905
89,700.0,15.0,1.8,31.4,111.6,4140.2,0.6983729662077596
90,721.8,13.4,1.4,29.0,106.0,4128.4,0.7076101468624832
91,737.2,13.8,1.8,28.0,100.2,4119.0,0.6968011126564673
92,755.6,14.0,1.6,25.0,96.8,4107.0,0.7045123726346433
93,778.2,13.0,2.0,23.4,91.8,4091.6,0.7050691244239632
94,798.8,13.0,0.8,21.8,87.6,4078.0,0.711038961038961
95,820.2,12.6,1.6,20.8,82.0,4062.8,0.7008547008547008
96,841.4,13.4,1.0,20.0,79.4,4044.8,0.6977152899824253
97,863.8,13.2,1.2,18.8,75.0,4028.0,0.6931608133086876
98,884.8,12.0,1.6,17.8,74.4,4009.4,0.7032136105860113
99,908.6,10.6,1.2,16.0,72.0,3991.6,0.7214428857715431
100,927.0,11.0,1.4,16.0,68.4,3976.2,0.7066115702479339
101,945.4,11.6,1.6,15.6,64.8,3961.0,0.6923076923076923
102,965.0,10.8,1.4,15.0,64.0,3943.8,0.7017543859649122
103,982.6,9.8,1.4,14.4,61.0,3930.8,0.7043879907621248
104,1003.2,11.4,1.2,14.0,58.8,3911.4,0.6885245901639343
105,1028.6,11.4,0.6,14.6,57.2,3887.6,0.6825775656324582
106,1048.0,11.8,0.4,14.2,53.0,3872.6,0.6675062972292191
107,1069.0,9.6,1.8,15.0,49.2,3855.4,0.6507936507936509
108,1090.8,9.8,1.2,13.6,47.2,3837.4,0.6573816155988857
109,1109.8,8.8,2.4,13.2,45.2,3820.6,0.6494252873563219
110,1130.4,7.6,1.4,13.0,45.6,3802.0,0.6745562130177516
111,1149.4,7.4,1.2,11.8,44.6,3785.6,0.6861538461538462
112,1169.2,6.8,0.8,12.0,41.4,3769.8,0.6786885245901639
113,1187.2,6.8,1.0,9.8,39.4,3755.8,0.6912280701754385
114,1207.2,5.8,1.0,8.6,37.8,3739.6,0.7105263157894737
115,1222.8,7.0,0.8,7.4,35.4,3726.6,0.699604743083004
116,1243.4,6.2,1.0,7.2,34.6,3707.6,0.7061224489795919
117,1266.0,5.2,1.4,6.2,34.2,3687.0,0.7276595744680852
118,1286.8,5.2,0.8,5.8,34.4,3667.0,0.7445887445887445
119,1303.8,5.4,0,5.6,32.6,3652.6,0.7477064220183486
120,1324.2,5.2,0.8,5.8,31.0,3633.0,0.7242990654205608
121,1344.0,4.8,0.8,6.0,30.0,3614.4,0.7211538461538461
122,1362.2,6.0,0.4,5.4,29.4,3596.6,0.7135922330097086
123,1378.2,6.2,0.4,5.6,27.8,3581.8,0.6950000000000001
124,1396.4,5.0,1.4,5.4,27.0,3564.8,0.6958762886597939
125,1415.6,5.2,0.6,4.8,26.6,3547.2,0.7150537634408602
126,1432.2,5.2,0.2,4.4,25.6,3532.4,0.7231638418079095
127,1447.8,5.8,0.8,4.0,23.6,3518.0,0.6900584795321637
128,1467.6,5.6,0.4,4.2,23.2,3499.0,0.6946107784431138
129,1485.0,5.2,0.8,4.6,22.2,3482.2,0.676829268292683
130,1504.0,5.4,0.6,4.0,21.8,3464.2,0.6855345911949685
131,1523.4,4.4,1.0,4.2,21.2,3445.8,0.6883116883116883
132,1543.4,4.8,0.8,4.2,20.6,3426.2,0.6776315789473685
133,1559.4,4.6,1.0,3.4,20.2,3411.4,0.6917808219178082
134,1570.8,5.4,0.2,3.2,19.0,3401.4,0.6834532374100719
135,1587.8,5.6,0.4,3.6,18.0,3384.6,0.6521739130434783
136,1603.6,5.8,1.2,3.8,16.8,3368.8,0.6086956521739131
137,1620.0,5.8,0.6,3.8,17.2,3352.6,0.6277372262773723
138,1637.4,5.2,1.2,4.0,17.0,3335.2,0.6204379562043796
139,1655.0,5.4,0.4,3.4,17.0,3318.8,0.648854961832061
140,1671.6,5.2,0.8,3.2,15.2,3304.0,0.6229508196721312
141,1690.6,5.0,0.8,2.8,15.6,3285.2,0.6446280991735537
142,1707.8,4.6,0.8,3.0,15.8,3268.0,0.6528925619834711
143,1725.8,3.8,1.2,3.2,15.6,3250.4,0.6554621848739497
144,1738.6,3.6,0.8,2.6,16.0,3238.4,0.6956521739130435
145,1759.4,3.8,0.4,1.8,16.2,3218.4,0.7297297297297297
146,1778.4,3.0,0.4,2.2,16.0,3200.0,0.7407407407407407
147,1796.2,3.0,0.2,2.0,15.0,3183.6,0.7425742574257426
148,1813.6,2.0,0.6,2.2,14.2,3167.4,0.7473684210526316
149,1831.0,2.0,0.4,2.4,14.4,3149.8,0.75
