Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4980.4,9.6,9.2,0,0,0.8,0.0
1,4971.4,16.6,9.0,1.4,0,1.6,0.0
2,4961.8,23.6,10.0,2.6,0,2.0,0.0
3,4950.0,30.4,12.2,4.8,0,2.6,0.0
4,4935.0,40.0,15.4,5.4,0,4.2,0.0
5,4915.2,50.0,19.0,9.4,0,6.4,0.0
6,4887.0,69.4,23.2,12.2,0,8.2,0.0
7,4852.6,90.6,29.4,17.0,0,10.4,0.0
8,4807.8,117.2,38.0,23.4,0,13.6,0.0
9,4751.4,151.4,47.6,31.2,0,18.4,0.0
10,4682.0,190.4,62.8,39.0,0,25.8,0.0
11,4585.6,251.4,78.2,51.0,0,33.8,0.0
12,4465.0,326.6,100.4,65.0,0,43.0,0.0
13,4320.4,408.4,131.6,86.2,0,53.4,0.0
14,4142.8,501.6,171.6,113.8,0,70.2,0.0
15,3940.8,602.4,219.6,145.6,0,91.6,0.0
16,3709.4,714.2,275.0,183.8,0,117.6,0.0
17,3459.6,823.0,343.4,227.0,0,147.0,0.0
18,3189.2,928.8,417.0,277.4,0,187.6,0.0
19,2913.6,1017.0,500.4,331.2,0,237.8,0.0
20,2633.2,1086.2,576.6,400.2,8.8,295.0,0.004247514238826141
21,2341.6,1167.4,652.4,452.8,17.2,368.6,0.007511573063149619
22,2070.6,1206.8,738.6,517.8,26.0,440.2,0.01044512293106219
23,1806.2,1237.4,822.2,569.6,34.4,530.2,0.012914852079891874
24,1546.0,1249.2,899.2,631.2,41.6,632.8,0.01474549836948816
25,1321.6,1223.2,981.2,686.4,48.6,739.0,0.01653398652786283
26,1108.8,1198.4,1050.6,731.8,55.4,855.0,0.01824649232593373
27,915.4,1155.2,1111.4,770.8,61.2,986.0,0.019750855224940293
28,755.8,1084.2,1168.0,808.8,66.4,1116.8,0.02123169405896272
29,610.0,1022.4,1206.6,843.6,72.6,1244.8,0.023082792827165202
30,491.8,944.6,1237.0,856.8,77.0,1392.8,0.024715927328753936
31,388.0,868.2,1246.4,881.4,81.8,1534.2,0.026577425433751373
32,304.0,779.6,1262.4,886.8,85.0,1682.2,0.028203596788108035
33,241.0,704.0,1257.8,881.2,88.0,1828.0,0.03002388263391334
34,192.0,629.0,1240.4,872.4,92.0,1974.2,0.03246524101912626
35,149.4,557.4,1213.2,857.6,95.2,2127.2,0.03495630461922598
36,118.0,487.6,1190.0,841.6,98.8,2264.0,0.03773873185637892
37,92.0,420.4,1165.0,818.2,101.6,2402.8,0.04055564425993932
38,74.8,365.6,1120.4,798.6,103.6,2537.0,0.043379951427853614
39,55.4,318.4,1077.8,776.0,102.8,2669.6,0.04518681318681318
40,49.8,272.2,1020.4,746.8,119.0,2791.8,0.05513343217197925
41,39.6,240.0,957.0,717.2,133.0,2913.2,0.06496678389996093
42,35.4,212.2,892.8,686.6,145.4,3027.6,0.07506453278265358
43,35.4,186.8,834.0,651.4,157.0,3135.4,0.08582987098184999
44,40.2,168.0,776.8,617.2,170.4,3227.4,0.09836065573770492
45,39.0,157.2,718.4,586.8,179.2,3319.4,0.10916179337231968
46,40.0,141.2,668.2,560.6,191.4,3398.6,0.12258229793774818
47,45.6,124.0,614.4,534.6,199.8,3481.6,0.13565996740901684
48,49.8,114.6,563.0,502.6,209.2,3560.8,0.15056859075860082
49,52.2,105.8,516.6,478.4,219.4,3627.6,0.16618694137251933
50,58.8,99.4,463.6,449.0,229.2,3700.0,0.18466000644537542
51,64.6,91.4,423.8,427.4,239.0,3753.8,0.20226811103588357
52,75.2,87.6,382.0,405.4,248.8,3801.0,0.2213917067093789
53,80.6,87.6,341.6,384.0,254.4,3851.8,0.23829149494192578
54,86.8,85.8,305.4,360.0,259.8,3902.2,0.256973293768546
55,98.0,82.0,270.4,340.6,263.4,3945.6,0.2754077791718946
56,110.0,78.6,238.6,326.0,265.6,3981.2,0.29225352112676056
57,115.4,76.2,211.0,310.6,272.0,4014.8,0.31271556679696483
58,122.0,72.2,185.6,296.2,271.6,4052.4,0.3289728682170543
59,132.4,67.8,160.0,278.0,271.8,4090.0,0.34953703703703703
60,148.2,64.4,130.2,261.4,286.4,4109.4,0.3857758620689655
61,159.4,61.4,99.2,243.2,297.8,4139.0,0.4244583808437857
62,171.6,55.6,75.4,226.2,304.8,4166.4,0.46042296072507555
63,183.2,57.0,53.2,206.6,307.0,4193.0,0.49214491824302664
64,200.0,53.0,38.4,194.0,306.4,4208.2,0.5177424805677594
