Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4964.2,25.8,8.8,0,0,1.2,0.0
1,4944.6,41.0,12.0,1.2,0,1.2,0.0
2,4916.4,60.4,16.0,4.8,0,2.4,0.0
3,4872.6,92.8,22.4,8.0,0,4.2,0.0
4,4802.0,143.8,32.2,16.4,0,5.6,0.0
5,4689.6,230.4,45.4,25.4,0,9.2,0.0
6,4539.4,333.4,70.6,42.0,0,14.6,0.0
7,4311.8,495.0,106.6,65.0,0,21.6,0.0
8,3974.0,738.0,156.6,97.4,0,34.0,0.0
9,3515.8,1049.6,240.6,142.2,0,51.8,0.0
10,2928.0,1436.4,338.8,215.8,0,81.0,0.0
11,2251.6,1827.4,486.0,310.8,0,124.2,0.0
12,1542.6,2164.4,672.0,442.0,0,179.0,0.0
13,911.8,2362.8,887.4,580.6,0,257.4,0.0
14,451.0,2343.2,1118.8,731.8,0,355.2,0.0
15,190.8,2149.2,1300.6,864.2,0,495.2,0.0
16,73.4,1828.6,1479.2,976.2,0,642.6,0.0
17,21.0,1518.8,1598.6,1048.2,0,813.4,0.0
18,6.8,1237.2,1653.6,1102.4,0,1000.0,0.0
19,5.0,999.2,1681.6,1124.4,0,1189.8,0.0
20,8.0,798.6,1676.8,1130.2,9.4,1377.0,0.0026002766251728903
21,8.8,645.0,1638.6,1116.0,17.6,1574.0,0.005150415544890555
22,10.2,524.2,1591.0,1092.6,25.2,1756.8,0.007794618001855862
23,11.2,429.0,1537.8,1047.8,33.4,1940.8,0.010958005249343832
24,8.8,351.0,1472.8,1011.0,40.6,2115.8,0.01411977464005008
25,10.6,294.2,1396.0,968.4,46.6,2284.2,0.017226083099216326
26,11.6,246.4,1316.6,922.2,52.0,2451.2,0.020495033895632984
27,14.2,205.0,1239.4,878.4,57.4,2605.6,0.0241156205360894
28,17.4,177.8,1164.4,838.2,62.6,2739.6,0.027909050378956756
29,18.0,153.0,1090.0,799.2,68.2,2871.6,0.03231614859742229
30,20.4,141.2,1017.8,755.8,71.6,2993.2,0.036045106725735
31,20.8,126.4,947.4,716.8,76.0,3112.6,0.04071573984785171
32,19.0,118.0,886.8,677.8,79.6,3218.8,0.04517080921575304
33,19.2,106.6,829.8,639.8,81.2,3323.4,0.048992397731386514
34,26.4,99.8,776.8,596.0,84.6,3416.4,0.054328281530952996
35,23.2,101.2,719.4,561.4,88.8,3506.0,0.06037530595594234
36,24.8,98.8,668.6,529.6,91.2,3587.0,0.06569658550641118
37,29.2,94.0,623.2,498.8,93.6,3661.2,0.07147220525351253
38,32.8,95.2,581.0,469.6,95.4,3726.0,0.07686110215920076
39,34.8,93.2,546.2,443.8,97.0,3785.0,0.0821894594136587
40,36.8,94.0,493.0,416.4,113.2,3846.6,0.10137918681712342
41,41.0,96.2,448.4,390.8,127.8,3895.8,0.12020316027088035
42,44.0,97.0,407.0,370.0,139.6,3942.4,0.13772691397000789
43,46.6,96.6,363.4,352.2,150.6,3990.6,0.15641877856252595
44,46.4,98.4,325.0,331.6,163.8,4034.8,0.17827601218981282
45,52.4,95.2,291.8,315.4,173.8,4071.4,0.1983565396028304
46,57.2,93.0,262.0,297.4,181.2,4109.2,0.21737044145873322
47,64.6,92.8,232.2,283.4,192.0,4135.0,0.239880059970015
48,69.2,94.0,202.2,269.4,200.2,4165.0,0.26142595978062155
49,79.2,91.0,175.4,255.0,208.8,4190.6,0.28594905505341
50,86.8,90.2,151.4,238.0,215.6,4218.0,0.310126582278481
51,91.2,87.6,130.2,227.4,224.8,4238.8,0.3355223880597015
52,99.0,91.0,109.6,214.4,227.6,4258.4,0.35418611889200124
53,108.0,84.2,94.0,205.6,231.8,4276.4,0.37654320987654327
54,115.4,81.8,80.4,197.4,237.0,4288.0,0.3972510895072075
55,126.4,76.0,67.0,187.2,242.8,4300.6,0.4237347294938918
56,136.8,75.4,50.0,176.0,248.0,4313.8,0.45140152894066254
57,149.8,70.8,36.0,167.0,254.6,4321.8,0.4818319454958365
58,157.8,67.2,26.2,158.8,255.6,4334.4,0.5033477747144545
59,168.6,62.2,25.0,144.4,254.0,4345.8,0.5230642504118616
60,185.0,57.0,16.6,131.4,262.8,4347.2,0.5617785378366823
61,200.2,52.0,9.8,121.6,265.6,4350.8,0.5915367483296214
62,213.8,45.2,10.8,107.0,264.4,4358.8,0.6186242395882078
63,223.0,45.6,7.6,96.6,263.0,4364.2,0.6371124031007752
64,241.2,44.6,6.2,86.8,257.6,4363.6,0.6518218623481781
65,259.2,42.4,5.4,80.8,246.8,4365.4,0.657432072456047
66,268.8,44.4,3.0,76.0,239.4,4368.4,0.6598676957001103
67,286.6,40.4,5.8,73.4,228.4,4365.4,0.6563218390804598
68,300.2,41.0,4.4,68.8,219.4,4366.2,0.657673860911271
69,322.2,36.8,7.0,67.0,213.8,4353.2,0.658656808379544
70,336.6,35.4,4.6,63.8,205.0,4354.6,0.663860103626943
71,354.0,33.6,4.4,62.4,194.4,4351.2,0.6594301221166893
72,368.4,32.4,4.4,61.2,189.0,4344.6,0.6585365853658537
73,387.2,34.6,3.4,59.2,178.2,4337.4,0.6470588235294118
74,403.6,36.8,4.0,56.2,170.8,4328.6,0.6377893950709485
75,421.0,37.4,4.4,55.6,166.0,4315.6,0.6302201974183751
76,435.8,38.4,4.6,53.4,160.4,4307.4,0.6246105919003115
77,451.0,37.8,5.4,52.2,156.4,4297.2,0.6211278792692613
78,463.0,38.8,4.2,50.6,154.8,4288.6,0.6231884057971014
