Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4959.4,30.6,9.2,0,0,0.8,0.0
1,4938.6,45.6,12.4,2.2,0,1.2,0.0
2,4899.4,73.4,18.4,7.2,0,1.6,0.0
3,4833.6,123.8,26.0,13.6,0,3.0,0.0
4,4740.0,191.2,40.8,21.6,0,6.4,0.0
5,4602.4,290.6,58.6,37.6,0,10.8,0.0
6,4394.4,445.6,84.4,58.6,0,17.0,0.0
7,4096.2,658.2,133.2,83.8,0,28.6,0.0
8,3701.4,920.6,203.8,130.0,0,44.2,0.0
9,3170.6,1267.2,303.2,191.2,0,67.8,0.0
10,2504.0,1684.0,435.0,277.8,0,99.2,0.0
11,1786.0,2066.2,601.8,398.0,0,148.0,0.0
12,1126.4,2310.0,805.8,542.0,0,215.8,0.0
13,600.6,2377.8,1024.2,683.0,0,314.4,0.0
14,279.0,2224.4,1240.4,822.0,0,434.2,0.0
15,103.6,1943.4,1433.2,943.4,0,576.4,0.0
16,30.8,1643.6,1554.2,1032.4,0,739.0,0.0
17,9.6,1339.2,1638.8,1084.4,0,928.0,0.0
18,6.2,1077.8,1682.4,1121.0,0,1112.6,0.0
19,6.8,863.2,1701.0,1124.8,0,1304.2,0.0
20,7.0,702.6,1651.6,1116.6,17.8,1504.4,0.005102333314223471
21,6.2,565.0,1594.0,1095.8,48.4,1690.6,0.01465245822232986
22,10.4,459.2,1514.6,1056.6,82.2,1877.0,0.02640879007903361
23,12.4,388.4,1405.4,1016.2,118.4,2059.2,0.0404316350225379
24,11.0,322.8,1311.4,974.6,150.6,2229.6,0.054577081974342245
25,12.4,267.6,1217.8,931.4,184.4,2386.4,0.07089035829617099
26,16.2,224.6,1128.0,882.8,214.8,2533.6,0.08766631295404458
27,17.6,189.4,1035.4,841.0,237.0,2679.6,0.10291818655549764
28,16.8,165.6,942.0,798.0,263.0,2814.6,0.12127639952042793
29,19.2,143.8,854.2,758.2,286.6,2938.0,0.14029763070295673
30,20.4,128.6,763.8,719.0,309.6,3058.6,0.16116605934409164
31,22.4,116.0,681.6,685.0,325.4,3169.6,0.17997787610619467
32,23.6,106.8,611.2,645.4,346.0,3267.0,0.2024102024102024
33,24.2,103.2,533.0,607.4,362.8,3369.4,0.22584661354581675
34,28.6,96.2,466.6,570.2,381.0,3457.4,0.25165125495376484
35,32.0,96.2,405.6,536.0,393.6,3536.6,0.27497554841414
36,41.0,92.0,343.8,506.6,408.2,3608.4,0.30223604324004144
37,39.8,90.4,295.4,475.0,416.8,3682.6,0.32623669380087666
38,44.4,86.2,250.2,445.4,427.2,3746.6,0.3533498759305211
39,48.8,86.4,210.4,410.4,433.0,3811.0,0.3797579372039993
