Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4963.6,26.4,8.8,0,0,1.2,0.0
1,4943.8,41.2,11.6,1.8,0,1.6,0.0
2,4911.6,64.2,16.0,6.0,0,2.2,0.0
3,4857.4,106.8,21.6,10.8,0,3.4,0.0
4,4787.4,155.8,33.2,18.0,0,5.6,0.0
5,4675.4,234.2,51.6,30.2,0,8.6,0.0
6,4506.2,353.6,77.2,50.0,0,13.0,0.0
7,4243.6,546.6,111.2,75.0,0,23.6,0.0
8,3901.0,777.4,167.0,118.4,0,36.2,0.0
9,3417.8,1106.2,245.6,172.2,0,58.2,0.0
10,2818.0,1483.2,368.6,244.0,0,86.2,0.0
11,2140.6,1864.0,514.6,353.0,0,127.8,0.0
12,1455.8,2174.8,703.0,482.2,0,184.2,0.0
13,871.0,2323.8,906.6,627.0,0,271.6,0.0
14,430.2,2318.4,1104.0,765.2,0,382.2,0.0
15,186.0,2099.8,1311.6,888.0,0,514.6,0.0
16,65.0,1797.0,1469.4,994.8,0,673.8,0.0
17,21.0,1475.0,1581.4,1067.8,0,854.8,0.0
18,5.2,1196.8,1645.0,1113.8,0,1039.2,0.0
19,7.6,959.0,1658.6,1140.0,0,1234.8,0.0
20,5.8,776.4,1625.8,1130.0,19.4,1442.6,0.005462326838607951
21,7.6,624.4,1570.8,1110.4,52.2,1634.6,0.015545893144320689
22,8.8,506.4,1495.8,1078.2,87.6,1823.2,0.027651515151515153
23,10.6,412.4,1414.6,1043.0,119.8,1999.6,0.04006956987089437
24,12.6,345.0,1320.2,1005.6,153.4,2163.2,0.05431626655336024
25,14.0,282.8,1227.8,965.4,185.2,2324.8,0.06959266496317451
26,16.2,231.8,1145.4,912.8,215.4,2478.4,0.08597429552167318
27,15.4,200.6,1048.0,862.8,244.6,2628.6,0.1038200339558574
28,19.8,174.4,952.6,823.2,268.8,2761.2,0.12113564668769716
29,17.2,159.8,861.6,780.8,292.4,2888.2,0.1395970591043636
30,20.2,145.6,778.4,734.6,311.6,3009.6,0.15815653233174298
31,24.0,135.4,696.0,691.0,327.0,3126.6,0.17681410187087704
32,25.0,124.2,625.6,656.4,348.0,3220.8,0.19838102838900923
33,31.4,118.0,548.4,613.2,365.4,3323.6,0.22212765957446806
34,31.2,115.4,480.4,579.8,381.8,3411.4,0.24515217670476439
35,29.0,111.4,417.6,548.4,397.4,3496.2,0.2694602657987523
36,34.2,104.2,361.0,515.0,412.6,3573.0,0.2962377943710511
37,34.2,102.2,312.6,481.0,426.0,3644.0,0.32228778937812075
38,39.8,90.2,272.8,454.0,435.2,3708.0,0.3475483149656604
39,48.2,88.2,229.4,423.6,440.6,3770.0,0.37282112032492803
40,51.6,84.0,143.6,377.6,515.6,3827.6,0.460028551034975
41,62.0,70.4,78.0,328.4,570.4,3890.8,0.544690603514133
42,71.2,61.6,36.0,278.0,610.0,3943.2,0.6189123376623377
43,80.0,52.8,15.6,220.4,643.4,3987.8,0.6901952370735893
44,93.8,46.4,4.6,172.2,661.2,4021.8,0.7476255088195386
45,106.0,35.6,4.6,136.4,654.0,4063.4,0.7873826149771249
46,120.0,30.6,2.4,108.4,645.0,4093.6,0.8201932858596135
47,136.2,24.6,3.2,87.2,619.4,4129.4,0.8434095860566448
48,151.8,21.2,2.2,76.4,583.6,4164.8,0.8539654667837283
49,171.0,20.6,1.8,69.0,550.6,4187.0,0.8576323987538941
50,186.6,19.4,2.6,62.8,514.4,4214.2,0.8584779706275034
51,199.4,19.2,3.4,57.4,484.8,4235.8,0.8583569405099151
52,221.0,19.0,1.2,53.4,456.4,4249.0,0.8611320754716981
53,239.2,20.8,1.4,51.2,428.6,4258.8,0.8537848605577689
54,255.2,20.2,2.8,49.2,393.6,4279.0,0.844997853155861
55,276.6,21.4,3.6,45.4,374.0,4279.0,0.8415841584158417
56,297.2,19.6,2.6,43.0,355.2,4282.4,0.8449096098953378
57,317.0,18.6,2.2,39.8,337.2,4285.2,0.8476621417797889
58,338.0,19.0,2.0,39.0,314.8,4287.2,0.83991462113127
59,356.2,21.4,2.2,37.6,290.8,4291.8,0.8261363636363637
60,371.4,23.8,2.4,35.4,273.2,4293.8,0.8160095579450419
61,386.0,23.8,3.0,35.0,251.6,4300.6,0.8028079132099554
62,402.4,24.6,2.8,31.4,238.0,4300.8,0.8018867924528301
63,419.6,25.2,2.2,30.4,224.2,4298.4,0.7950354609929078
64,439.0,23.2,3.4,30.2,211.6,4292.6,0.7883755588673622
65,454.6,24.2,2.4,27.6,200.6,4290.6,0.7872841444270016
66,474.8,21.6,2.6,28.4,189.4,4283.2,0.7826446280991736
67,498.2,19.6,4.2,26.8,179.0,4272.2,0.7796167247386759
68,515.0,21.4,2.6,26.2,172.6,4262.2,0.774685816876122
69,536.0,18.6,3.8,26.6,163.4,4251.6,0.7693032015065914
70,552.8,19.2,3.4,25.0,155.0,4244.6,0.7650542941757157
71,575.0,20.6,1.4,24.4,146.6,4232.0,0.7595854922279792
72,591.6,20.8,2.8,25.4,138.0,4221.4,0.7379679144385026
73,606.4,20.8,3.2,24.8,132.4,4212.4,0.7306843267108168
74,624.8,22.6,1.6,24.6,126.8,4199.6,0.7220956719817768
75,642.6,23.8,1.4,25.0,117.8,4189.4,0.7011904761904761
76,662.6,20.4,3.8,24.6,111.8,4176.8,0.6961394769613948
77,678.0,21.2,1.2,24.6,105.8,4169.2,0.6924083769633507
78,693.6,23.8,3.0,22.0,100.2,4157.4,0.6724832214765101
79,712.2,22.6,2.6,23.6,96.0,4143.0,0.6629834254143646
80,729.6,22.0,3.6,22.8,92.6,4129.4,0.6567375886524822
81,746.2,21.8,3.2,22.0,91.4,4115.4,0.6604046242774566
82,760.4,22.8,2.0,22.4,89.2,4103.2,0.6539589442815249
83,776.8,24.4,3.0,21.6,85.0,4089.2,0.6343283582089553
84,793.0,25.6,3.0,21.4,82.0,4075.0,0.6212121212121212
85,810.2,25.4,2.6,22.0,79.6,4060.2,0.6141975308641975
86,826.4,26.2,3.8,21.6,77.4,4044.6,0.6000000000000001
87,841.2,26.4,4.0,21.6,75.8,4031.0,0.593114241001565
88,858.4,25.8,4.2,21.2,76.2,4014.2,0.598116169544741
89,872.4,25.4,3.2,21.0,76.2,4001.8,0.6057233704292528
90,891.0,26.2,2.2,21.2,74.8,3984.6,0.6012861736334405
91,907.8,28.8,2.4,21.4,71.4,3968.2,0.5758064516129032
92,922.4,28.2,4.0,21.8,68.6,3955.0,0.5595432300163132
93,936.0,29.4,3.0,22.2,67.4,3942.0,0.5524590163934426
94,945.0,29.8,3.8,21.6,66.4,3933.4,0.5460526315789473
95,962.4,30.0,5.0,21.4,67.0,3914.2,0.5429497568881685
96,976.8,33.2,2.2,21.4,67.4,3899.0,0.5426731078904992
97,989.0,31.8,2.8,22.6,66.2,3887.6,0.5364667747163695
98,1002.4,31.8,3.8,22.6,67.0,3872.4,0.5351437699680511
99,1013.4,35.2,3.8,21.2,67.8,3858.6,0.5296875
100,1026.6,33.2,4.0,22.2,67.8,3846.2,0.5330188679245282
101,1041.2,33.4,4.4,22.6,68.2,3830.2,0.5303265940902022
102,1053.2,35.2,3.0,22.8,67.6,3818.2,0.5256609642301711
103,1069.6,35.4,3.8,23.6,66.8,3800.8,0.5154320987654321
104,1082.0,37.0,4.2,24.8,65.8,3786.2,0.49924127465857354
105,1092.8,36.6,5.2,26.0,65.6,3773.8,0.49175412293853066
106,1103.8,38.4,5.8,25.4,66.4,3760.2,0.4882352941176471
107,1114.6,39.2,6.6,24.8,67.8,3747.0,0.4898843930635838
108,1123.0,41.6,3.0,24.4,72.2,3735.8,0.5113314447592069
109,1135.4,42.6,5.6,23.0,73.2,3720.2,0.5069252077562327
110,1149.2,42.6,4.6,22.2,76.8,3704.6,0.5253077975376197
111,1163.4,41.6,4.6,25.2,76.2,3689.0,0.516260162601626
112,1171.8,44.6,3.8,26.8,76.6,3676.4,0.5046113306982871
113,1178.2,46.6,5.4,29.0,75.4,3665.4,0.4820971867007673
114,1184.8,50.8,4.8,30.6,78.0,3651.0,0.4750304506699148
115,1190.2,55.0,6.2,32.2,78.0,3638.4,0.45507584597432904
116,1195.2,56.2,8.6,33.0,80.2,3626.8,0.450561797752809
117,1201.6,57.4,6.0,34.0,85.4,3615.6,0.4671772428884026
118,1204.2,65.0,5.4,35.8,88.6,3601.0,0.45482546201232027
119,1208.4,66.0,8.0,37.8,89.0,3590.8,0.44322709163346613
120,1208.0,68.4,7.6,39.2,94.2,3582.6,0.4498567335243553
121,1208.8,71.4,8.0,43.0,96.4,3572.4,0.4405850091407678
122,1210.8,74.6,8.4,44.8,98.8,3562.6,0.43601059135039716
123,1208.0,77.8,7.4,46.4,101.0,3559.4,0.4342218400687876
124,1205.8,83.6,8.4,49.0,102.4,3550.8,0.4207066557107642
125,1202.2,88.8,8.6,48.2,106.8,3545.4,0.4231378763866878
126,1201.2,91.6,10.8,49.2,110.2,3537.0,0.4209320091673033
127,1199.0,92.4,10.6,52.2,114.2,3531.6,0.42390497401633265
128,1197.2,92.0,11.4,55.0,119.6,3524.8,0.43021582733812946
129,1195.4,93.2,10.0,55.4,126.8,3519.2,0.4442887175893483
130,1194.0,98.2,9.8,53.2,133.0,3511.8,0.4520734194425561
131,1188.8,100.0,11.0,54.4,134.8,3511.0,0.44903397734843437
132,1185.8,101.4,11.8,54.0,138.4,3508.6,0.45287958115183247
133,1187.6,100.8,11.6,57.2,145.2,3497.6,0.4612452350698857
134,1185.6,101.2,11.0,58.8,153.8,3489.6,0.4735221674876847
135,1180.6,104.4,11.6,59.6,156.8,3487.0,0.4717208182912155
136,1174.2,109.8,10.4,60.8,160.4,3484.4,0.4698301113063855
137,1169.0,108.8,11.6,65.4,162.6,3482.6,0.4667049368541906
138,1159.2,109.4,14.2,65.2,167.0,3485.0,0.46936481169196176
139,1150.0,115.8,11.4,65.8,171.2,3485.8,0.4700713893465129
140,1142.6,115.6,13.4,68.0,170.0,3490.4,0.46321525885558584
141,1134.6,119.6,12.4,72.8,174.6,3486.0,0.4602003162888772
142,1123.2,123.8,15.8,73.8,178.4,3485.0,0.45533435426237884
143,1112.4,125.0,13.0,76.6,185.6,3487.4,0.463768115942029
144,1104.4,127.8,15.4,75.8,191.4,3485.2,0.466374269005848
145,1100.2,123.2,14.8,78.0,198.6,3485.2,0.4790159189580318
146,1086.8,127.6,12.8,81.8,205.0,3486.0,0.47986891385767794
147,1076.4,130.2,14.8,83.4,208.6,3486.6,0.47734553775743704
148,1063.8,135.4,11.8,86.6,213.8,3488.6,0.4776586237712243
149,1053.2,137.0,13.4,89.4,220.4,3486.6,0.47892220773576705
