Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4963.8,26.2,8.8,0,0,1.2,0.0
1,4942.8,43.6,11.4,0.6,0,1.6,0.0
2,4910.2,68.0,16.0,3.8,0,2.0,0.0
3,4869.2,97.0,22.4,9.0,0,2.4,0.0
4,4798.6,146.0,35.0,15.4,0,5.0,0.0
5,4688.6,224.0,49.8,28.4,0,9.2,0.0
6,4505.2,362.4,74.6,44.2,0,13.6,0.0
7,4253.8,545.2,104.6,73.4,0,23.0,0.0
8,3905.2,787.4,159.8,109.8,0,37.8,0.0
9,3436.6,1105.8,237.8,163.4,0,56.4,0.0
10,2855.2,1474.4,347.6,238.0,0,84.8,0.0
11,2163.6,1871.6,506.6,333.2,0,125.0,0.0
12,1464.4,2203.0,692.2,454.8,0,185.6,0.0
13,852.2,2385.6,902.0,599.4,0,260.8,0.0
14,426.2,2329.8,1136.0,748.0,0,360.0,0.0
15,167.0,2127.4,1328.2,878.8,0,498.6,0.0
16,60.6,1808.0,1488.8,991.2,0,651.4,0.0
17,18.2,1503.2,1589.2,1070.4,0,819.0,0.0
18,5.4,1216.2,1668.2,1117.2,0,993.0,0.0
19,4.8,978.0,1704.2,1133.0,0,1180.0,0.0
20,6.8,776.0,1699.6,1133.6,9.8,1374.2,0.002707930367504836
21,8.4,639.8,1656.0,1111.8,19.0,1565.0,0.00554485495826767
22,10.2,513.4,1608.4,1088.0,26.4,1753.6,0.00815771583956492
23,9.6,418.0,1558.2,1046.2,34.6,1933.4,0.011318285901210338
24,8.6,340.0,1489.8,1009.4,41.2,2111.0,0.01430356894875712
25,9.8,284.6,1412.0,966.8,46.8,2280.0,0.017268098295328757
26,17.0,235.2,1343.4,919.4,51.6,2433.4,0.02023846877941638
27,17.0,202.6,1272.8,880.4,57.2,2570.0,0.02370493162038956
28,15.4,180.4,1192.4,830.6,63.2,2718.0,0.027883173034501017
29,15.4,161.0,1120.0,783.8,68.6,2851.2,0.032155245148589105
30,17.2,143.8,1045.8,738.8,73.6,2980.8,0.03676323676323676
31,17.8,132.2,977.8,692.4,77.2,3102.6,0.04107256863162375
32,17.2,127.4,907.0,651.0,80.4,3217.0,0.045531770302412504
33,19.4,113.8,855.4,613.4,82.2,3315.8,0.04937530033637674
34,20.4,107.8,799.2,580.4,85.8,3406.4,0.05453852021357742
35,25.4,101.6,738.4,549.8,89.6,3495.2,0.0605650939570096
36,29.6,96.0,686.4,519.0,93.4,3575.6,0.06696300544880986
37,29.8,96.0,638.6,490.4,93.8,3651.4,0.07112526539278131
38,32.8,91.8,593.8,461.2,98.6,3721.8,0.07917135057009797
39,35.4,93.2,555.4,432.2,101.0,3782.8,0.08546285327466577
40,38.0,94.6,502.8,406.2,118.2,3840.2,0.10536637546799786
41,38.0,97.8,454.6,384.8,131.6,3893.2,0.12312874251497007
42,39.0,100.2,407.6,366.2,145.6,3941.4,0.14280109846998823
43,41.8,96.0,371.4,346.2,158.8,3985.8,0.1633072809543398
44,48.0,93.4,329.8,329.2,171.6,4028.0,0.1857142857142857
45,53.0,93.6,295.0,313.8,183.4,4061.2,0.20704447956649355
46,60.0,86.8,263.4,302.4,191.0,4096.4,0.22641062114746327
47,68.4,87.4,231.2,292.6,199.2,4121.2,0.24580454096742346
48,70.8,90.8,204.8,274.0,208.0,4151.6,0.2674897119341564
49,77.0,88.4,178.4,261.6,217.4,4177.2,0.2914990614105658
50,81.4,86.2,153.8,250.8,229.4,4198.4,0.318522632602055
51,90.2,81.4,131.0,241.2,235.6,4220.6,0.3418456181079512
52,103.0,79.6,110.2,230.4,240.2,4236.6,0.3637189582071471
53,109.4,81.6,87.4,221.6,247.8,4252.2,0.3881578947368421
54,118.2,79.2,67.8,212.2,248.0,4274.6,0.40843214756258234
55,125.0,78.4,49.8,202.6,255.0,4289.2,0.43530215090474567
56,136.0,74.2,35.8,195.6,257.0,4301.4,0.45680767863490934
57,148.0,71.6,22.4,183.4,258.8,4315.8,0.4826557254755688
58,162.0,66.0,15.0,171.6,261.4,4324.0,0.5085603112840467
59,168.6,67.0,8.2,161.6,255.8,4338.8,0.5192854242793341
60,185.2,61.2,8.0,140.8,259.6,4345.2,0.5528109028960818
61,194.6,56.2,7.4,126.2,262.4,4353.2,0.5802742149491376
62,208.8,55.2,6.4,116.4,258.8,4354.4,0.5924908424908425
63,222.0,52.0,5.0,108.0,254.6,4358.4,0.6067683508102955
64,238.2,45.6,7.6,101.2,249.8,4357.6,0.6180108857001484
65,250.0,44.6,6.2,93.4,242.4,4363.4,0.6270046559751681
66,267.0,43.0,5.0,86.2,238.8,4360.0,0.6402144772117963
67,282.2,40.2,5.8,80.6,230.6,4360.6,0.6455767077267637
68,302.6,40.2,5.2,75.4,225.4,4351.2,0.6510687463893703
69,314.2,41.8,5.2,72.6,217.4,4348.8,0.6451038575667656
70,333.4,44.0,4.4,69.4,210.2,4338.6,0.6408536585365854
71,353.0,41.4,7.2,68.0,201.4,4329.0,0.6333333333333333
72,365.0,40.0,6.0,64.8,196.0,4328.2,0.6388526727509778
73,383.8,38.0,4.0,64.6,192.2,4317.4,0.643239625167336
74,397.8,39.4,3.6,61.2,185.2,4312.8,0.6399447131997236
75,411.4,41.2,4.6,58.8,176.8,4307.2,0.6282871357498224
76,422.2,43.6,5.6,57.4,169.2,4302.0,0.6134880348078319
77,443.6,39.0,6.6,56.6,165.6,4288.6,0.6183719193427931
78,458.4,40.4,6.0,52.6,162.0,4280.6,0.6206896551724138
79,476.0,38.0,5.0,49.8,159.0,4272.2,0.6314535345512311
80,494.8,39.4,4.0,47.4,153.0,4261.4,0.6275635767022149
81,508.8,42.4,3.8,45.4,149.4,4250.2,0.6199170124481328
82,528.0,38.4,5.8,43.8,142.4,4241.6,0.6180555555555556
83,546.0,36.6,5.8,41.4,139.0,4231.2,0.6238779174147216
84,564.8,32.6,4.0,41.4,138.8,4218.4,0.6402214022140221
85,580.2,34.2,2.8,40.6,132.8,4209.4,0.6311787072243347
86,596.8,32.0,5.8,39.8,126.8,4198.8,0.6203522504892368
87,609.4,32.0,3.4,38.4,125.0,4191.8,0.6287726358148893
88,625.2,33.8,2.8,37.0,121.4,4179.8,0.6225641025641026
89,637.6,36.2,2.6,38.2,116.0,4169.4,0.6010362694300518
90,650.8,33.8,4.2,39.6,113.2,4158.4,0.5932914046121593
91,665.2,33.4,4.0,38.0,110.6,4148.8,0.5946236559139785
92,677.4,36.2,3.4,37.6,107.4,4138.0,0.5817984832069338
93,695.0,38.0,3.6,36.8,105.4,4121.2,0.573449401523395
94,709.4,38.2,5.0,36.8,102.4,4108.2,0.5614035087719298
95,725.8,37.0,6.2,35.8,101.6,4093.6,0.5625692137320044
96,737.8,37.8,4.8,34.6,101.6,4083.4,0.5682326621923938
97,754.6,37.0,5.2,32.2,100.8,4070.2,0.5753424657534246
98,774.6,35.8,4.6,31.8,99.4,4053.8,0.5792540792540792
99,791.4,34.4,4.6,30.8,101.6,4037.2,0.5927654609101517
100,808.0,33.0,5.0,30.6,98.2,4025.2,0.5887290167865707
101,819.8,34.4,3.6,28.8,98.6,4014.8,0.596130592503023
102,832.2,35.4,4.0,28.0,98.2,4002.2,0.5929951690821256
103,844.4,37.0,3.4,27.2,97.8,3990.2,0.5912938331318017
104,854.8,38.8,3.6,28.2,94.2,3980.4,0.5716019417475728
105,869.6,35.8,4.8,28.8,93.0,3968.0,0.5726600985221676
106,881.0,37.0,5.4,28.2,91.4,3957.0,0.5641975308641975
107,893.6,37.8,4.2,28.4,90.6,3945.4,0.5627329192546584
108,906.2,37.8,5.0,29.0,90.2,3931.8,0.5567901234567901
109,921.8,40.8,3.6,28.4,90.6,3914.8,0.554467564259486
110,937.6,38.8,5.6,29.8,90.4,3897.8,0.5492102065613609
111,952.2,39.0,3.4,30.4,91.2,3883.8,0.5560975609756098
112,961.0,43.0,4.6,30.0,88.8,3872.6,0.5336538461538463
113,970.8,42.4,5.8,31.0,88.6,3861.4,0.5280095351609059
114,984.4,41.6,7.0,31.2,89.8,3846.0,0.5294811320754716
115,997.0,39.8,4.8,30.4,90.8,3837.2,0.5476477683956573
116,1011.4,40.2,3.8,32.4,91.8,3820.4,0.5457788347205708
117,1022.4,44.8,2.2,33.0,90.0,3807.6,0.5294117647058824
118,1032.2,49.6,5.2,33.2,85.0,3794.8,0.4913294797687861
119,1041.4,48.8,6.6,33.8,87.0,3782.4,0.49375709421112374
120,1051.2,50.4,6.4,30.8,90.6,3770.6,0.5084175084175084
121,1060.0,49.2,6.4,32.6,94.0,3757.8,0.5159165751920967
122,1073.0,50.8,5.8,32.8,93.4,3744.2,0.5109409190371991
123,1082.8,49.4,6.0,34.6,95.8,3731.4,0.5156081808396125
124,1086.0,52.4,7.8,35.6,99.0,3719.2,0.5082135523613963
125,1092.8,51.0,7.2,35.6,101.4,3712.0,0.5194672131147541
126,1100.6,48.2,8.4,34.4,106.0,3702.4,0.5380710659898477
127,1108.8,48.6,5.6,33.4,107.2,3696.4,0.5503080082135523
128,1119.8,51.2,3.8,33.2,106.0,3686.0,0.5458290422245109
129,1128.0,51.0,6.4,34.6,105.2,3674.8,0.5334685598377282
130,1135.4,53.8,7.4,35.0,105.2,3663.2,0.522343594836147
131,1137.4,59.8,8.0,35.2,107.0,3652.6,0.5095238095238095
132,1144.4,61.0,6.0,35.8,112.2,3640.6,0.521860465116279
133,1153.0,59.4,8.6,37.2,112.6,3629.2,0.5169880624426079
134,1159.0,57.0,9.6,37.8,116.0,3620.6,0.5263157894736843
135,1162.2,60.2,5.8,40.2,120.2,3611.4,0.5309187279151943
136,1164.0,64.8,6.0,41.4,118.8,3605.0,0.5142857142857142
137,1167.4,68.2,9.2,40.4,118.0,3596.8,0.5004240882103477
138,1170.8,69.6,9.4,40.0,119.6,3590.6,0.501257334450964
139,1174.4,71.6,7.6,38.2,125.4,3582.8,0.5164744645799012
140,1177.2,69.4,9.4,40.0,127.8,3576.2,0.5182481751824817
141,1183.4,69.0,8.2,39.6,132.8,3567.0,0.532051282051282
142,1182.6,68.4,12.4,40.6,131.8,3564.2,0.5205371248025277
143,1184.8,68.2,11.2,41.4,135.6,3558.8,0.5288611544461779
144,1189.0,66.6,8.8,42.6,135.6,3557.4,0.5347003154574133
145,1188.0,69.8,8.4,43.2,135.2,3555.4,0.5268901013250193
146,1189.8,73.4,7.6,44.6,137.2,3547.4,0.5220700152207002
147,1195.6,74.2,9.2,45.2,136.8,3539.0,0.5154483798040693
148,1197.8,77.8,7.2,45.6,139.4,3532.2,0.5162962962962964
149,1199.8,75.8,11.2,45.4,138.8,3529.0,0.5117994100294985
