Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4964.4,25.6,9.2,0,0,0.8,0.0
1,4941.8,44.4,10.8,1.0,0,2.0,0.0
2,4909.0,70.4,13.4,4.4,0,2.8,0.0
3,4863.4,102.0,21.0,9.6,0,4.0,0.0
4,4789.4,152.2,34.2,17.8,0,6.4,0.0
5,4668.0,244.4,49.0,28.2,0,10.4,0.0
6,4498.4,366.2,73.4,46.0,0,16.0,0.0
7,4250.8,544.4,110.8,72.0,0,22.0,0.0
8,3899.0,792.6,163.6,111.2,0,33.6,0.0
9,3437.0,1097.6,246.8,166.6,0,52.0,0.0
10,2865.2,1450.0,364.6,237.4,0,82.8,0.0
11,2200.6,1816.8,523.6,339.6,0,119.4,0.0
12,1522.4,2126.6,711.0,460.6,0,179.4,0.0
13,947.2,2287.4,913.0,592.4,0,260.0,0.0
14,507.0,2288.2,1104.6,730.8,0,369.4,0.0
15,240.8,2096.6,1299.2,859.6,0,503.8,0.0
16,98.8,1826.6,1454.0,967.0,0,653.6,0.0
17,30.2,1535.6,1564.2,1047.4,0,822.6,0.0
18,7.8,1254.6,1642.4,1098.2,0,997.0,0.0
19,3.4,1014.8,1664.0,1119.4,0,1198.4,0.0
20,6.0,815.2,1650.6,1126.4,9.0,1392.8,0.0024991669443518824
21,8.8,659.2,1626.6,1108.4,17.2,1579.8,0.005041918274022395
22,8.6,538.2,1580.0,1086.8,25.8,1760.6,0.007985638232016838
23,7.2,431.4,1526.0,1055.2,33.8,1946.4,0.011095063025210081
24,9.8,354.2,1456.6,1022.4,40.8,2116.2,0.014196242171189978
25,12.6,292.0,1388.8,979.4,45.8,2281.4,0.016925351071692536
26,13.6,241.6,1321.4,930.4,51.4,2441.6,0.020198050927381323
27,13.6,210.2,1247.2,883.0,58.0,2588.0,0.02418278852568379
28,15.4,183.0,1170.2,834.2,65.4,2731.8,0.029030539772727272
29,16.2,163.2,1101.2,789.6,69.2,2860.6,0.0325923134890731
30,16.2,140.4,1036.0,744.4,76.0,2987.0,0.03806089743589743
31,18.6,127.6,965.2,704.0,79.2,3105.4,0.04221748400852879
32,21.4,116.2,898.8,664.6,82.4,3216.6,0.046765039727582294
33,26.2,105.6,846.4,631.4,83.6,3306.8,0.050149970005998794
34,20.2,106.0,795.6,595.8,86.8,3395.6,0.05479106173462946
35,25.8,101.2,744.6,562.6,91.4,3474.4,0.060941458861181484
36,25.8,98.0,692.0,526.2,94.0,3564.0,0.06665721174301517
37,28.8,95.2,641.2,497.4,95.6,3641.8,0.07191214081540544
38,29.6,92.6,599.8,471.0,99.0,3708.0,0.07842205323193915
39,32.2,93.8,557.8,440.4,100.2,3775.6,0.0840463009562154
40,36.8,92.6,504.6,415.0,116.8,3834.2,0.10345438441098317
41,38.4,94.4,456.8,395.8,129.6,3885.0,0.12037897083410738
42,42.6,91.2,410.0,375.6,144.2,3936.4,0.14123408423114592
43,51.6,87.2,371.6,354.8,156.6,3978.2,0.16141001855287568
44,52.6,89.2,331.6,335.6,168.0,4023.0,0.18173950670705322
45,56.0,88.4,294.2,318.8,179.0,4063.6,0.20331667423898225
46,60.8,91.0,261.2,302.6,188.2,4096.2,0.22325029655990508
47,65.8,90.2,232.0,291.2,196.6,4124.2,0.24271604938271604
48,75.2,88.4,201.8,278.8,209.4,4146.4,0.26901336073997945
49,76.6,89.0,177.4,269.2,215.2,4172.6,0.2866275972296217
50,85.2,88.6,156.8,254.4,219.8,4195.2,0.30544747081712065
51,91.0,87.4,136.8,243.4,226.2,4215.2,0.32603055635629863
52,98.8,85.4,118.6,231.2,231.2,4234.8,0.3469387755102041
53,103.6,85.8,100.4,219.4,232.8,4258.0,0.3646616541353383
54,117.4,80.0,85.4,208.4,236.4,4272.4,0.38741396263520156
55,121.0,79.6,74.4,199.2,240.6,4285.2,0.4051869316268104
56,132.0,79.4,60.2,194.2,240.2,4294.0,0.4184668989547038
57,139.2,77.6,51.6,182.4,241.8,4307.4,0.43693530899891575
58,149.0,76.2,44.8,169.0,242.8,4318.2,0.4557057057057058
59,156.4,74.8,39.2,161.6,242.8,4325.2,0.4683641975308641
60,165.8,70.6,30.4,150.2,251.0,4332.0,0.49980087614496216
61,178.2,68.0,22.0,136.4,256.0,4339.4,0.5306799336650083
62,193.4,63.0,19.0,128.2,253.0,4343.4,0.5462003454231433
63,208.8,58.0,13.4,121.6,250.6,4347.6,0.5649233543733092
64,218.4,56.6,9.8,112.2,253.4,4349.6,0.5865740740740741
65,227.4,54.8,8.4,102.6,255.4,4351.4,0.6063627730294397
66,238.8,50.8,6.4,98.8,249.6,4355.6,0.6153846153846153
67,258.0,47.2,6.0,91.2,244.2,4353.4,0.6284096757591353
68,274.2,43.6,6.0,87.4,235.8,4353.0,0.6325107296137339
69,288.0,44.2,3.4,84.0,228.4,4352.0,0.6344444444444445
70,300.6,42.2,6.6,81.6,219.2,4349.8,0.6270022883295194
71,315.6,38.4,6.4,79.8,212.6,4347.2,0.6304863582443654
72,335.8,39.8,3.2,75.2,205.4,4340.6,0.634734239802225
73,348.4,39.8,4.8,71.6,197.0,4338.4,0.6289910600255428
74,367.0,42.2,3.8,66.2,188.8,4332.0,0.6272425249169435
75,380.8,41.4,4.6,62.8,182.4,4328.0,0.6263736263736264
76,396.6,39.0,5.0,59.8,177.6,4322.0,0.6311300639658849
77,415.4,35.4,4.4,57.6,174.2,4313.0,0.6413843888070692
78,434.4,37.8,3.8,56.2,167.4,4300.4,0.6312217194570137
79,450.8,37.2,3.8,54.8,160.6,4292.8,0.6263650546021842
80,466.8,38.8,5.8,53.0,154.4,4281.2,0.6126984126984127
81,483.8,38.2,4.2,50.0,149.6,4274.2,0.6181818181818182
82,500.4,36.8,5.8,49.2,145.4,4262.4,0.6129848229342327
