Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4965.2,24.8,9.6,0,0,0.4,0.0
1,4943.6,41.8,11.6,1.8,0,1.2,0.0
2,4911.6,66.2,15.2,5.0,0,2.0,0.0
3,4865.2,100.6,22.0,8.4,0,3.8,0.0
4,4794.4,152.6,32.8,15.2,0,5.0,0.0
5,4685.4,231.2,47.2,27.6,0,8.6,0.0
6,4519.8,351.6,73.4,41.4,0,13.8,0.0
7,4275.4,526.2,108.4,68.6,0,21.4,0.0
8,3927.2,761.8,163.6,115.0,0,32.4,0.0
9,3425.2,1102.2,246.4,173.6,0,52.6,0.0
10,2813.0,1486.0,364.0,253.2,0,83.8,0.0
11,2091.6,1916.4,513.8,352.8,0,125.4,0.0
12,1393.0,2221.4,713.8,483.0,0,188.8,0.0
13,801.8,2370.2,932.6,622.2,0,273.2,0.0
14,388.2,2314.6,1155.6,762.4,0,379.2,0.0
15,159.4,2075.0,1369.4,893.8,0,502.4,0.0
16,57.2,1765.4,1519.2,990.8,0,667.4,0.0
17,18.0,1455.6,1623.6,1065.0,0,837.8,0.0
18,6.8,1175.0,1691.6,1111.0,0,1015.6,0.0
19,5.8,938.0,1708.0,1134.0,0,1214.2,0.0
20,8.4,755.2,1681.2,1131.0,9.4,1414.8,0.0026280474166853053
21,8.0,613.8,1639.6,1112.8,17.4,1608.4,0.005142451826457028
22,8.0,503.0,1590.8,1080.4,25.4,1792.4,0.00793849231153894
23,11.4,408.8,1528.4,1043.6,32.4,1975.4,0.01075268817204301
24,11.6,333.2,1463.2,1000.8,40.2,2151.0,0.01416790019031508
25,12.8,277.8,1385.4,960.2,46.2,2317.6,0.017305963440215764
26,13.8,236.6,1307.2,917.2,53.4,2471.8,0.021237671014953864
27,12.4,206.2,1230.4,866.4,58.0,2626.6,0.02456586192291402
28,17.6,178.2,1157.8,818.2,62.6,2765.6,0.02823890292313245
29,19.4,155.8,1085.8,769.6,68.0,2901.4,0.0327048864948057
30,20.2,140.8,1022.2,723.2,74.2,3019.4,0.03784941848602326
31,18.0,129.2,962.4,685.4,79.2,3125.8,0.042667815968106884
32,19.4,115.8,899.4,643.2,84.4,3237.8,0.04842781730548543
33,21.2,106.0,846.6,603.8,86.0,3336.4,0.05236239649293716
34,20.4,97.6,795.6,573.2,89.2,3424.0,0.05734121882231936
35,25.8,92.2,744.0,541.0,92.0,3505.0,0.06261911244214538
36,28.8,89.6,691.8,509.0,95.4,3585.4,0.06884110261220955
37,33.8,90.0,645.4,479.2,97.0,3654.6,0.07395547422994816
38,31.6,92.0,603.8,451.0,99.4,3722.2,0.07976247793291606
39,35.0,90.8,566.4,423.6,101.2,3783.0,0.0856175972927242
40,40.2,92.0,516.4,392.8,117.8,3840.8,0.10527256478999106
41,39.8,90.6,465.0,376.2,133.4,3895.0,0.12523469770935036
42,42.4,93.0,418.8,357.6,148.0,3940.2,0.14546884214664832
43,45.4,87.8,378.2,340.4,163.0,3985.2,0.16814524448112234
44,48.8,87.6,335.6,324.4,176.4,4027.2,0.19090909090909092
45,51.6,90.6,294.6,307.2,187.8,4068.2,0.21336059986366734
46,57.4,89.6,261.2,294.4,199.8,4097.6,0.23644970414201186
47,60.8,89.2,231.6,278.4,207.2,4132.8,0.2569444444444444
48,70.0,83.6,207.6,264.2,216.2,4158.4,0.28019699326075687
49,76.2,84.4,185.0,249.0,225.0,4180.4,0.3026634382566586
50,85.0,82.0,163.4,238.8,229.2,4201.6,0.321278385197645
51,96.6,80.0,143.8,225.6,232.8,4221.2,0.3412489006156552
52,103.6,80.8,126.4,216.8,235.8,4236.6,0.35738102455289483
53,108.6,85.0,107.4,204.2,238.8,4256.0,0.3758262511803588
54,114.6,82.0,92.8,193.4,240.6,4276.6,0.39520367936925094
55,124.4,80.4,76.2,181.2,243.6,4294.2,0.41898864809081526
56,133.8,76.8,65.4,173.8,244.8,4305.4,0.4365192582025678
57,143.6,70.0,58.4,166.6,246.4,4315.0,0.45511636497968233
58,152.2,69.6,49.6,157.6,244.2,4326.8,0.46871401151631475
59,163.2,66.6,42.4,148.6,241.8,4337.4,0.4841810172206648
60,174.4,65.2,29.2,138.8,251.0,4341.4,0.5183808343659644
61,187.2,56.8,21.0,133.0,258.8,4343.2,0.551107325383305
62,198.2,56.6,13.6,123.6,260.8,4347.2,0.5736911570611527
63,210.6,52.8,9.2,114.6,258.0,4354.8,0.5936493327197423
64,224.8,49.0,6.8,107.6,254.4,4357.4,0.6089037817137387
65,235.0,47.2,5.8,102.2,249.4,4360.4,0.6164112703905091
66,249.2,46.4,5.2,95.8,243.8,4359.6,0.6232106339468302
67,263.6,46.6,5.4,89.0,235.6,4359.8,0.6255974508762613
