Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4982.2,7.8,9.2,0,0,0.8,0.0
1,4975.4,13.0,9.8,0.8,0,1.0,0.0
2,4968.8,15.8,10.4,2.6,0,2.4,0.0
3,4960.8,21.0,11.4,3.4,0,3.4,0.0
4,4948.6,28.4,14.0,4.6,0,4.4,0.0
5,4935.6,38.2,15.6,5.2,0,5.4,0.0
6,4918.2,46.6,19.6,8.8,0,6.8,0.0
7,4895.8,59.4,24.2,11.4,0,9.2,0.0
8,4867.8,73.8,30.4,15.8,0,12.2,0.0
9,4828.0,99.8,38.2,18.8,0,15.2,0.0
10,4786.0,119.2,50.0,24.8,0,20.0,0.0
11,4729.6,149.6,63.0,32.6,0,25.2,0.0
12,4650.4,198.0,78.6,40.4,0,32.6,0.0
13,4560.8,249.0,92.6,55.4,0,42.2,0.0
14,4464.6,292.6,115.4,72.0,0,55.4,0.0
15,4342.0,360.4,141.2,88.2,0,68.2,0.0
16,4203.4,426.8,172.4,113.4,0,84.0,0.0
17,4055.4,495.6,207.2,138.6,0,103.2,0.0
18,3899.8,545.4,259.6,168.8,0,126.4,0.0
19,3733.0,601.4,303.0,200.0,0,162.6,0.0
20,3579.8,636.2,341.0,234.0,8.4,200.6,0.006887504099704821
21,3446.8,641.2,378.8,271.2,16.0,246.0,0.012239902080783353
22,3316.8,638.0,430.0,303.0,23.4,288.8,0.01678141135972461
23,3198.2,630.2,474.0,332.6,29.6,335.4,0.020185488270594652
24,3104.4,602.2,508.6,354.4,36.2,394.2,0.024110829892100703
25,3010.2,580.0,534.8,377.2,42.4,455.4,0.02763295099061522
26,2923.4,557.6,555.6,396.6,48.4,518.4,0.03106148119625208
27,2841.2,532.2,576.8,410.4,54.4,585.0,0.03456601855381878
28,2751.2,517.0,594.4,423.8,60.2,653.4,0.037733483765826754
29,2675.2,497.4,605.0,432.0,63.6,726.8,0.039799749687108886
30,2593.2,480.0,615.4,442.4,69.0,800.0,0.04294249439880508
31,2506.0,477.4,619.8,445.8,73.2,877.8,0.045291424328672204
32,2402.4,490.2,622.2,448.8,75.4,961.0,0.046071123060002446
33,2302.2,504.4,620.4,452.4,79.4,1041.2,0.04792949414463359
34,2203.8,508.2,632.2,455.6,84.2,1116.0,0.05011308177597905
35,2105.6,511.6,638.4,464.6,87.4,1192.4,0.051351351351351354
36,2001.2,519.2,652.2,474.8,90.4,1262.2,0.05205574110330531
37,1899.4,522.8,657.8,482.6,94.0,1343.4,0.05349419531072161
38,1798.0,531.6,662.4,492.6,95.6,1419.8,0.053641566603074856
39,1696.2,533.4,670.0,504.0,99.4,1497.0,0.05501439008191277
40,1601.6,528.4,662.6,512.2,116.0,1579.2,0.06376429199648197
41,1506.2,522.8,659.2,514.8,132.0,1665.0,0.07217847769028872
42,1417.6,519.8,655.6,518.4,143.6,1745.0,0.07815391313812996
43,1321.8,522.8,646.6,523.6,156.4,1828.8,0.08456796798961826
44,1233.4,514.6,641.2,531.0,170.6,1909.2,0.09184882093248627
45,1146.4,511.6,629.2,538.2,180.8,1993.8,0.09721475427465319
46,1068.6,498.8,625.8,538.6,192.6,2075.6,0.10378273520853541
47,990.0,494.2,617.8,541.0,202.2,2154.8,0.10899094437257438
48,926.2,473.0,605.8,548.6,212.4,2234.0,0.11544733123165561
49,865.2,456.8,590.4,545.6,222.8,2319.2,0.12271425424102225
50,799.4,441.6,584.2,545.0,227.6,2402.2,0.12655693950177935
51,747.6,419.0,569.6,545.4,232.4,2486.0,0.13156702898550723
52,701.4,400.8,558.4,532.4,237.4,2569.6,0.1373048004626952
53,659.6,375.6,536.0,531.0,242.0,2655.8,0.1436542799477621
54,620.2,350.2,526.0,526.0,241.0,2736.6,0.14666504381694254
55,582.8,336.0,507.6,512.0,241.0,2820.6,0.15094575973944632
56,547.0,323.4,486.6,500.2,248.0,2894.8,0.15915800282377102
57,516.4,303.6,472.2,485.4,248.8,2973.6,0.16476821192052984
58,490.0,284.4,450.8,470.8,252.8,3051.2,0.17329311763092956
59,470.2,265.0,432.6,457.0,257.2,3118.0,0.18217877886386175
60,451.6,248.2,405.0,443.0,275.8,3176.4,0.2010204081632653
61,432.4,233.0,376.6,428.4,286.6,3243.0,0.21636720519402086
62,428.6,207.6,343.4,417.6,306.0,3296.8,0.2400753177467441
63,422.4,193.0,311.0,400.4,319.4,3353.8,0.2609903579016179
64,407.6,188.2,275.6,381.4,331.0,3416.2,0.281414725386839
65,402.6,173.8,242.0,370.8,342.6,3468.2,0.30340063761955366
66,400.4,161.8,207.6,355.4,356.0,3518.8,0.32938564026646927
67,397.6,148.0,183.4,336.8,366.0,3568.2,0.35389673177335135
68,397.8,136.4,155.8,321.8,378.2,3610.0,0.3811731505744809
69,397.0,126.0,130.8,309.4,385.0,3651.8,0.40475189234650966
70,402.8,114.2,103.8,294.4,396.4,3688.4,0.43617957746478875
71,403.2,109.4,76.4,280.6,400.2,3730.2,0.4618047542118624
72,411.6,94.8,54.6,265.6,405.4,3768.0,0.4941491955143832
73,420.6,83.6,48.4,241.8,403.8,3801.8,0.5192901234567902
74,432.0,76.4,37.4,226.0,398.2,3830.0,0.5395663956639566
75,444.2,68.8,24.0,209.6,398.0,3855.4,0.568246716162193
76,453.6,62.4,19.4,192.0,391.0,3881.6,0.5881468110709989
77,465.6,57.4,14.8,179.0,378.0,3905.2,0.6007628734901461
78,477.0,50.6,15.6,162.8,363.0,3931.0,0.6131756756756757
79,492.2,43.2,11.0,152.0,352.0,3949.6,0.6305983518452167
80,509.2,38.0,9.6,136.8,340.0,3966.4,0.6483600305110603
81,518.4,35.0,7.4,130.2,321.2,3987.8,0.6504657756176591
