Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4980.8,9.2,9.2,0,0,0.8,0.0
1,4974.0,14.0,9.8,0.6,0,1.6,0.0
2,4966.8,18.4,10.8,1.8,0,2.2,0.0
3,4957.4,24.4,12.2,3.2,0,2.8,0.0
4,4944.4,32.4,13.8,5.8,0,3.6,0.0
5,4932.4,37.0,15.6,9.2,0,5.8,0.0
6,4913.0,51.0,17.8,10.8,0,7.4,0.0
7,4889.4,66.2,22.4,12.8,0,9.2,0.0
8,4854.8,88.0,27.8,17.2,0,12.2,0.0
9,4811.0,115.4,37.8,22.0,0,13.8,0.0
10,4761.2,143.0,48.0,29.8,0,18.0,0.0
11,4699.8,176.0,59.8,40.4,0,24.0,0.0
12,4616.6,225.0,74.4,54.2,0,29.8,0.0
13,4520.6,275.0,101.8,64.6,0,38.0,0.0
14,4404.8,333.2,127.6,83.2,0,51.2,0.0
15,4266.4,405.0,159.6,104.0,0,65.0,0.0
16,4126.6,467.0,190.8,130.8,0,84.8,0.0
17,3992.0,518.4,229.0,156.2,0,104.4,0.0
18,3863.6,542.4,275.2,186.2,0,132.6,0.0
19,3734.2,569.2,320.4,212.2,0,164.0,0.0
20,3630.4,557.8,356.4,242.4,13.2,199.8,0.011283980167550008
21,3532.6,539.2,381.4,272.2,31.0,243.6,0.025330936427520837
22,3450.8,518.4,397.2,295.0,51.0,287.6,0.040424857324032976
23,3383.8,479.0,409.6,320.6,72.2,334.8,0.056344623068518805
24,3317.8,451.4,407.4,336.2,89.6,397.6,0.06974933831542893
25,3251.2,425.6,406.0,355.0,107.2,455.0,0.08285670119029216
26,3191.2,410.6,400.6,358.0,122.2,517.4,0.094625987300604
27,3125.6,389.4,407.8,366.8,137.2,573.2,0.10544113126344912
28,3048.4,392.6,398.6,370.2,149.2,641.0,0.11384098886006407
29,2967.0,399.4,393.0,377.0,160.2,703.4,0.1204873646209386
30,2897.4,401.4,384.2,376.6,172.8,767.6,0.12943820224719105
31,2822.2,404.0,379.0,377.6,186.2,831.0,0.13825363825363826
32,2737.8,409.6,376.4,380.2,198.0,898.0,0.14514000879636416
33,2664.2,410.0,369.4,384.0,211.6,960.8,0.15389090909090908
34,2588.8,404.4,369.0,387.6,225.0,1025.2,0.16233766233766234
35,2516.4,400.0,362.6,392.6,236.4,1092.0,0.16987640126473122
36,2440.8,401.8,358.4,393.2,244.8,1161.0,0.17508224860534974
37,2372.0,397.0,356.6,395.6,256.6,1222.2,0.18252952055768956
38,2309.8,392.6,350.4,392.0,267.2,1288.0,0.1905576950506347
39,2248.2,383.8,345.2,397.8,272.4,1352.6,0.1946826758147513
40,2197.8,360.0,310.4,401.0,313.2,1417.6,0.22620251336125954
41,2147.8,347.2,272.0,400.2,349.6,1483.2,0.25536888239590944
42,2107.8,324.6,239.4,397.0,385.0,1546.2,0.28603268945022287
43,2066.0,308.8,202.8,389.6,414.0,1618.8,0.3147810218978102
44,2029.8,297.2,167.6,385.2,446.2,1674.0,0.3442370004628915
45,1994.0,275.0,137.2,388.4,474.4,1731.0,0.372078431372549
46,1961.2,263.8,114.4,372.4,495.6,1792.6,0.39768897448242657
47,1926.6,252.6,99.4,353.4,511.8,1856.2,0.4204732172198488
48,1908.4,228.0,79.2,342.0,523.6,1918.8,0.4464529331514324
49,1882.6,215.0,67.0,328.6,527.8,1979.0,0.4636331693605059
50,1860.2,199.4,52.8,319.2,528.6,2039.8,0.48054545454545455
51,1837.4,184.8,46.4,306.0,531.4,2094.0,0.49728616881901555
52,1819.2,171.8,37.8,296.8,530.8,2143.6,0.5117624373312765
53,1804.4,165.6,29.8,275.6,529.2,2195.4,0.5290941811637673
54,1788.8,158.4,21.4,260.2,523.8,2247.4,0.54347374974061
55,1778.4,145.2,20.8,245.8,517.6,2292.2,0.5569184420055949
56,1766.4,139.8,17.4,230.8,506.0,2339.6,0.5659955257270693
57,1759.2,131.0,15.0,218.2,496.6,2380.0,0.5769052044609666
58,1750.0,128.2,14.4,200.2,490.0,2417.2,0.5883765609990395
59,1747.6,118.4,14.6,189.8,473.4,2456.2,0.5945742275810098
60,1743.0,115.8,12.0,174.0,463.2,2492.0,0.6054901960784314
61,1736.6,117.4,8.4,162.0,454.6,2521.0,0.6123383620689655
62,1734.0,111.4,12.4,152.0,438.8,2551.4,0.6140498180800448
63,1731.2,104.0,12.8,144.0,424.2,2583.8,0.6192700729927008
64,1732.8,96.4,14.4,135.6,406.6,2614.2,0.6226646248085759
65,1730.0,92.8,10.8,128.4,397.6,2640.4,0.6315120711562897
66,1729.0,89.4,9.4,121.8,383.8,2666.6,0.6350099272005294
67,1733.6,83.2,9.2,115.0,365.8,2693.2,0.6381716678297278
68,1735.2,79.2,10.6,109.6,354.8,2710.6,0.6402020931071815
69,1737.6,77.0,9.0,103.2,346.0,2727.2,0.6464872944693572
70,1739.2,73.0,8.6,96.2,334.4,2748.6,0.6528699726669269
71,1746.4,69.8,9.0,88.4,320.0,2766.4,0.6568144499178982
72,1753.0,64.8,8.0,84.4,309.4,2780.4,0.6630947278182597
73,1757.4,63.2,7.0,80.0,299.0,2793.4,0.6656277827248441
74,1760.2,58.6,9.4,76.0,290.4,2805.4,0.6685082872928176
75,1771.2,52.4,8.6,71.8,279.4,2816.6,0.6778262979136341
76,1779.6,50.4,7.2,69.0,272.4,2821.4,0.6827067669172932
77,1787.0,48.6,5.8,64.6,264.2,2829.8,0.6894572025052192
78,1795.8,46.6,3.8,62.6,250.6,2840.6,0.6892189218921891
79,1804.6,42.6,7.0,60.8,238.8,2846.2,0.683848797250859
80,1810.8,39.8,4.8,58.8,231.6,2854.2,0.6913432835820895
81,1822.8,37.6,4.8,56.0,220.0,2858.8,0.6909547738693468
82,1831.6,37.2,4.0,52.6,207.4,2867.2,0.6885790172642762
83,1840.4,36.2,5.8,48.6,199.8,2869.2,0.6880165289256199
84,1850.6,36.6,3.0,46.4,192.0,2871.4,0.6906474820143885
85,1859.8,36.6,3.2,44.0,179.4,2877.0,0.68161094224924
86,1868.2,34.2,4.4,42.8,168.8,2881.6,0.6746602717825739
87,1881.2,30.6,4.8,41.6,161.8,2880.0,0.6775544388609716
88,1895.4,29.8,2.8,40.0,157.4,2874.6,0.6843478260869565
89,1906.6,28.8,5.2,35.6,148.0,2875.8,0.6801470588235294
90,1915.6,28.4,3.8,33.4,142.2,2876.6,0.6843118383060636
91,1928.0,28.6,3.0,30.8,137.2,2872.4,0.6873747494989979
92,1937.8,26.8,2.8,31.0,131.2,2870.4,0.6840458811261731
93,1950.0,26.0,3.6,28.8,121.6,2870.0,0.6755555555555556
94,1962.6,25.2,2.6,25.8,115.6,2868.2,0.6832151300236406
95,1977.4,22.0,3.2,25.8,112.8,2858.8,0.6886446886446885
96,1992.4,19.4,2.8,24.4,108.6,2852.4,0.6997422680412372
97,2006.8,20.4,1.8,22.8,105.2,2843.0,0.700399467376831
98,2019.4,18.8,2.8,23.4,99.6,2836.0,0.6887966804979253
99,2031.0,18.2,2.2,23.8,94.6,2830.2,0.6815561959654177
100,2043.4,18.0,2.4,22.8,90.0,2823.4,0.6756756756756758
101,2052.0,16.0,2.8,22.6,86.8,2819.8,0.6770670826833074
102,2064.8,16.6,1.2,21.4,84.2,2811.8,0.6823338735818476
103,2080.4,18.4,1.6,20.2,79.6,2799.8,0.664440734557596
104,2095.2,16.8,1.8,18.6,76.0,2791.6,0.6713780918727915
105,2108.2,16.2,2.2,18.2,73.0,2782.2,0.666058394160584
106,2123.4,15.4,2.2,17.6,69.4,2772.0,0.6634799235181644
107,2135.0,14.6,1.8,17.4,66.4,2764.8,0.6626746506986029
108,2145.4,16.4,0.8,16.2,61.6,2759.6,0.648421052631579
109,2156.6,15.8,1.4,16.2,57.8,2752.2,0.6337719298245614
110,2169.4,16.8,2.0,15.6,56.0,2740.2,0.6194690265486725
111,2185.0,17.8,0.8,15.0,54.4,2727.0,0.6181818181818182
