Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4982.8,7.2,9.2,0,0,0.8,0.0
1,4976.0,12.4,9.8,0.2,0,1.6,0.0
2,4969.2,16.8,10.4,1.2,0,2.4,0.0
3,4960.6,23.4,11.4,1.6,0,3.0,0.0
4,4951.2,27.4,13.8,3.0,0,4.6,0.0
5,4935.8,39.2,14.8,3.6,0,6.6,0.0
6,4920.8,47.4,16.2,7.4,0,8.2,0.0
7,4901.2,58.4,20.0,10.2,0,10.2,0.0
8,4878.0,73.6,23.4,13.2,0,11.8,0.0
9,4847.6,90.6,29.8,17.0,0,15.0,0.0
10,4804.6,116.2,37.4,24.8,0,17.0,0.0
11,4760.8,138.0,47.6,32.4,0,21.2,0.0
12,4696.0,174.4,60.8,42.2,0,26.6,0.0
13,4608.2,224.2,81.8,53.2,0,32.6,0.0
14,4509.8,277.4,105.0,64.2,0,43.6,0.0
15,4388.4,344.0,129.8,82.2,0,55.6,0.0
16,4257.0,404.0,163.0,104.4,0,71.6,0.0
17,4111.2,468.0,197.8,132.2,0,90.8,0.0
18,3964.0,524.2,236.0,160.6,0,115.2,0.0
19,3834.4,553.4,281.6,187.2,0,143.4,0.0
20,3717.8,568.4,309.4,215.8,14.6,174.0,0.01317451723515611
21,3621.4,545.8,341.2,249.4,32.8,209.4,0.028053369825521722
22,3544.4,517.4,354.2,274.4,53.8,255.8,0.044840806801133525
23,3478.0,481.8,369.2,294.8,71.6,304.6,0.058813865615245604
24,3417.4,452.0,382.0,313.8,86.2,348.6,0.06985413290113453
25,3361.0,426.8,385.4,322.8,103.8,400.2,0.08379076525670004
26,3307.6,399.4,381.6,333.4,117.4,460.6,0.09530767981815229
27,3261.0,368.0,382.4,341.6,133.8,513.2,0.10915320606950564
28,3216.0,341.6,372.4,346.0,147.4,576.6,0.12208050356137154
29,3165.8,324.6,366.8,345.8,160.2,636.8,0.1337898780691498
30,3112.2,321.0,352.8,340.8,174.4,698.8,0.14667788057190917
31,3064.0,308.2,344.0,336.8,184.6,762.4,0.15729379686434902
32,3007.4,311.2,333.4,331.0,195.4,821.6,0.16686592655849702
33,2959.4,303.4,317.4,335.0,205.4,879.4,0.17688598002066827
34,2908.0,299.6,309.4,333.8,218.4,930.8,0.1880812952118498
35,2844.6,305.6,294.8,337.4,228.2,989.4,0.19571183533447684
36,2792.0,301.0,286.2,343.6,236.0,1041.2,0.2022625985601645
37,2730.4,305.8,275.8,344.8,245.8,1097.4,0.2096911789796963
38,2660.8,315.0,270.4,345.6,256.0,1152.2,0.21566975568660487
39,2590.8,325.2,266.4,344.8,264.2,1208.6,0.22005663834749292
40,2535.4,320.4,231.6,348.4,309.2,1255.0,0.25562169312169314
41,2478.0,322.6,194.4,346.0,343.2,1315.8,0.28452992870170785
42,2418.2,318.2,172.8,343.2,371.6,1376.0,0.30817714380494277
43,2364.4,313.6,144.6,343.0,405.4,1429.0,0.33598541355876016
44,2309.8,303.8,123.8,346.4,426.6,1489.6,0.3553223388305847
45,2263.8,298.4,97.4,345.0,452.0,1543.4,0.3789403085177733
46,2216.4,296.2,76.8,338.0,466.6,1606.0,0.39622961956521746
47,2173.6,284.4,75.6,324.4,476.6,1665.4,0.41050818260120586
48,2123.8,282.0,68.2,317.6,486.8,1721.6,0.4216178763208038
49,2080.0,283.8,61.6,304.0,497.4,1773.2,0.43372863620509233
50,2042.8,275.4,55.2,302.0,503.2,1821.4,0.443035745729882
51,2005.6,268.6,56.2,294.6,500.6,1874.4,0.44696428571428576
52,1975.4,255.2,55.2,287.8,501.2,1925.2,0.45588502819719845
53,1947.4,238.4,56.0,281.0,500.6,1976.6,0.46524163568773236
54,1921.4,226.2,58.4,271.8,498.0,2024.2,0.47230652503793624
55,1895.8,216.0,57.4,263.0,492.2,2075.6,0.47851448570873034
56,1872.8,205.2,61.4,254.2,484.2,2122.2,0.4817910447761194
57,1850.4,193.0,59.2,248.0,486.4,2163.0,0.4930062842083925
58,1838.6,177.8,54.8,240.2,486.2,2202.4,0.5069864442127215
59,1825.0,166.8,50.6,234.2,481.2,2242.2,0.5158662092624356
60,1813.8,151.8,44.8,226.8,491.8,2271.0,0.5373688811188811
61,1804.4,142.6,37.8,214.8,483.6,2316.8,0.5502958579881657
62,1797.6,131.6,30.8,204.0,479.8,2356.2,0.5670054360671236
63,1790.6,127.6,24.0,190.4,476.0,2391.4,0.5819070904645477
64,1782.6,118.0,21.0,180.8,467.0,2430.6,0.5935434672089477
65,1776.2,112.8,13.6,173.6,459.8,2464.0,0.6051592524348514
66,1774.4,105.8,9.8,160.0,453.4,2496.6,0.6219478737997256
67,1775.6,94.8,12.8,147.8,443.6,2525.4,0.6346208869814021
68,1773.4,91.2,12.0,135.2,436.0,2552.2,0.6465005931198102
69,1769.2,89.0,11.8,123.4,422.8,2583.8,0.6534775888717156
70,1773.8,76.6,13.8,115.2,413.8,2606.8,0.6680658701969648
71,1774.0,72.2,9.2,107.4,403.8,2633.4,0.6814039824502194
72,1773.6,70.8,9.4,102.6,383.8,2659.8,0.6773738086833745
73,1779.8,68.8,7.2,97.6,368.6,2678.0,0.6798229435632608
74,1779.0,70.6,6.6,92.6,352.4,2698.8,0.6748372271160475
75,1780.0,70.8,6.4,89.4,335.2,2718.2,0.6679952172180151
76,1781.4,66.4,9.0,85.4,320.8,2737.0,0.6661129568106312
77,1782.4,63.8,6.4,81.8,308.6,2757.0,0.6699956578376032
78,1788.4,57.8,8.8,77.4,298.8,2768.8,0.6747967479674797
79,1794.8,53.2,8.0,73.6,290.6,2779.8,0.6831217677480019
80,1802.6,49.8,9.2,68.4,282.4,2787.6,0.6891166422645193
81,1811.0,46.4,6.6,65.0,275.8,2795.2,0.7003555104113763
82,1816.6,44.8,5.4,59.4,264.0,2809.8,0.7066381156316917
83,1825.6,42.0,7.4,56.4,252.6,2816.0,0.7047991071428572
84,1834.6,37.6,5.8,54.4,246.8,2820.8,0.7161926871735346
85,1848.4,34.8,3.4,52.2,238.0,2823.2,0.7247259439707674
86,1854.6,36.8,3.0,50.0,227.4,2828.2,0.7168978562421185
87,1868.4,33.0,3.2,47.4,215.0,2833.0,0.7200267916945746
88,1876.0,32.8,2.8,43.8,205.2,2839.4,0.7210119465917078
89,1888.0,30.2,3.6,42.8,193.6,2841.8,0.7165062916358254
90,1896.0,30.6,3.0,40.4,182.2,2847.8,0.7111631537861046
91,1907.0,32.4,2.2,37.4,172.2,2848.8,0.7051597051597052
92,1917.4,30.2,4.2,37.2,161.8,2849.2,0.6932305055698372
93,1928.8,25.8,4.4,36.8,156.4,2847.8,0.7000895255147718
94,1941.2,23.4,3.6,37.2,149.6,2845.0,0.6997193638914873
95,1950.6,23.4,2.8,35.0,142.8,2845.4,0.7000000000000001
96,1961.4,23.4,2.8,33.0,137.0,2842.4,0.6982670744138635
97,1968.8,23.4,2.2,32.4,132.6,2840.6,0.695697796432319
98,1982.2,24.6,1.8,32.0,126.4,2833.0,0.683982683982684
99,1991.6,24.2,2.8,30.6,119.2,2831.6,0.67420814479638
100,2003.6,24.2,2.6,28.2,116.2,2825.2,0.6787383177570094
101,2017.6,24.6,2.4,27.2,112.6,2815.6,0.6750599520383692
102,2028.4,23.6,2.8,25.4,108.8,2811.0,0.6774595267745953
103,2042.0,22.2,2.2,24.2,103.6,2805.8,0.6806833114323259
104,2058.6,19.6,3.0,23.2,98.2,2797.4,0.6819444444444445
105,2071.0,18.2,3.0,21.6,95.6,2790.6,0.6907514450867053
106,2082.4,16.2,3.2,21.0,93.4,2783.8,0.6980568011958146
107,2095.6,16.4,1.8,20.0,91.4,2774.8,0.7052469135802468
108,2104.8,16.0,2.8,20.2,87.6,2768.6,0.6919431279620853
109,2117.0,15.6,1.6,20.0,86.2,2759.6,0.6985413290113452
110,2127.6,16.0,1.0,19.0,83.0,2753.4,0.6974789915966386
111,2138.6,16.4,1.4,17.4,77.6,2748.6,0.6879432624113476
112,2151.6,15.6,1.6,17.0,74.8,2739.4,0.6862385321100917
113,2163.6,15.6,1.4,15.6,71.8,2732.0,0.6877394636015325
114,2176.8,16.0,1.4,15.8,68.8,2721.2,0.6745098039215686
115,2192.2,16.6,1.2,14.4,64.4,2711.2,0.6666666666666666
116,2205.4,15.0,1.2,14.4,62.6,2701.4,0.6716738197424893
117,2215.8,15.4,1.2,13.8,60.2,2693.6,0.6644591611479028
118,2228.0,14.6,2.2,14.2,56.6,2684.4,0.6461187214611873
119,2242.0,14.2,2.0,13.6,55.2,2673.0,0.6494117647058824
120,2253.4,13.0,2.0,13.0,52.8,2665.8,0.6534653465346535
121,2266.2,12.6,2.2,12.4,51.0,2655.6,0.6521739130434783
122,2280.6,12.2,0.8,12.6,49.4,2644.4,0.6586666666666666
123,2293.6,12.2,1.8,11.8,47.0,2633.6,0.6456043956043956
124,2304.2,11.6,1.2,11.0,46.6,2625.4,0.6619318181818181
125,2316.0,10.6,1.4,11.6,45.0,2615.4,0.6559766763848397
126,2330.4,10.8,1.4,11.8,43.4,2602.2,0.6439169139465875
127,2340.6,9.4,1.8,12.2,41.8,2594.2,0.6411042944785277
128,2351.6,10.8,1.0,10.6,41.0,2585.0,0.6466876971608833
129,2365.6,11.6,0.8,10.4,39.8,2571.8,0.6357827476038339
130,2379.0,11.4,0.4,10.6,37.2,2561.4,0.6241610738255033
131,2392.4,11.0,1.4,10.6,36.2,2548.4,0.6114864864864865
132,2407.0,11.2,1.0,10.0,35.4,2535.4,0.6145833333333334
133,2417.0,11.0,1.2,11.0,33.8,2526.0,0.5929824561403508
134,2428.0,10.2,1.6,11.6,33.8,2514.8,0.5909090909090909
135,2439.2,9.6,1.0,12.0,33.2,2505.0,0.5949820788530465
136,2452.8,9.4,1.0,11.6,33.0,2492.2,0.6
137,2463.4,10.4,1.0,11.4,31.2,2482.6,0.5777777777777777
138,2478.0,9.6,1.0,12.6,30.6,2468.2,0.5687732342007435
139,2487.8,11.2,1.0,11.2,31.0,2457.8,0.5698529411764706
140,2497.2,10.4,1.6,11.6,29.8,2449.4,0.5580524344569288
141,2509.4,9.6,1.2,11.4,28.4,2440.0,0.5612648221343874
142,2523.0,9.8,1.4,10.4,27.6,2427.8,0.5609756097560975
143,2533.8,9.0,0.8,10.6,26.6,2419.2,0.5659574468085107
144,2542.8,8.0,1.4,11.0,26.2,2410.6,0.5622317596566524
145,2553.4,8.8,0.8,10.8,26.4,2399.8,0.5641025641025641
146,2562.8,9.6,1.0,10.0,25.4,2391.2,0.5521739130434782
147,2573.4,9.2,1.0,10.6,25.4,2380.4,0.5497835497835498
148,2582.8,9.0,0.8,10.0,25.2,2372.2,0.5599999999999999
149,2590.6,9.0,1.2,11.0,24.6,2363.6,0.537117903930131
