Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4982.4,7.6,9.4,0,0,0.6,0.0
1,4973.4,15.0,10.2,0.4,0,1.0,0.0
2,4962.6,22.0,11.4,1.8,0,2.2,0.0
3,4952.0,28.4,12.6,3.4,0,3.6,0.0
4,4939.8,35.8,14.6,5.4,0,4.4,0.0
5,4923.6,44.6,17.4,7.8,0,6.6,0.0
6,4904.0,55.6,21.2,10.4,0,8.8,0.0
7,4876.4,71.6,27.0,15.2,0,9.8,0.0
8,4840.6,94.4,33.2,19.2,0,12.6,0.0
9,4791.2,125.8,42.6,24.2,0,16.2,0.0
10,4732.2,160.0,53.6,31.8,0,22.4,0.0
11,4663.0,201.2,65.2,40.4,0,30.2,0.0
12,4576.8,245.6,87.0,53.0,0,37.6,0.0
13,4467.6,303.0,111.4,70.6,0,47.4,0.0
14,4335.4,379.2,136.8,89.0,0,59.6,0.0
15,4189.8,445.8,172.4,116.2,0,75.8,0.0
16,4033.6,511.6,213.6,144.8,0,96.4,0.0
17,3868.2,585.2,258.0,170.2,0,118.4,0.0
18,3706.0,624.6,310.6,206.8,0,152.0,0.0
19,3542.6,666.6,363.8,237.4,0,189.6,0.0
20,3412.0,662.0,412.0,281.0,10.0,223.0,0.007326007326007326
21,3293.2,642.6,453.8,316.4,19.2,274.8,0.013407821229050277
22,3179.0,626.8,493.4,344.0,28.4,328.4,0.019027200857563983
23,3079.8,596.2,530.4,371.6,34.0,388.0,0.022190314580341996
24,2987.0,567.2,563.0,392.4,40.4,450.0,0.02584772872680742
25,2900.2,545.6,581.0,409.6,46.4,517.2,0.02931884241122204
26,2813.2,528.6,593.6,421.0,52.4,591.2,0.032840310854850834
27,2723.6,511.8,614.4,427.0,58.8,664.4,0.03647642679900744
28,2633.2,502.2,626.6,435.6,63.8,738.6,0.03918437538385947
29,2541.8,500.0,635.6,441.8,68.0,812.8,0.04132733681779507
30,2434.0,513.2,641.4,458.0,73.0,880.4,0.04330802088277171
31,2331.2,515.6,648.2,469.2,77.8,958.0,0.04547580079494973
32,2217.8,528.8,659.2,482.4,81.0,1030.8,0.046248715313463515
33,2110.8,541.2,660.0,489.0,85.2,1113.8,0.047989185535653935
34,2000.4,550.0,670.8,494.0,87.8,1197.0,0.04870742261178298
35,1890.6,555.6,679.2,504.0,89.4,1281.2,0.04890055792582868
36,1774.4,569.0,685.0,515.6,93.8,1362.2,0.05033809166040571
37,1668.8,565.8,694.2,526.8,97.4,1447.0,0.05169302621802357
38,1557.2,567.2,711.4,531.2,101.0,1532.0,0.052857441909148005
39,1461.6,559.0,718.6,542.4,103.8,1614.6,0.05395571265204283
40,1363.2,561.4,707.2,544.4,120.8,1703.0,0.06246768021512049
41,1274.6,543.6,699.4,553.0,136.4,1793.0,0.07058580004139929
42,1190.2,525.4,690.6,558.6,149.6,1885.6,0.07774659598794305
43,1116.4,502.6,683.2,562.6,162.0,1973.2,0.08479899497487436
44,1046.0,482.4,677.4,562.4,176.6,2055.2,0.09300610912155047
45,976.6,459.4,664.0,567.6,190.8,2141.6,0.10139228398342014
46,912.6,438.4,652.0,561.4,202.4,2233.2,0.10915758817819005
47,855.4,419.8,638.4,554.0,212.0,2320.4,0.11621532726674706
48,801.2,398.2,622.0,557.4,221.2,2400.0,0.12297086946853457
49,739.6,396.2,606.0,538.2,230.4,2489.6,0.1301106844364129
50,694.4,372.8,591.8,534.4,233.6,2573.0,0.13482627265381508
51,650.2,357.2,577.2,522.8,239.2,2653.4,0.14100448007545388
52,610.0,330.4,561.2,514.0,245.4,2739.0,0.14863718958207148
53,580.2,305.8,541.6,506.4,250.4,2815.6,0.15609026305946888
54,553.4,288.4,513.6,496.2,253.0,2895.4,0.16309953584321815
55,526.6,273.4,485.8,483.8,257.0,2973.4,0.17133333333333334
56,502.2,262.8,457.2,470.8,258.6,3048.4,0.17841865599558437
57,477.0,255.8,428.8,461.4,265.8,3111.2,0.18827029324266895
58,465.6,231.4,408.4,444.4,269.0,3181.2,0.19878805793674256
59,450.2,219.8,385.4,433.6,274.6,3236.4,0.20907568143749047
60,442.4,203.2,350.2,417.6,292.0,3294.6,0.23119556611243072
61,432.0,192.2,311.4,406.6,309.6,3348.2,0.2538121003443187
62,424.6,178.6,274.0,396.8,323.8,3402.2,0.27599727241732014
63,418.0,167.6,240.4,385.8,340.0,3448.2,0.2998765214323514
64,417.0,152.8,207.8,365.8,355.6,3501.0,0.32865064695009244
65,416.0,141.0,173.8,351.8,366.0,3551.4,0.35444509006391633
66,415.6,132.8,137.4,341.6,376.2,3596.4,0.38076923076923075
67,425.4,119.8,110.8,328.0,380.4,3635.6,0.405111821086262
68,431.2,109.6,85.0,315.2,388.0,3671.0,0.4321675206059256
69,436.8,102.6,59.0,298.0,391.0,3712.6,0.4596755231601223
70,440.2,96.8,42.4,281.0,389.6,3750.0,0.48110644603605834
71,445.0,91.4,30.6,267.2,388.4,3777.4,0.49948559670781895
72,454.6,84.8,18.2,251.8,389.6,3801.0,0.523374529822676
73,467.6,75.4,13.4,232.4,383.6,3827.6,0.5442678774120318
74,481.8,67.2,11.6,215.4,372.8,3851.2,0.558920539730135
75,493.8,62.8,9.4,198.6,362.8,3872.6,0.57260101010101
76,514.8,54.8,9.8,185.0,353.2,3882.4,0.5859323158593231
77,529.0,50.4,6.0,170.8,342.2,3901.6,0.6009834913944503
78,543.6,47.4,5.8,159.0,331.6,3912.6,0.6097830084589924
79,558.6,43.0,5.0,150.4,315.2,3927.8,0.6137071651090342
80,577.6,40.8,3.8,140.8,300.6,3936.4,0.6185185185185186
81,595.8,37.4,4.0,131.0,287.4,3944.4,0.6250543714658547
82,610.2,35.4,4.0,121.8,276.4,3952.2,0.6316270566727605
