Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4984.4,5.6,9.4,0,0,0.6,0.0
1,4980.0,8.8,9.8,0.4,0,1.0,0.0
2,4971.6,15.4,10.0,1.4,0,1.6,0.0
3,4966.4,16.6,12.4,2.8,0,1.8,0.0
4,4956.8,21.6,14.8,4.2,0,2.6,0.0
5,4942.8,30.6,16.6,6.2,0,3.8,0.0
6,4925.0,42.6,19.0,7.6,0,5.8,0.0
7,4904.8,54.2,21.8,11.4,0,7.8,0.0
8,4875.6,73.8,23.8,16.0,0,10.8,0.0
9,4843.6,93.8,29.2,20.0,0,13.4,0.0
10,4801.4,116.2,40.8,24.4,0,17.2,0.0
11,4746.8,147.4,50.0,33.8,0,22.0,0.0
12,4679.2,186.6,62.8,43.6,0,27.8,0.0
13,4596.2,235.2,78.6,54.6,0,35.4,0.0
14,4495.8,287.4,100.2,73.0,0,43.6,0.0
15,4362.8,359.8,128.2,93.0,0,56.2,0.0
16,4225.4,419.8,161.4,122.2,0,71.2,0.0
17,4063.4,500.6,199.8,144.6,0,91.6,0.0
18,3892.2,574.0,246.0,169.2,0,118.6,0.0
19,3724.2,628.8,295.8,203.8,0,147.4,0.0
20,3548.8,686.0,333.0,243.4,7.0,181.8,0.005514416259650228
21,3396.2,698.2,389.4,282.2,14.0,220.0,0.010117068940598353
22,3249.8,715.2,427.2,319.2,19.8,268.8,0.013365735115431349
23,3123.2,699.8,478.8,355.0,23.6,319.6,0.015155407141022351
24,3006.4,678.2,520.6,388.6,28.4,377.8,0.017576432726822622
25,2915.8,637.8,557.4,412.4,34.6,442.0,0.021069297284131046
26,2831.0,595.6,591.4,432.6,38.8,510.6,0.023396044380125422
27,2746.2,572.2,606.0,445.4,43.2,587.0,0.025917926565874733
28,2651.0,554.4,623.8,460.4,48.4,662.0,0.02868998221695317
29,2571.6,527.8,641.8,471.8,53.2,733.8,0.03139383925410127
30,2491.0,507.8,648.6,482.4,58.0,812.2,0.03418198962753418
31,2411.8,485.8,660.8,488.0,61.4,892.2,0.036202830188679244
32,2335.6,472.6,662.4,494.4,65.8,969.2,0.03881547899952808
