Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4981.4,8.6,9.6,0,0,0.4,0.0
1,4973.0,15.0,9.2,0.8,0,2.0,0.0
2,4964.6,20.6,9.8,2.2,0,2.8,0.0
3,4957.2,23.4,12.2,3.8,0,3.4,0.0
4,4944.8,31.0,14.4,4.8,0,5.0,0.0
5,4929.6,41.6,15.4,6.4,0,7.0,0.0
6,4913.2,50.4,19.6,7.8,0,9.0,0.0
7,4888.0,64.8,25.6,10.6,0,11.0,0.0
8,4861.8,77.8,29.8,17.0,0,13.6,0.0
9,4823.6,98.8,38.6,21.4,0,17.6,0.0
10,4763.6,140.6,47.2,25.6,0,23.0,0.0
11,4698.0,176.4,61.6,35.8,0,28.2,0.0
12,4609.4,230.8,75.4,47.2,0,37.2,0.0
13,4512.8,280.4,100.2,61.2,0,45.4,0.0
14,4393.4,344.4,124.2,79.2,0,58.8,0.0
15,4257.2,412.4,156.4,100.8,0,73.2,0.0
16,4105.2,489.8,193.0,120.0,0,92.0,0.0
17,3951.6,552.8,232.4,149.4,0,113.8,0.0
18,3788.4,610.4,279.8,185.0,0,136.4,0.0
19,3639.0,643.2,333.2,216.0,0,168.6,0.0
20,3506.2,641.2,384.0,257.4,7.8,203.4,0.006044637321760695
21,3380.4,647.2,421.4,289.8,14.2,247.0,0.010345330030598864
22,3276.4,619.4,463.6,325.2,20.0,295.4,0.014003640946646127
23,3187.4,600.2,496.6,340.6,25.0,350.2,0.01709518599562363
24,3114.2,561.2,521.0,362.2,30.6,410.8,0.02074576271186441
25,3041.8,531.4,539.6,374.0,36.8,476.4,0.024834660547982182
26,2971.4,503.6,554.6,384.6,41.8,544.0,0.028155732183753196
27,2908.6,465.8,568.4,398.4,45.6,613.2,0.030848329048843194
28,2848.2,442.8,576.8,405.4,48.8,678.0,0.033111684081964986
29,2763.0,438.2,592.4,413.0,53.8,739.6,0.03592894350207026
30,2676.6,435.0,594.0,421.6,58.8,814.0,0.03895587650722141
31,2593.4,434.6,596.4,428.4,61.6,885.6,0.04049967126890204
32,2504.4,450.6,590.0,429.8,65.6,959.6,0.042708333333333334
33,2404.2,467.0,586.4,433.4,68.6,1040.4,0.0441044104410441
34,2322.0,458.4,592.6,443.0,72.6,1111.4,0.04634239754883186
35,2235.4,458.4,600.0,449.2,77.4,1179.6,0.04883280757097792
36,2146.6,465.4,601.0,451.4,79.6,1256.0,0.04983097533491924
37,2046.6,477.8,603.8,455.2,82.8,1333.8,0.0511237342553717
38,1956.6,490.0,605.8,457.8,87.6,1402.2,0.05337557884474775
39,1878.0,487.6,603.8,460.8,90.0,1479.8,0.05480453050785532
40,1790.6,479.8,602.2,472.4,105.0,1550.0,0.0632758828492226
41,1707.6,479.6,595.4,476.2,119.2,1622.0,0.07136015325670497
42,1636.2,462.4,595.6,482.6,133.2,1690.0,0.07957940016728401
43,1568.2,442.4,595.4,485.2,143.8,1765.0,0.08627309815214784
44,1497.8,434.4,590.6,483.6,154.8,1838.8,0.09306240230852472
45,1430.0,424.0,582.4,487.0,163.4,1913.2,0.09862385321100917
46,1364.6,413.0,570.8,491.8,172.6,1987.2,0.10472030093435264
47,1306.0,400.4,561.6,490.6,180.2,2061.2,0.11036256736893679
48,1243.6,387.8,550.8,485.4,189.8,2142.6,0.11761060850167308
49,1193.2,373.6,535.0,479.2,199.4,2219.6,0.12563004032258066
50,1140.2,364.0,525.6,478.8,209.0,2282.4,0.1324965132496513
51,1088.4,354.2,505.6,472.8,216.4,2362.6,0.139703034215623
52,1047.6,335.8,488.4,469.8,225.2,2433.2,0.14823591363875724
53,1001.8,332.8,470.4,460.4,229.0,2505.6,0.15342355621063916
54,960.6,323.0,455.8,454.4,236.6,2569.6,0.1609742822152674
55,920.2,313.4,437.2,446.8,240.0,2642.4,0.16696813691387227
56,886.0,302.2,416.6,440.4,243.4,2711.4,0.17353486382432626
57,855.6,288.8,401.6,434.4,249.2,2770.4,0.1813682678311499
58,825.8,274.2,388.6,422.6,249.4,2839.4,0.18684447108181
59,790.2,268.6,372.2,415.8,252.2,2901.0,0.1926955990220049
60,772.4,249.8,347.8,405.2,267.0,2957.8,0.210269333753347
61,753.8,230.8,322.8,398.2,280.8,3013.6,0.22781113094272273
62,734.2,218.0,292.8,386.0,293.4,3075.6,0.24651319106032601
63,719.2,206.2,263.8,378.8,305.4,3126.6,0.2645988563507191
64,707.0,192.6,238.2,368.2,315.4,3178.6,0.2830222541277817
