Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4970.6,19.4,9.8,0,0,0.2,0.0
1,4951.4,34.4,11.6,1.8,0,0.8,0.0
2,4926.6,54.0,14.0,4.0,0,1.4,0.0
3,4893.8,75.6,20.0,7.8,0,2.8,0.0
4,4846.2,107.2,28.0,13.4,0,5.2,0.0
5,4774.8,161.4,35.6,19.8,0,8.4,0.0
6,4680.0,226.4,52.4,28.2,0,13.0,0.0
7,4542.2,325.2,72.0,41.6,0,19.0,0.0
8,4352.4,442.6,109.4,67.8,0,27.8,0.0
9,4074.8,634.0,154.0,97.8,0,39.4,0.0
10,3694.6,882.6,223.4,140.8,0,58.6,0.0
11,3238.0,1162.2,314.0,204.2,0,81.6,0.0
12,2685.0,1485.4,433.2,275.6,0,120.8,0.0
13,2091.0,1779.6,589.2,369.4,0,170.8,0.0
14,1504.6,2014.6,754.0,482.4,0,244.4,0.0
15,980.8,2132.0,945.2,615.4,0,326.6,0.0
16,567.0,2133.2,1117.4,744.2,0,438.2,0.0
17,301.0,1972.6,1302.2,861.4,0,562.8,0.0
18,143.4,1727.0,1446.4,967.8,0,715.4,0.0
19,61.0,1466.2,1551.6,1042.4,0,878.8,0.0
20,23.2,1199.4,1612.4,1094.0,9.6,1061.4,0.0024518567707003114
21,10.2,983.4,1629.2,1108.4,18.2,1250.6,0.004867351305091998
22,8.4,787.8,1617.2,1114.2,25.8,1446.6,0.0072778561354019744
23,11.2,635.0,1599.0,1098.6,33.2,1623.0,0.009863925366926141
24,10.4,520.2,1549.0,1069.8,40.8,1809.8,0.012830995660104408
25,10.2,433.6,1490.0,1031.2,46.8,1988.2,0.015591684434968014
26,10.4,352.0,1432.4,997.2,53.0,2155.0,0.018697523460100188
27,12.2,294.8,1367.6,953.6,58.0,2313.8,0.02169035153328347
28,15.0,240.4,1292.6,922.4,63.8,2465.8,0.025325500158780562
29,17.6,205.0,1230.8,871.6,67.2,2607.8,0.028299503074201975
30,16.6,179.6,1149.6,826.2,70.8,2757.2,0.0318030725002246
31,15.6,157.8,1077.4,780.6,73.8,2894.8,0.035317764165390494
32,17.6,137.8,1009.4,738.8,78.4,3018.0,0.039910405212787624
33,23.8,127.2,947.0,689.8,81.4,3130.8,0.04410967811856508
34,26.4,117.6,886.2,649.4,84.8,3235.6,0.048791714614499423
35,28.8,109.6,825.8,614.6,87.4,3333.8,0.05337730548430439
36,28.2,107.0,775.6,576.8,91.0,3421.4,0.05869453044375645
37,32.4,101.0,723.8,539.0,91.2,3512.6,0.06268041237113402
38,31.6,96.0,672.8,510.0,94.0,3595.6,0.06847319347319347
39,37.0,94.4,622.8,479.2,97.0,3669.6,0.07499613421988557
40,35.6,94.2,570.8,458.6,112.2,3728.6,0.0907913901925878
41,35.2,92.2,520.0,430.8,127.0,3794.8,0.10854700854700855
42,40.2,89.0,473.2,405.0,142.6,3850.0,0.12849162011173185
43,43.0,87.8,427.2,383.0,157.8,3901.2,0.14946012502367875
44,48.2,85.2,385.2,366.0,172.8,3942.6,0.17122473246135553
45,51.4,84.4,345.0,346.6,182.4,3990.2,0.1903171953255426
46,55.2,89.2,306.8,328.8,192.8,4027.2,0.21011333914559724
47,58.8,89.0,276.6,310.0,201.8,4063.8,0.22999772053795303
48,67.8,87.6,250.0,293.2,210.4,4091.0,0.2501188777936282
49,77.0,80.4,225.4,275.0,218.6,4123.6,0.2734550913184889
50,86.0,82.8,196.0,263.0,227.2,4145.0,0.2954486345903771
51,93.0,83.4,169.0,246.2,233.0,4175.4,0.3184800437397485
52,101.2,84.2,141.4,235.2,238.2,4199.8,0.3407725321888412
53,109.0,83.2,120.6,221.2,242.8,4223.2,0.36358191075172214
54,115.0,82.4,99.2,208.8,248.4,4246.2,0.38885410144020033
55,125.8,77.6,83.0,200.0,250.8,4262.8,0.4102060843964671
56,137.8,73.2,68.6,191.4,256.0,4273.0,0.43448744059742017
57,152.6,68.8,50.8,180.6,260.2,4287.0,0.4643112062812277
58,165.8,62.6,41.6,173.0,259.8,4297.2,0.4837988826815643
59,180.0,59.0,28.0,161.8,262.2,4309.0,0.5131115459882583
60,192.6,57.6,20.2,142.4,266.4,4320.8,0.5474722564734895
61,204.6,51.8,15.2,127.2,276.8,4324.4,0.5876857749469214
62,221.6,43.6,11.4,115.8,278.2,4329.4,0.6195991091314031
63,237.2,40.8,7.6,104.2,275.0,4335.2,0.6431244153414406
64,257.0,36.6,4.6,98.6,268.8,4334.4,0.657856093979442
65,267.0,37.0,5.2,90.0,257.2,4343.6,0.6605033384694402
66,284.4,35.4,4.6,85.2,249.2,4341.2,0.6655982905982906
67,300.6,33.0,4.0,82.2,239.6,4340.6,0.6677814938684503
68,313.0,35.8,4.0,78.2,226.8,4342.2,0.6577726218097448
69,325.0,36.2,3.8,72.4,218.8,4343.8,0.6606280193236714
70,342.6,32.4,3.4,69.2,214.0,4338.4,0.670846394984326
71,354.4,33.6,5.0,64.8,201.0,4341.2,0.6603153745072274
72,374.4,33.0,2.8,59.0,192.6,4338.2,0.6701461377870565
73,392.6,30.8,4.0,55.2,181.0,4336.4,0.6678966789667896
74,410.0,27.0,5.2,53.4,172.2,4332.2,0.6679596586501164
75,424.8,28.8,4.0,50.2,161.6,4330.6,0.660670482420278
76,447.8,24.6,6.6,47.4,155.4,4318.2,0.6641025641025641
77,468.0,24.6,5.4,43.6,148.4,4310.0,0.6684684684684685
78,484.4,25.6,3.8,42.2,141.4,4302.6,0.663849765258216
79,500.6,28.8,3.2,39.6,133.8,4294.0,0.6514118792599806
80,517.4,26.6,4.0,37.8,129.4,4284.8,0.6541961577350859
81,538.4,24.4,4.8,36.6,127.6,4268.2,0.6597724922440539
82,553.8,23.4,3.8,35.0,124.4,4259.6,0.6666666666666666
83,573.6,22.8,2.6,34.4,121.2,4245.4,0.6696132596685083
84,591.2,24.4,3.0,33.2,116.2,4232.0,0.6572398190045249
85,605.8,25.8,2.0,32.6,109.6,4224.2,0.6447058823529411
86,621.8,22.8,3.2,33.6,108.0,4210.6,0.6443914081145585
87,640.4,24.6,3.0,32.2,104.0,4195.8,0.6349206349206349
88,660.6,25.6,3.0,29.8,101.0,4180.0,0.6336260978670012
89,680.6,25.4,2.6,29.2,97.0,4165.2,0.6290531776913101
90,699.2,23.2,2.8,27.2,94.2,4153.4,0.6390773405698779
91,714.8,22.4,3.0,27.2,92.4,4140.2,0.6372413793103449
92,731.2,24.2,2.6,27.2,89.2,4125.6,0.622905027932961
93,746.6,24.4,4.0,25.8,85.4,4113.8,0.6117478510028652
94,763.4,22.6,3.2,25.8,83.2,4101.8,0.6172106824925816
95,780.6,19.6,2.8,25.6,82.2,4089.2,0.631336405529954
96,797.8,19.6,3.2,23.6,79.4,4076.4,0.6311605723370429
97,816.6,20.6,2.4,21.2,76.0,4063.2,0.632279534109817
98,834.6,20.6,4.2,20.8,72.6,4047.2,0.6142131979695432
99,852.8,21.0,2.8,20.4,73.0,4030.0,0.6228668941979522
100,871.6,20.0,2.4,18.6,71.6,4015.8,0.6358792184724689
101,889.4,21.2,2.8,18.6,68.8,3999.2,0.6175942549371634
102,907.8,21.4,1.8,17.2,68.2,3983.6,0.6279926335174955
103,929.2,19.2,2.6,17.8,65.0,3966.2,0.621414913957935
104,948.4,19.4,2.2,17.8,62.8,3949.4,0.614481409001957
105,965.0,19.0,3.6,17.2,60.2,3935.0,0.602
106,978.0,20.8,3.2,16.8,59.8,3921.4,0.5944333996023857
107,994.2,19.8,3.0,16.0,58.8,3908.2,0.6024590163934427
108,1007.0,20.8,2.0,17.2,57.0,3896.0,0.5876288659793815
109,1021.0,20.8,2.2,18.2,57.2,3880.6,0.5813008130081301
110,1035.4,21.0,3.0,18.6,54.4,3867.6,0.5608247422680412
111,1052.8,20.0,2.8,19.8,54.4,3850.2,0.5608247422680412
112,1066.0,22.6,1.8,19.0,53.0,3837.6,0.5497925311203319
113,1078.8,21.6,3.6,18.4,52.2,3825.4,0.5448851774530271
114,1099.6,19.4,3.0,18.0,53.4,3806.6,0.5692963752665245
115,1116.4,19.6,2.8,17.8,53.2,3790.2,0.569593147751606
116,1134.2,22.2,2.4,16.6,50.0,3774.6,0.5482456140350876
117,1151.4,21.4,2.8,16.4,48.0,3760.0,0.5417607223476298
118,1165.2,20.6,3.2,16.6,45.0,3749.4,0.5269320843091334
119,1178.4,20.0,4.0,17.2,44.4,3736.0,0.5186915887850467
120,1195.6,19.6,3.2,17.2,45.2,3719.2,0.5305164319248826
121,1207.4,22.2,4.0,16.8,41.6,3708.0,0.49172576832151305
122,1221.8,19.6,4.8,16.6,41.6,3695.6,0.5036319612590799
123,1234.2,18.8,4.0,16.6,44.4,3682.0,0.5298329355608591
124,1248.2,19.8,4.0,17.2,44.8,3666.0,0.5221445221445221
125,1264.0,19.2,5.8,18.2,41.8,3651.0,0.4917647058823529
126,1279.0,18.6,5.8,18.4,42.6,3635.6,0.49882903981264637
127,1290.4,20.8,4.6,19.4,42.6,3622.2,0.4874141876430206
128,1305.4,22.6,3.2,17.0,45.8,3606.0,0.5169300225733634
129,1319.8,27.2,3.4,17.8,46.0,3585.8,0.4872881355932203
130,1332.8,25.8,5.0,18.2,46.4,3571.8,0.48637316561844857
131,1345.4,28.4,5.2,18.2,46.8,3556.0,0.4746450304259635
132,1360.0,29.6,3.0,19.0,47.6,3540.8,0.4798387096774194
133,1371.8,30.2,5.0,18.2,49.0,3525.8,0.478515625
134,1385.4,31.0,4.4,17.6,49.6,3512.0,0.48343079922027293
135,1398.4,31.2,3.0,17.0,52.8,3497.6,0.5076923076923077
136,1412.2,31.2,4.8,18.6,51.0,3482.2,0.48295454545454547
137,1420.6,33.4,3.4,19.4,53.8,3469.4,0.4890909090909091
138,1434.0,32.8,3.8,20.6,53.6,3455.2,0.4837545126353791
139,1450.4,31.2,4.0,20.0,55.6,3438.8,0.5018050541516245
140,1465.4,29.4,4.4,19.8,55.4,3425.6,0.5082568807339449
141,1478.4,30.0,3.4,21.2,56.8,3410.2,0.5098743267504489
142,1494.8,31.0,3.0,20.8,56.6,3393.8,0.5080789946140036
143,1503.0,33.8,4.4,21.0,54.4,3383.4,0.47887323943661975
144,1519.2,33.8,4.6,20.6,57.2,3364.6,0.49225473321858865
145,1530.4,32.6,3.0,21.8,59.6,3352.6,0.5094017094017094
146,1540.0,36.4,3.4,22.0,58.0,3340.2,0.48414023372287146
147,1545.8,39.0,5.0,22.8,56.0,3331.4,0.45602605863192186
148,1559.4,39.0,4.6,23.4,58.4,3315.2,0.4657097288676236
149,1566.8,42.6,4.8,22.8,58.2,3304.8,0.4532710280373832
