Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4963.6,26.4,9.2,0,0,0.8,0.0
1,4946.4,38.0,12.6,1.6,0,1.4,0.0
2,4917.4,60.2,15.8,3.6,0,3.0,0.0
3,4882.8,81.6,22.8,8.0,0,4.8,0.0
4,4821.2,127.4,31.2,13.0,0,7.2,0.0
5,4741.4,176.8,47.6,23.4,0,10.8,0.0
6,4621.6,259.6,65.4,36.0,0,17.4,0.0
7,4432.4,397.0,92.8,54.0,0,23.8,0.0
8,4192.8,557.0,139.8,76.4,0,34.0,0.0
9,3866.0,770.0,194.0,118.2,0,51.8,0.0
10,3448.6,1032.6,271.2,175.4,0,72.2,0.0
11,2929.2,1345.2,380.6,245.4,0,99.6,0.0
12,2328.6,1677.2,507.2,345.2,0,141.8,0.0
13,1702.8,1977.6,662.4,455.6,0,201.6,0.0
14,1150.0,2145.0,845.2,579.2,0,280.6,0.0
15,708.0,2161.6,1038.4,705.8,0,386.2,0.0
16,397.4,2053.8,1216.6,824.4,0,507.8,0.0
17,196.6,1864.8,1373.0,920.6,0,645.0,0.0
18,87.6,1603.6,1498.4,1002.8,0,807.6,0.0
19,33.6,1336.4,1594.2,1063.0,0,972.8,0.0
20,16.0,1092.6,1624.2,1099.0,21.6,1146.6,0.005628811174232554
21,8.2,891.4,1598.2,1110.8,52.4,1339.0,0.014345159877354359
22,9.0,724.0,1554.6,1100.4,86.2,1525.8,0.02487590903843934
23,12.2,588.4,1493.4,1078.8,121.8,1705.4,0.0371069948817938
24,11.2,486.0,1413.8,1058.4,155.0,1875.6,0.049787999486059366
25,11.6,399.4,1326.0,1023.8,184.4,2054.8,0.06285792200709027
26,9.2,328.0,1244.2,981.2,213.8,2223.6,0.07726221451286498
27,11.6,270.2,1148.0,941.2,240.8,2388.2,0.09260826090300746
28,15.0,227.2,1058.8,892.6,265.8,2540.6,0.10873834069710359
29,18.0,196.0,967.6,848.4,289.6,2680.4,0.12582551268682657
30,18.0,170.2,880.4,803.2,307.6,2820.6,0.14231516609604886
31,18.6,151.2,799.0,762.8,327.0,2941.4,0.16029411764705884
32,20.2,136.6,713.4,715.4,346.4,3068.0,0.18119050109844123
33,21.2,125.0,634.4,676.2,361.4,3181.8,0.20111296605453532
34,28.4,112.8,563.4,639.2,378.8,3277.4,0.22358635344115216
35,32.6,106.0,498.4,602.8,391.8,3368.4,0.24502814258911823
36,39.8,102.4,435.2,561.6,405.6,3455.4,0.26953748006379585
37,42.0,99.6,377.2,527.0,418.6,3535.6,0.29429133858267714
38,41.2,98.2,326.4,491.8,429.2,3613.2,0.31896551724137934
39,44.8,93.4,277.6,456.4,441.2,3686.6,0.3477849597982028
40,49.8,83.4,178.4,414.0,518.8,3755.6,0.4342876276577934
41,56.8,71.6,103.4,365.0,587.0,3816.2,0.520851818988465
42,66.4,63.2,56.0,312.2,625.2,3877.0,0.5917092561044862
43,81.4,53.4,27.2,255.0,661.6,3921.4,0.663457681508223
44,91.4,47.0,9.2,207.4,677.6,3967.4,0.7199320016999575
45,101.8,38.0,3.0,160.8,686.0,4010.4,0.7726965532777653
46,113.2,31.2,2.8,123.0,675.2,4054.6,0.8113434270608026
47,124.8,25.0,2.2,100.0,652.6,4095.4,0.8368812516029751
48,144.0,22.4,2.2,85.8,621.6,4124.0,0.8491803278688524
49,163.2,18.2,2.4,78.2,586.8,4151.2,0.8558926487747959
50,182.2,16.6,3.0,70.8,553.0,4174.4,0.8594964252409077
51,203.6,17.0,1.0,65.6,518.2,4194.6,0.8610834164174144
52,220.4,16.0,1.6,63.4,482.6,4216.0,0.8562810503903477
53,235.8,16.4,3.2,59.0,450.6,4235.0,0.8514739229024944
54,253.6,17.6,2.2,52.2,426.4,4248.0,0.85553772070626
55,275.0,16.8,1.6,49.4,395.8,4261.4,0.8537532355478861
56,291.2,17.8,1.8,47.6,369.0,4272.6,0.8459422283356259
57,308.0,19.2,2.2,45.2,343.6,4281.8,0.8376401755241345
58,329.4,17.4,2.6,42.6,322.0,4286.0,0.8372334893395735
59,352.2,19.2,2.2,38.0,299.2,4289.2,0.834355828220859
60,373.4,18.4,3.0,35.4,278.2,4291.6,0.8304477611940299
