Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4967.6,22.4,9.4,0,0,0.6,0.0
1,4951.4,34.2,10.4,1.8,0,2.2,0.0
2,4931.6,47.2,14.0,4.6,0,2.6,0.0
3,4900.0,69.6,19.0,7.6,0,3.8,0.0
4,4848.6,108.0,24.6,12.8,0,6.0,0.0
5,4778.0,155.4,37.8,20.0,0,8.8,0.0
6,4668.6,234.8,52.4,31.4,0,12.8,0.0
7,4526.6,325.6,79.2,49.6,0,19.0,0.0
8,4318.0,466.2,111.8,76.6,0,27.4,0.0
9,4010.8,677.6,166.6,106.2,0,38.8,0.0
10,3616.0,936.0,238.8,150.6,0,58.6,0.0
11,3146.0,1214.6,337.6,220.2,0,81.6,0.0
12,2580.8,1545.0,448.2,300.6,0,125.4,0.0
13,1987.8,1826.2,604.8,401.0,0,180.2,0.0
14,1403.6,2043.0,778.8,520.8,0,253.8,0.0
15,903.8,2134.2,965.2,650.4,0,346.4,0.0
16,519.0,2094.8,1153.2,770.4,0,462.6,0.0
17,271.6,1928.6,1327.0,877.6,0,595.2,0.0
18,127.6,1689.0,1455.4,971.0,0,757.0,0.0
19,48.6,1434.6,1551.4,1047.0,0,918.4,0.0
20,20.2,1172.2,1596.2,1084.8,21.4,1105.2,0.005523150776854385
21,8.2,962.6,1586.8,1100.2,51.8,1290.4,0.013994704706327334
22,9.0,776.8,1555.0,1099.8,87.8,1471.6,0.024947434221742337
23,7.4,626.8,1503.0,1089.0,124.2,1649.6,0.03715225845049357
24,10.0,497.4,1435.8,1067.4,159.0,1830.4,0.05032282567413597
25,10.8,408.6,1351.0,1031.8,188.6,2009.2,0.06328859060402685
26,14.0,332.2,1255.0,997.4,216.4,2185.0,0.07725812209925027
27,14.0,278.2,1168.0,951.4,247.0,2341.4,0.09339786735234062
28,13.4,237.4,1074.6,904.8,271.0,2498.8,0.10893158614036497
29,10.8,199.2,984.0,868.8,291.0,2646.2,0.12419974391805377
30,16.4,170.8,896.2,820.4,306.8,2789.4,0.1398231701759183
31,22.0,149.2,812.8,775.8,322.2,2918.0,0.15640776699029127
32,23.4,137.8,730.2,729.6,340.2,3038.8,0.1755599133037465
33,26.2,128.2,649.6,687.8,357.8,3150.4,0.19622682900076782
34,27.2,114.8,578.2,652.0,372.8,3255.0,0.21702177203399697
35,32.4,108.6,506.6,620.6,388.6,3343.2,0.2392267914306821
36,30.0,105.8,440.0,585.8,404.0,3434.4,0.26308934618390206
37,35.6,97.6,384.6,543.0,420.8,3518.4,0.2910096818810512
38,35.6,91.4,337.4,510.4,430.8,3594.4,0.31445255474452555
39,40.8,89.2,285.8,474.4,440.6,3669.2,0.34155038759689926
40,49.2,79.4,189.0,432.4,512.8,3737.2,0.4225444957152274
41,55.6,70.6,113.4,385.8,578.2,3796.4,0.5036585365853659
42,69.4,62.2,58.4,333.2,622.2,3854.6,0.5782527881040893
43,77.0,56.2,22.2,279.8,651.4,3913.4,0.6452060221870047
44,90.0,44.2,6.4,226.8,671.0,3961.6,0.7075073808519611
45,107.6,32.6,3.2,170.0,677.6,4009.0,0.7670364500792393
