Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4970.8,19.2,9.6,0,0,0.4,0.0
1,4954.4,32.0,11.8,1.0,0,0.8,0.0
2,4930.8,47.8,15.6,4.0,0,1.8,0.0
3,4894.0,75.6,19.8,8.4,0,2.2,0.0
4,4838.8,115.2,27.8,14.2,0,4.0,0.0
5,4762.4,168.4,37.6,24.6,0,7.0,0.0
6,4669.2,228.6,56.0,34.4,0,11.8,0.0
7,4517.2,331.6,79.8,52.0,0,19.4,0.0
8,4285.0,494.6,117.0,76.4,0,27.0,0.0
9,3983.8,699.8,164.2,112.0,0,40.2,0.0
10,3597.6,949.2,228.4,167.8,0,57.0,0.0
11,3123.0,1235.6,326.6,228.8,0,86.0,0.0
12,2546.8,1570.6,442.8,309.8,0,130.0,0.0
13,1966.2,1837.6,600.6,413.6,0,182.0,0.0
14,1372.0,2060.2,782.6,535.2,0,250.0,0.0
15,871.4,2131.8,982.2,671.0,0,343.6,0.0
16,491.4,2078.8,1170.0,801.2,0,458.6,0.0
17,255.6,1897.8,1345.8,914.4,0,586.4,0.0
18,121.8,1660.8,1487.6,996.2,0,733.6,0.0
19,53.2,1387.0,1588.2,1059.8,0,911.8,0.0
20,19.2,1141.6,1619.2,1104.0,23.2,1092.8,0.005967078189300411
21,11.2,937.6,1597.2,1110.6,55.6,1287.8,0.01502296676573899
22,6.2,761.6,1551.0,1115.4,89.4,1476.4,0.025416500824472624
23,5.4,614.2,1490.2,1097.6,125.4,1667.2,0.0376870830077538
24,9.8,504.0,1411.8,1070.8,160.6,1843.0,0.05102948652770717
25,10.4,414.8,1336.8,1031.2,190.0,2016.8,0.06391280947255112
26,13.0,334.8,1253.4,996.4,216.6,2185.8,0.07732400399828646
27,15.4,281.6,1158.2,955.6,240.6,2348.6,0.09127465857359636
28,13.8,237.6,1056.4,914.2,265.8,2512.2,0.1074373484236055
29,18.0,201.0,968.2,867.2,289.4,2656.2,0.12443030355146614
30,18.4,174.4,886.6,825.0,312.0,2783.6,0.14194722474977253
31,21.2,150.8,802.0,783.4,329.4,2913.2,0.15946940356312936
32,21.2,133.6,724.8,744.0,347.0,3029.4,0.17800348825279572
33,25.6,119.0,643.6,705.0,360.0,3146.8,0.19697964543663823
34,25.2,111.8,572.8,662.8,373.8,3253.6,0.21717406460608882
35,29.0,108.8,507.4,626.8,388.8,3339.2,0.2382644931976958
36,33.2,101.8,446.4,588.8,406.0,3423.8,0.26312378483473753
37,33.8,98.2,390.2,552.0,415.8,3510.0,0.28553770086526575
38,38.2,92.6,338.6,521.4,428.4,3580.8,0.31020999275887035
39,42.0,91.2,289.2,488.0,434.4,3655.2,0.33343567700337734
40,49.0,84.2,195.0,440.2,515.6,3716.0,0.41748987854251013
41,57.8,70.8,115.8,399.4,586.6,3769.6,0.5002558417192564
42,67.4,62.2,61.2,345.4,636.2,3827.6,0.5757466063348416
43,75.4,56.8,23.6,295.4,670.0,3878.8,0.6406578695735322
44,87.2,46.8,7.0,238.2,695.8,3925.0,0.7043936019437133
45,100.4,38.6,4.6,183.2,700.8,3972.4,0.7558239861949957
46,119.0,27.4,5.0,141.6,692.0,4015.0,0.7990762124711316
47,134.2,22.2,2.8,113.8,669.2,4057.8,0.8282178217821783
48,152.8,19.8,2.6,96.2,643.0,4085.6,0.8442752100840336
49,168.2,18.0,1.2,85.4,608.2,4119.0,0.8532547699214366
50,187.0,16.4,2.4,75.6,572.6,4146.0,0.8584707646176912
51,208.4,16.2,2.2,71.8,539.2,4162.2,0.8566889100730855
52,227.4,16.0,1.4,68.0,506.6,4180.6,0.8557432432432432
53,243.8,17.8,2.2,64.8,474.8,4196.6,0.8484631879914224
54,261.2,18.6,1.8,59.2,443.2,4216.0,0.847742922723795
55,282.2,17.6,2.2,55.8,415.0,4227.2,0.8459029759478189
56,301.6,18.2,1.6,53.6,389.8,4235.2,0.8415371329879101
57,317.0,17.6,2.6,50.0,365.4,4247.4,0.8388429752066116
58,332.2,19.8,2.4,48.0,343.0,4254.6,0.830106485963214
