Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4972.2,17.8,9.0,0,0,1.0,0.0
1,4956.6,29.0,10.8,2.2,0,1.4,0.0
2,4931.0,50.4,12.6,3.4,0,2.6,0.0
3,4904.2,65.4,18.6,8.4,0,3.4,0.0
4,4855.6,100.0,27.0,13.2,0,4.2,0.0
5,4783.6,150.0,37.8,21.4,0,7.2,0.0
6,4676.2,229.6,51.2,32.4,0,10.6,0.0
7,4528.4,327.8,76.0,50.4,0,17.4,0.0
8,4316.2,471.4,110.6,74.2,0,27.6,0.0
9,4026.0,663.2,159.6,111.2,0,40.0,0.0
10,3646.4,906.2,234.2,155.4,0,57.8,0.0
11,3131.4,1234.8,326.6,224.0,0,83.2,0.0
12,2553.0,1574.6,451.0,299.2,0,122.2,0.0
13,1974.0,1829.0,619.4,401.4,0,176.2,0.0
14,1377.6,2052.6,800.8,524.2,0,244.8,0.0
15,880.8,2143.0,981.6,651.0,0,343.6,0.0
16,500.2,2095.0,1170.0,771.0,0,463.8,0.0
17,264.2,1926.8,1341.6,879.8,0,587.6,0.0
18,127.0,1672.8,1487.6,977.4,0,735.2,0.0
19,49.2,1416.2,1590.6,1041.8,0,902.2,0.0
20,16.4,1163.2,1650.2,1083.6,9.4,1077.2,0.002406307597788245
21,9.0,948.2,1656.8,1100.4,17.6,1268.0,0.004727370400214881
22,6.4,771.2,1631.2,1100.8,25.8,1464.6,0.007310852932842165
23,7.0,617.4,1603.2,1081.6,33.2,1657.6,0.009953828626251725
24,9.8,501.2,1553.6,1057.2,40.8,1837.4,0.012940877949758943
25,11.8,407.6,1484.0,1024.0,47.0,2025.6,0.015864443394315805
26,12.8,334.6,1418.4,985.2,52.6,2196.4,0.01884764225311739
27,12.4,280.0,1345.8,946.8,58.6,2356.4,0.02227120705381575
28,15.4,236.6,1270.0,902.8,63.2,2512.0,0.025560139124807903
29,13.8,202.2,1209.6,855.6,68.8,2650.0,0.029449533430356986
30,14.2,171.6,1142.4,813.2,73.2,2785.4,0.03326667878567534
