Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4970.8,19.2,9.6,0,0,0.4,0.0
1,4954.6,32.8,11.0,0.8,0,0.8,0.0
2,4936.0,43.8,15.2,3.4,0,1.6,0.0
3,4901.2,70.8,18.4,7.2,0,2.4,0.0
4,4853.2,103.4,25.8,12.8,0,4.8,0.0
5,4776.6,160.8,35.0,19.6,0,8.0,0.0
6,4676.0,228.2,53.2,30.0,0,12.6,0.0
7,4531.4,328.2,75.4,46.0,0,19.0,0.0
8,4331.6,467.4,105.4,68.0,0,27.6,0.0
9,4064.8,636.6,152.6,106.6,0,39.4,0.0
10,3677.8,889.0,222.8,150.6,0,59.8,0.0
11,3197.4,1196.0,306.0,211.6,0,89.0,0.0
12,2633.4,1510.4,441.2,286.8,0,128.2,0.0
13,2031.0,1815.8,586.8,386.8,0,179.6,0.0
14,1411.2,2081.4,770.8,499.0,0,237.6,0.0
15,906.0,2152.6,981.0,634.6,0,325.8,0.0
16,527.2,2099.6,1179.4,758.8,0,435.0,0.0
17,277.4,1934.8,1353.8,860.0,0,574.0,0.0
18,130.6,1695.2,1499.6,953.2,0,721.4,0.0
19,53.2,1446.8,1585.8,1014.2,0,900.0,0.0
20,22.6,1199.0,1641.0,1047.4,9.4,1080.6,0.002412235680558407
21,11.0,981.6,1655.0,1062.6,18.0,1271.8,0.004842354460346498
22,8.0,800.8,1648.0,1055.6,25.2,1462.4,0.007139619220308251
23,8.2,652.0,1614.6,1043.4,32.0,1649.8,0.009575104727707959
24,8.8,521.4,1578.0,1025.4,38.8,1827.6,0.012264508787457325
25,11.2,428.0,1518.8,1002.2,45.6,1994.2,0.015227409336806252
26,11.0,355.6,1454.4,963.2,52.6,2163.2,0.018614197749309933
27,12.2,295.4,1376.0,924.6,58.4,2333.4,0.022001205545509342
28,12.4,250.8,1298.8,874.4,62.6,2501.0,0.025174937665889168
29,16.4,212.4,1231.6,835.4,67.4,2636.8,0.028719959093233337
30,13.6,183.0,1160.0,795.6,71.0,2776.8,0.03213251267197683
31,18.4,160.8,1097.2,753.4,73.6,2896.6,0.03529976019184652
32,17.6,142.4,1031.4,715.6,76.8,3016.2,0.039060115959719255
33,19.6,131.0,961.6,675.4,80.6,3131.8,0.04360056258790436
34,19.8,118.2,900.6,647.0,84.4,3230.0,0.04822306022168894
35,24.4,111.0,832.4,614.8,86.6,3330.8,0.05265077821011674
