Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4983.2,6.8,9.4,0,0,0.6,0.0
1,4976.4,12.6,9.2,0.4,0,1.4,0.0
2,4968.2,18.4,10.4,1.2,0,1.8,0.0
3,4959.2,23.0,13.2,2.8,0,1.8,0.0
4,4949.6,29.0,13.6,4.6,0,3.2,0.0
5,4936.2,36.6,16.0,6.2,0,5.0,0.0
6,4920.2,47.2,18.0,8.0,0,6.6,0.0
7,4900.6,56.2,23.0,12.2,0,8.0,0.0
8,4871.6,72.2,30.4,15.2,0,10.6,0.0
9,4842.0,88.6,37.4,18.8,0,13.2,0.0
10,4806.0,106.8,44.0,25.6,0,17.6,0.0
11,4758.6,134.4,52.2,31.8,0,23.0,0.0
12,4699.6,169.2,63.8,38.4,0,29.0,0.0
13,4626.4,206.8,80.0,49.6,0,37.2,0.0
14,4537.2,255.0,98.6,62.2,0,47.0,0.0
15,4437.2,306.6,121.4,78.0,0,56.8,0.0
16,4320.8,361.8,150.8,99.0,0,67.6,0.0
17,4182.0,427.4,183.2,124.0,0,83.4,0.0
18,4018.6,504.2,221.2,151.8,0,104.2,0.0
19,3814.8,609.6,265.8,183.6,0,126.2,0.0
20,3608.6,698.6,311.6,216.0,8.8,156.4,0.007125506072874495
21,3366.4,805.8,362.0,253.8,16.2,195.8,0.01126721379885937
22,3095.6,915.6,428.2,299.0,24.4,237.2,0.014635316698656428
23,2809.4,1013.8,505.0,348.2,30.4,293.2,0.016021924739116684
24,2524.4,1096.0,576.4,409.2,36.2,357.8,0.017093209934838042
25,2227.0,1170.8,659.6,468.8,42.8,431.0,0.01827497865072587
26,1928.8,1240.8,732.6,532.8,47.0,518.0,0.01840827197242676
27,1647.2,1280.2,817.4,595.4,52.0,607.8,0.01894353369763206
28,1373.4,1293.0,905.0,666.0,56.4,706.2,0.019312422955759485
29,1129.0,1272.0,989.2,725.6,62.2,822.0,0.020400131190554283
30,922.4,1224.8,1077.0,771.2,67.4,937.2,0.021462234110304422
31,737.0,1152.8,1145.6,825.0,73.6,1066.0,0.02302158273381295
32,585.6,1082.0,1193.4,866.2,77.4,1195.4,0.024044734389561975
33,459.8,1004.8,1234.0,884.6,82.2,1334.6,0.025642625405540305
34,366.6,906.2,1252.0,905.4,84.8,1485.0,0.026934315842967856
35,292.0,808.8,1262.2,913.2,87.2,1636.6,0.028390961776388623
36,230.4,712.4,1265.0,912.0,88.6,1791.6,0.02975151108126259
37,193.8,615.2,1249.2,905.6,90.0,1946.2,0.03146853146853147
38,165.6,533.2,1223.6,887.4,94.2,2096.0,0.03439964943032428
39,137.8,453.4,1205.8,872.0,97.6,2233.4,0.03712720632988436
40,121.2,396.6,1144.6,839.8,114.6,2383.2,0.045920820644334025
41,107.2,343.0,1084.6,809.6,128.4,2527.2,0.05427798444369294
42,98.2,301.4,1029.8,776.2,141.8,2652.6,0.06304463809354438
43,92.0,258.2,974.0,749.0,155.6,2771.2,0.07281916885061773
44,85.0,228.6,909.0,715.6,168.6,2893.2,0.08339103768918786
45,85.8,201.4,847.4,684.4,178.8,3002.2,0.09351464435146445
46,90.4,175.6,780.4,648.6,191.6,3113.4,0.10666963589800692
47,92.2,153.2,723.2,618.0,198.6,3214.8,0.11730655640874188
48,94.8,137.6,664.4,585.2,208.6,3309.4,0.13071813510464972
49,100.0,120.4,610.4,554.4,216.6,3398.2,0.1442269276867759
50,106.6,110.0,558.0,515.8,226.8,3482.8,0.16078264568268824
51,113.4,104.8,511.0,486.2,235.2,3549.4,0.17588991923422073
52,116.4,96.4,473.0,459.8,239.6,3614.8,0.18883984867591425
53,122.4,91.2,427.0,432.0,246.8,3680.6,0.20618212197159566
54,129.2,86.2,384.0,406.0,251.2,3743.4,0.2228135533084974
55,139.6,81.2,339.8,379.8,260.2,3799.4,0.24524033930254477
56,147.6,72.2,306.4,361.8,265.2,3846.8,0.26372315035799526
57,159.2,68.6,273.6,336.6,267.2,3894.8,0.2824524312896406
58,171.8,69.8,239.8,316.8,271.4,3930.4,0.30229449766094896
59,181.6,72.2,202.2,299.6,277.0,3967.4,0.3254994124559342
60,191.8,68.4,166.8,278.2,296.2,3998.6,0.36585968379446643
61,203.4,62.0,129.6,264.4,311.6,4029.0,0.40594059405940597
62,214.4,58.0,92.4,250.8,320.8,4063.6,0.44432132963988924
63,225.2,52.4,72.2,229.8,326.8,4093.6,0.47974163241338813
64,241.0,46.4,44.2,214.8,336.0,4117.6,0.5238540692235735
65,256.0,41.2,24.0,196.6,341.4,4140.8,0.5659814323607426
66,274.0,35.6,14.0,177.8,343.4,4155.2,0.6016117729502453
67,291.0,34.2,9.4,156.6,336.0,4172.8,0.6266318537859007
68,310.2,29.2,8.0,140.4,330.4,4181.8,0.6503937007874016
69,330.4,26.2,3.6,129.6,322.2,4188.0,0.6690199335548173
70,346.6,26.4,3.0,120.2,305.6,4198.2,0.6713532513181019
71,362.4,23.8,4.0,111.0,293.8,4205.0,0.6791493296347665
72,382.6,20.4,3.8,103.8,277.8,4211.6,0.6845736816165598
73,403.8,20.4,2.2,93.6,261.0,4219.0,0.6919406150583245
74,423.8,19.4,2.6,87.4,247.6,4219.2,0.6935574229691877
75,444.0,19.4,3.2,83.4,229.8,4220.2,0.6843359142346636
76,465.2,19.6,2.8,79.4,214.0,4219.0,0.6776440785307156
77,482.0,20.6,1.4,76.0,202.4,4217.6,0.6737683089214381
78,505.0,18.0,3.8,71.0,190.6,4211.6,0.6725476358503881
79,525.2,17.2,3.8,66.8,176.4,4210.6,0.6676760030280091
80,546.6,16.0,2.0,62.8,168.4,4204.2,0.6757624398073837
81,564.8,17.0,1.6,59.6,159.4,4197.6,0.6708754208754208
82,586.0,16.8,1.8,54.2,147.4,4193.8,0.6693914623069936
83,606.2,17.0,2.8,49.0,137.8,4187.2,0.6669893514036785
84,624.2,18.0,3.8,44.2,131.6,4178.2,0.6659919028340081
85,646.8,18.2,3.4,42.2,125.8,4163.6,0.6635021097046414
86,667.6,19.2,3.2,39.2,121.0,4149.8,0.6626506024096386
87,684.4,15.0,4.6,37.0,115.6,4143.4,0.6713124274099884
88,703.8,14.0,2.0,33.4,113.4,4133.4,0.6965601965601965
89,725.6,14.4,2.2,31.4,106.4,4120.0,0.689119170984456
90,744.8,16.0,3.4,28.8,101.6,4105.4,0.6782376502002669
91,765.2,14.4,3.4,28.6,97.8,4090.6,0.6782246879334258
92,784.6,13.0,2.2,25.2,95.2,4079.8,0.7020648967551623
93,806.6,13.2,1.8,22.6,92.8,4063.0,0.7116564417177914
94,827.2,12.0,3.4,21.2,86.6,4049.6,0.702922077922078
95,847.2,11.2,2.2,20.0,83.4,4036.0,0.714041095890411
96,869.8,8.6,3.4,19.0,79.0,4020.2,0.7181818181818181
97,892.4,8.0,1.6,17.2,75.4,4005.4,0.7377690802348337
98,913.6,8.6,1.8,16.8,72.0,3987.2,0.7258064516129032
99,935.8,9.4,0,15.6,68.8,3970.4,0.7334754797441364
100,955.0,8.2,1.6,16.0,64.6,3954.6,0.7146017699115045
101,971.0,8.0,1.0,15.2,62.6,3942.2,0.7211981566820277
102,988.4,7.8,0.6,15.0,59.8,3928.4,0.7187500000000001
103,1010.0,8.6,1.0,13.2,58.2,3909.0,0.7185185185185186
