Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4988.0,7.0,4.4,0,0,0.6,0.0
1,4984.0,9.6,5.0,0.6,0,0.8,0.0
2,4976.0,15.6,6.2,1.4,0,0.8,0.0
3,4968.6,20.4,7.2,2.4,0,1.4,0.0
4,4956.4,28.2,9.6,3.4,0,2.4,0.0
5,4939.8,39.6,12.8,5.2,0,2.6,0.0
6,4918.2,54.0,15.6,8.0,0,4.2,0.0
7,4890.6,72.6,19.4,11.4,0,6.0,0.0
8,4852.0,95.4,28.4,16.0,0,8.2,0.0
9,4791.4,138.8,36.8,21.8,0,11.2,0.0
10,4721.0,181.4,49.6,32.2,0,15.8,0.0
11,4624.4,238.2,73.8,42.8,0,20.8,0.0
12,4478.2,340.8,94.2,56.0,0,30.8,0.0
13,4300.4,451.8,126.6,79.4,0,41.8,0.0
14,4063.4,597.4,170.8,112.6,0,55.8,0.0
15,3776.2,764.0,233.0,150.8,0,76.0,0.0
16,3394.8,986.8,317.4,200.4,0,100.6,0.0
17,2957.6,1228.8,410.6,263.4,0,139.6,0.0
18,2484.6,1456.8,532.2,340.2,0,186.2,0.0
19,1989.0,1659.8,670.0,433.4,0,247.8,0.0
20,1496.0,1829.8,813.4,528.8,0,332.0,0.0
21,1070.8,1888.2,979.2,637.6,0,424.2,0.0
22,712.6,1877.8,1129.6,739.4,0,540.6,0.0
23,450.8,1768.6,1264.0,844.0,0,672.6,0.0
24,282.6,1592.0,1372.4,931.8,0,821.2,0.0
25,163.6,1389.6,1470.6,992.8,0,983.4,0.0
26,93.4,1185.4,1531.2,1038.8,0,1151.2,0.0
27,53.2,1005.0,1562.4,1057.4,0,1322.0,0.0
28,27.8,829.4,1574.4,1064.0,0,1504.4,0.0
29,17.2,692.2,1558.2,1065.0,0,1667.4,0.0
30,12.4,569.4,1510.4,1039.6,22.6,1845.6,0.007192870782940802
31,14.4,467.0,1435.8,1008.0,53.4,2021.4,0.018014978746373388
32,14.2,388.8,1345.4,975.6,86.6,2189.4,0.030968387927335143
33,16.0,325.6,1260.8,939.0,119.2,2339.4,0.045072978900400816
34,17.0,273.6,1163.2,902.2,150.2,2493.8,0.060340671701751565
35,19.2,231.8,1071.6,859.0,180.0,2638.4,0.07684426229508198
36,21.0,199.2,973.8,813.6,210.0,2782.4,0.09560229445506692
37,19.8,174.4,892.2,769.2,233.6,2910.8,0.11288296124480525
38,26.6,152.0,815.4,727.4,259.8,3018.8,0.13291722091476518
39,27.2,137.8,738.0,687.6,280.0,3129.4,0.15189324075078658
40,34.8,118.4,664.4,651.8,305.8,3224.8,0.1757067340841186
41,37.0,111.4,591.4,619.2,325.0,3316.0,0.1973284760170006
42,42.2,101.6,519.6,581.2,340.4,3415.0,0.22063780140005182
43,44.8,95.4,451.4,543.0,352.8,3512.6,0.2445584361569389
44,50.4,92.2,391.8,512.6,368.2,3584.8,0.2697831184056272
45,56.4,82.8,342.4,484.6,382.6,3651.2,0.29603837821108014
46,61.8,81.4,291.4,445.4,399.0,3721.0,0.327801511666119
47,65.8,77.8,244.4,415.0,407.0,3790.0,0.3557070442230379
48,74.0,71.0,204.2,386.6,418.6,3845.6,0.38744909292854496
49,82.0,69.2,164.2,363.8,428.8,3892.0,0.4179337231968811
50,95.6,61.4,85.0,322.2,497.2,3938.6,0.5148063781321185
51,108.0,55.8,36.8,274.2,551.6,3973.6,0.6006097560975611
52,125.0,47.2,14.0,223.0,582.2,4008.6,0.6719759926131117
53,137.8,39.2,3.8,176.2,594.6,4048.4,0.7306463504546572
54,152.4,33.4,3.6,141.0,590.0,4079.6,0.7682291666666666
55,166.8,27.0,3.2,122.6,570.4,4110.0,0.7887168141592921
56,184.4,21.0,3.0,111.0,536.8,4143.8,0.7990473355165227
57,202.8,19.6,2.4,98.8,504.0,4172.4,0.8066581306017926
58,222.2,17.2,4.0,93.0,467.2,4196.4,0.803577571379429
59,237.4,19.2,2.0,83.0,438.8,4219.6,0.8081031307550645
60,258.2,18.2,2.0,79.4,409.8,4232.4,0.8044758539458186
61,275.0,20.2,1.8,73.0,380.2,4249.8,0.8000841750841751
62,297.4,20.0,2.4,68.2,355.4,4256.6,0.7968609865470851
63,316.6,18.8,2.8,63.2,331.6,4267.0,0.7963496637848223
64,332.2,17.4,3.4,59.6,314.4,4273.0,0.7963525835866262
65,349.6,18.2,3.2,56.6,296.6,4275.8,0.791777896422851
66,371.0,17.6,2.6,53.4,281.6,4273.8,0.7927927927927928
67,394.2,17.8,1.6,50.4,264.0,4272.0,0.7908927501497902
68,409.4,17.6,3.0,47.0,249.0,4274.0,0.7864813644977889
69,427.8,19.4,1.6,44.8,233.6,4272.8,0.7802271209084837
70,443.2,19.4,2.2,43.4,220.0,4271.8,0.7719298245614035
71,465.0,20.6,1.8,40.4,209.2,4263.0,0.7691176470588235
72,485.2,19.4,2.8,38.6,194.8,4259.2,0.7621283255086072
73,501.2,20.4,2.8,36.0,185.0,4254.6,0.7575757575757576
74,520.0,19.6,2.8,34.6,174.2,4248.8,0.7534602076124567
75,537.4,20.6,1.6,32.2,165.2,4243.0,0.7522768670309654
76,558.6,19.4,2.2,33.0,154.0,4232.8,0.738255033557047
77,579.0,18.0,2.6,32.4,146.8,4221.2,0.7347347347347347
78,602.0,16.4,3.0,31.6,140.2,4206.8,0.7332635983263598
79,623.6,17.4,1.8,30.0,130.6,4196.6,0.7263626251390433
80,648.0,16.0,2.2,27.0,124.6,4182.2,0.7338044758539457
81,668.0,17.4,0.6,24.0,120.8,4169.2,0.7420147420147419
82,685.8,17.0,1.8,23.8,114.8,4156.8,0.7293519695044473
83,708.8,15.8,1.8,23.2,109.4,4141.0,0.7283621837549934
84,726.4,14.0,2.2,21.2,102.6,4133.6,0.7328571428571428
85,744.2,14.4,1.6,20.4,98.0,4121.4,0.7291666666666666
86,766.6,13.0,2.0,19.8,94.0,4104.6,0.7298136645962733
87,785.0,12.2,2.0,18.8,90.2,4091.8,0.7321428571428571
88,802.2,12.0,2.6,17.6,87.0,4078.6,0.7298657718120806
89,822.6,11.4,1.4,17.6,83.8,4063.2,0.733800350262697
90,843.4,12.6,0.8,16.4,80.4,4046.4,0.7295825771324864
91,860.6,14.6,1.8,14.6,76.0,4032.4,0.7102803738317757
92,879.6,15.0,1.2,14.6,73.8,4015.8,0.7055449330783939
93,901.6,13.2,2.0,13.8,70.2,3999.2,0.7076612903225806
94,923.0,13.0,1.2,13.4,68.4,3981.0,0.7125
95,948.6,11.0,2.6,12.4,67.0,3958.4,0.7204301075268817
96,968.0,11.4,2.0,12.4,64.2,3942.0,0.7133333333333334
97,985.6,11.2,2.0,12.4,61.8,3927.0,0.7070938215102974
98,1004.8,11.2,1.8,12.0,60.8,3909.4,0.7086247086247086
99,1027.8,12.0,1.2,10.6,58.8,3889.6,0.711864406779661
100,1046.6,13.8,1.2,10.2,55.0,3873.2,0.685785536159601
101,1064.0,13.2,2.6,10.2,53.2,3856.8,0.6717171717171717
102,1087.8,10.8,1.8,11.4,52.8,3835.4,0.6875
103,1107.0,10.6,1.2,11.4,52.4,3817.4,0.6931216931216931
104,1127.8,10.6,1.4,11.0,48.8,3800.4,0.6796657381615598
105,1144.4,11.6,1.0,10.4,48.0,3784.6,0.676056338028169
106,1166.8,12.0,2.0,9.6,46.6,3763.0,0.6638176638176638
107,1181.4,11.8,2.2,9.6,46.0,3749.0,0.6609195402298851
108,1203.4,11.0,1.0,9.6,46.0,3729.0,0.6804733727810651
109,1221.2,13.2,1.2,9.6,42.8,3712.0,0.6407185628742514
110,1239.0,12.4,1.8,9.8,41.0,3696.0,0.6307692307692307
111,1255.2,12.4,0.8,10.2,39.6,3681.8,0.6285714285714286
112,1270.6,14.4,1.0,9.6,37.8,3666.6,0.6019108280254777
113,1289.0,14.4,0.4,10.2,34.8,3651.2,0.5819397993311036
114,1304.2,15.0,1.8,10.8,33.4,3634.8,0.5475409836065573
115,1326.2,16.0,1.4,11.0,32.2,3613.2,0.5313531353135313
116,1348.6,15.8,1.2,11.4,32.0,3591.0,0.5298013245033113
117,1364.4,16.4,0.8,11.6,32.0,3574.8,0.5263157894736842
118,1382.6,16.6,1.6,11.6,30.4,3557.2,0.5049833887043189
