Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4982.8,7.2,9.0,0,0,1.0,0.0
1,4977.4,11.2,8.2,0.8,0,2.4,0.0
2,4971.6,15.6,8.8,1.4,0,2.6,0.0
3,4964.8,19.2,9.4,2.8,0,3.8,0.0
4,4958.4,22.2,10.2,4.6,0,4.6,0.0
5,4947.6,29.6,11.0,6.0,0,5.8,0.0
6,4938.8,31.8,13.8,8.6,0,7.0,0.0
7,4925.4,37.6,17.8,10.6,0,8.6,0.0
8,4906.4,49.8,20.2,13.6,0,10.0,0.0
9,4883.4,61.6,25.0,18.0,0,12.0,0.0
10,4853.6,81.6,28.4,20.8,0,15.6,0.0
11,4817.4,102.4,36.2,24.0,0,20.0,0.0
12,4774.8,123.2,46.6,31.0,0,24.4,0.0
13,4720.2,153.0,57.2,40.2,0,29.4,0.0
14,4653.6,187.8,70.4,53.2,0,35.0,0.0
15,4584.8,219.4,90.2,64.0,0,41.6,0.0
16,4487.0,274.0,109.4,76.2,0,53.4,0.0
17,4379.0,326.2,138.4,91.8,0,64.6,0.0
18,4242.0,394.8,170.6,112.0,0,80.6,0.0
19,4080.4,472.8,209.2,137.6,0,100.0,0.0
20,3892.6,569.4,240.6,163.8,8.8,124.8,0.008955831467535112
21,3697.4,648.0,279.8,199.4,17.2,158.2,0.015029709891646276
22,3464.8,752.4,331.4,235.8,24.8,190.8,0.01844689080630765
23,3221.0,850.2,385.0,277.6,31.2,235.0,0.02020725388601036
24,2950.4,949.0,455.4,323.8,39.0,282.4,0.02206880941602535
25,2658.8,1057.8,529.6,373.0,43.8,337.0,0.02185410637660912
26,2373.4,1142.8,604.4,427.6,48.0,403.8,0.02159438545978046
27,2086.0,1202.4,683.6,495.4,52.4,480.2,0.021530117511710082
28,1809.6,1246.8,769.4,549.0,58.2,567.0,0.02218495082717085
29,1541.2,1265.6,857.4,611.4,63.6,660.8,0.022730521801286634
30,1294.8,1263.2,947.8,669.8,68.4,756.0,0.023192730231927302
31,1064.8,1241.0,1025.6,716.4,72.4,879.8,0.023695751783727174
32,870.6,1179.8,1101.0,771.0,75.8,1001.8,0.024235835784627187
33,692.8,1128.4,1152.0,809.0,81.6,1136.2,0.02573320719016083
34,548.6,1060.8,1189.6,841.0,83.4,1276.6,0.026269371298979466
35,433.6,977.0,1219.6,860.2,87.2,1422.4,0.027735368956743004
36,350.8,874.8,1237.0,870.6,90.4,1576.4,0.02941942202551419
37,280.8,788.6,1235.4,882.0,93.4,1719.8,0.03113956124558245
38,226.0,689.6,1242.6,881.6,96.6,1863.6,0.03319131390874107
