Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4971.2,18.8,10.0,0,0,0,0.0
1,4952.0,33.4,12.2,1.2,0,1.2,0.0
2,4925.6,52.0,15.8,3.8,0,2.8,0.0
3,4885.6,82.8,19.6,7.6,0,4.4,0.0
4,4842.2,110.4,29.4,12.8,0,5.2,0.0
5,4764.8,166.0,39.2,21.8,0,8.2,0.0
6,4651.8,242.4,57.6,36.0,0,12.2,0.0
7,4489.8,354.6,84.4,50.6,0,20.6,0.0
8,4283.2,484.4,127.2,75.4,0,29.8,0.0
9,3963.6,709.6,178.6,106.8,0,41.4,0.0
10,3564.0,968.6,248.4,156.4,0,62.6,0.0
11,3094.8,1244.2,351.2,221.8,0,88.0,0.0
12,2522.0,1565.4,477.4,308.8,0,126.4,0.0
13,1912.2,1863.4,620.4,422.4,0,181.6,0.0
14,1331.2,2081.4,797.8,538.0,0,251.6,0.0
15,854.8,2138.4,995.8,662.8,0,348.2,0.0
16,491.4,2086.2,1176.8,780.4,0,465.2,0.0
17,258.2,1908.8,1338.6,892.4,0,602.0,0.0
18,126.0,1663.6,1468.0,977.2,0,765.2,0.0
19,55.2,1399.8,1565.8,1047.2,0,932.0,0.0
20,22.2,1140.4,1632.2,1097.0,9.0,1099.2,0.0023204248955808796
21,11.4,925.6,1647.6,1116.0,18.2,1281.2,0.004909100717483951
22,8.8,753.8,1636.6,1108.0,26.2,1466.6,0.007433467627532203
23,10.8,618.4,1602.4,1089.6,32.2,1646.6,0.00963321964937474
24,11.2,504.4,1544.0,1065.0,38.8,1836.6,0.012308863650783578
25,10.4,414.6,1482.6,1031.6,45.0,2015.8,0.015132154146210237
26,11.0,336.6,1414.6,990.6,50.0,2197.2,0.017909592377677485
27,12.2,282.4,1336.0,951.6,55.6,2362.2,0.02117611212675198
28,13.0,237.2,1259.4,908.4,61.8,2520.2,0.02505269985406194
29,19.0,199.2,1194.4,863.8,66.6,2657.0,0.02865748709122203
30,19.0,173.4,1130.6,819.0,73.0,2785.0,0.033242258652094715
31,21.4,153.0,1058.2,775.0,77.4,2915.0,0.03750726885055244
32,17.6,141.2,990.4,732.6,81.0,3037.2,0.04164096236890809
33,21.6,124.2,932.0,694.2,83.8,3144.2,0.0456874931850398
34,23.0,114.6,866.0,658.8,85.6,3252.0,0.049623188405797096
35,23.2,107.4,807.2,622.6,86.2,3353.4,0.05309843538253049
36,24.4,105.2,757.2,592.2,91.0,3430.0,0.058876811594202896
37,25.8,97.6,714.2,559.4,93.8,3509.2,0.06402730375426621
38,31.8,96.0,659.6,527.0,95.8,3589.8,0.06950087057457922
39,36.2,98.0,612.0,496.2,99.8,3657.8,0.07641653905053598
40,37.4,98.8,552.0,468.2,118.4,3725.2,0.09568449975755616
41,39.8,100.4,497.0,441.6,132.8,3788.4,0.1133299197815327
42,40.6,98.6,451.4,416.2,147.4,3845.8,0.13236350574712644
43,44.0,95.4,410.4,396.6,164.2,3889.4,0.15394712169510594
44,49.0,94.2,374.4,374.8,176.8,3930.8,0.17329935306802588
45,50.0,94.6,331.0,353.4,185.6,3985.4,0.19241136222268296
46,55.0,93.8,293.2,331.8,194.2,4032.0,0.21270536692223438
47,61.2,91.6,262.4,318.8,199.6,4066.4,0.22879413113250802
48,63.4,92.0,229.8,300.0,207.2,4107.6,0.2499396863691194
49,71.8,88.6,198.0,284.8,216.4,4140.4,0.2746890073622747
50,83.4,84.2,172.2,274.4,225.4,4160.4,0.2980692938376091
51,94.6,79.6,147.0,261.2,231.2,4186.4,0.32155771905424196
52,100.8,79.6,123.4,253.0,240.8,4202.4,0.34557979334098743
53,108.4,81.0,101.4,239.4,250.6,4219.2,0.3726948245092207
54,117.2,79.0,80.0,233.0,255.2,4235.6,0.3943139678615574
