Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4969.6,20.4,8.8,0,0,1.2,0.0
1,4955.2,29.4,10.2,2.6,0,2.6,0.0
2,4933.8,45.2,12.8,4.4,0,3.8,0.0
3,4899.8,71.2,17.0,7.2,0,4.8,0.0
4,4854.4,102.4,23.0,13.8,0,6.4,0.0
5,4791.4,142.0,35.4,22.2,0,9.0,0.0
6,4695.0,208.0,50.8,33.2,0,13.0,0.0
7,4551.8,307.6,74.0,47.8,0,18.8,0.0
8,4350.4,448.6,107.2,65.4,0,28.4,0.0
9,4086.4,627.6,149.2,98.0,0,38.8,0.0
10,3745.4,843.0,210.2,143.6,0,57.8,0.0
11,3303.8,1114.4,302.2,195.8,0,83.8,0.0
12,2780.4,1410.6,416.4,275.6,0,117.0,0.0
13,2176.8,1741.0,554.2,364.8,0,163.2,0.0
14,1590.4,1976.8,728.0,472.6,0,232.2,0.0
15,1070.6,2112.4,904.2,595.6,0,317.2,0.0
16,664.0,2095.4,1099.2,720.4,0,421.0,0.0
17,369.0,1981.2,1277.2,824.2,0,548.4,0.0
18,191.2,1770.0,1424.0,924.8,0,690.0,0.0
19,87.0,1520.4,1531.6,1001.8,0,859.2,0.0
20,34.8,1275.0,1601.2,1036.0,9.4,1043.6,0.002396980824153407
21,12.8,1042.8,1633.8,1065.4,18.6,1226.6,0.004946019252246982
22,8.6,852.8,1627.2,1068.8,25.8,1416.8,0.007217590779387903
23,6.6,691.8,1608.4,1059.4,32.8,1601.0,0.009668671147270368
24,10.2,561.6,1558.2,1034.4,40.0,1795.6,0.012522697389017593
25,9.8,462.6,1502.8,999.8,46.6,1978.4,0.015472474931934392
26,11.6,379.8,1441.8,959.2,53.4,2154.2,0.01884129560369769
27,11.4,308.4,1381.4,919.8,59.2,2319.8,0.022182254196642687
28,10.6,257.2,1308.0,879.6,62.4,2482.2,0.024888321633694956
29,14.6,214.4,1235.0,839.4,67.8,2628.8,0.02877026224221335
30,16.4,182.2,1160.8,796.0,72.6,2772.0,0.03282691264243082
31,16.2,156.8,1091.4,757.4,76.2,2902.0,0.03660293976366606
32,20.0,136.8,1026.4,715.6,80.8,3020.4,0.041232904674423344
33,22.0,122.6,957.6,674.4,83.6,3139.8,0.04547927320204548
34,25.8,112.4,900.0,637.0,86.4,3238.4,0.04977531973729692
35,26.8,105.4,842.8,595.8,90.0,3339.2,0.05507955936352509
36,27.2,103.6,786.2,561.0,92.6,3429.4,0.05999740831929506
37,29.4,99.6,734.2,528.4,95.6,3512.8,0.0655782686239539
38,31.2,101.4,680.2,496.6,97.2,3593.4,0.07067035044350733
39,32.4,100.0,635.2,468.0,98.8,3665.6,0.07588325652841782
40,38.2,97.4,576.0,446.0,117.2,3725.2,0.0947759987061297
41,44.2,93.4,524.4,422.2,131.4,3784.4,0.11217346764555233
42,48.0,94.6,474.6,394.6,147.2,3841.0,0.13249324932493248
43,49.0,94.6,431.6,374.0,160.8,3890.0,0.151555136663525
44,48.2,95.6,388.6,353.6,171.4,3942.6,0.16983749504558066
45,57.8,91.8,349.6,335.6,186.8,3978.4,0.19381614442830464
46,58.6,93.8,313.4,319.0,197.6,4017.6,0.21389911236198308
47,62.0,92.0,276.0,306.2,207.4,4056.4,0.2352540834845735
48,66.0,85.0,248.4,289.6,216.0,4095.0,0.25744934445768775
49,76.6,83.2,222.8,274.4,223.6,4119.4,0.2781094527363184
50,86.8,80.6,196.8,257.2,230.8,4147.8,0.30154167755422007
51,92.0,82.6,173.6,243.4,234.6,4173.8,0.31953146281667116
52,98.6,80.8,151.6,233.6,236.2,4199.2,0.3363714041583594
53,107.6,77.6,131.8,219.6,238.8,4224.6,0.35759209344115006
54,121.8,77.2,116.8,206.4,240.6,4237.2,0.3753510140405616
55,132.6,79.0,100.8,195.8,237.4,4254.4,0.3872756933115824
56,146.0,75.8,87.6,189.2,239.8,4261.6,0.4047940580688724
57,154.2,75.4,74.6,177.6,238.4,4279.8,0.42120141342756184
58,164.8,72.0,65.8,168.0,237.4,4292.0,0.43703976435935193
59,173.6,70.0,54.8,159.4,238.4,4303.8,0.4561806352851129
60,182.4,67.6,38.0,155.2,244.6,4312.2,0.48397309062129007
61,196.2,61.4,26.8,147.4,248.2,4320.0,0.5130219098801158
62,210.6,55.4,17.6,141.6,252.2,4322.6,0.5402742073693231
63,222.6,54.2,14.0,133.0,248.6,4327.6,0.5526900844819921
64,234.8,48.8,9.6,125.2,245.2,4336.4,0.5718283582089553
65,248.4,46.2,5.0,115.8,238.6,4346.0,0.5882642998027613
66,262.0,46.2,6.2,105.0,232.6,4348.0,0.5964102564102564
67,277.6,47.0,4.2,94.8,228.4,4348.0,0.6100427350427351
68,293.6,46.8,6.0,90.8,221.4,4341.4,0.6065753424657534
