Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4966.8,23.2,10.0,0,0,0,0.0
1,4947.0,37.8,11.8,2.4,0,1.0,0.0
2,4921.4,55.6,14.6,6.6,0,1.8,0.0
3,4883.2,84.0,19.4,9.4,0,4.0,0.0
4,4837.0,115.0,26.0,15.4,0,6.6,0.0
5,4766.4,162.4,37.8,23.6,0,9.8,0.0
6,4661.2,235.6,53.4,37.0,0,12.8,0.0
7,4516.2,333.8,77.2,54.2,0,18.6,0.0
8,4311.8,473.2,114.8,74.2,0,26.0,0.0
9,4032.6,654.8,163.6,109.6,0,39.4,0.0
10,3644.2,912.0,235.8,146.6,0,61.4,0.0
11,3169.0,1206.0,330.4,206.0,0,88.6,0.0
12,2609.6,1524.8,451.6,288.8,0,125.2,0.0
13,2019.2,1813.0,603.2,387.2,0,177.4,0.0
14,1417.2,2055.6,780.4,501.6,0,245.2,0.0
15,900.4,2161.8,973.4,628.0,0,336.4,0.0
16,513.6,2096.8,1180.8,761.6,0,447.2,0.0
17,262.8,1933.8,1348.8,871.6,0,583.0,0.0
18,123.8,1700.4,1473.0,967.8,0,735.0,0.0
19,52.8,1447.8,1560.0,1031.2,0,908.2,0.0
20,19.4,1197.6,1608.8,1066.6,8.8,1098.8,0.0022669895409346183
21,9.6,969.6,1635.6,1087.0,16.8,1281.4,0.004529522782421138
22,5.0,791.8,1625.4,1077.8,25.6,1474.4,0.007271487814577061
23,6.0,636.4,1593.0,1058.6,32.8,1673.2,0.009877138039026739
24,9.8,517.0,1544.2,1033.6,39.0,1856.4,0.012444955006701132
25,11.4,424.4,1493.6,998.4,43.4,2028.8,0.014663152915737549
26,11.8,355.6,1435.0,957.4,50.0,2190.2,0.017869907076483203
27,9.4,299.4,1368.6,919.6,54.8,2348.2,0.020738722373599756
28,12.6,243.8,1308.6,880.2,60.4,2494.4,0.024227837946249497
29,16.6,203.8,1236.2,841.4,65.6,2636.4,0.027950575202386023
30,17.2,176.8,1161.4,797.4,69.6,2777.6,0.03156176310538727
31,19.8,156.8,1086.4,755.6,75.2,2906.2,0.036258437801350046
32,21.6,139.4,1030.6,711.2,78.6,3018.6,0.04010613327890601
33,24.2,128.4,968.8,666.0,81.4,3131.2,0.044128808413748236
34,26.2,120.6,909.2,626.2,86.0,3231.8,0.04936854190585534
35,25.6,114.4,849.4,589.6,91.2,3329.8,0.055454213790587376
36,28.2,112.0,796.4,556.4,93.8,3413.2,0.060182214808161175
37,29.2,108.6,742.0,528.6,96.8,3494.8,0.06558265582655827
38,31.4,103.8,689.4,501.2,98.8,3575.4,0.07091587711742751
39,35.4,102.6,639.6,474.8,102.8,3644.8,0.07789058948325504
40,37.2,98.6,582.4,448.0,118.2,3715.6,0.09477228992944195
41,44.8,92.6,532.0,426.2,134.0,3770.4,0.11309925725860905
42,46.2,92.4,484.4,405.0,146.2,3825.8,0.12960992907801416
43,51.4,91.8,443.0,384.8,157.6,3871.4,0.14630523579650948
44,54.0,87.8,398.8,365.2,170.6,3923.6,0.1668622848200313
45,56.0,87.0,361.4,344.8,179.8,3971.0,0.18478931140801647
46,60.4,84.8,322.2,328.6,191.8,4012.2,0.20681475091654086
47,67.0,83.4,286.6,310.0,202.8,4050.2,0.2297236067059357
48,72.8,86.6,252.2,294.2,211.0,4083.2,0.25
49,82.0,81.4,224.0,279.2,218.8,4114.6,0.27234254418720444
50,88.0,80.0,198.4,268.0,225.0,4140.6,0.29167746953590873
51,93.6,76.6,174.2,255.4,232.4,4167.8,0.3146493365827241
52,102.8,72.6,152.6,243.6,238.0,4190.4,0.33672891907187325
53,113.2,76.2,129.8,230.0,241.6,4209.2,0.35655253837072015
54,119.6,75.8,111.6,216.6,245.6,4230.8,0.3780788177339901
55,128.8,73.4,97.8,205.6,247.2,4247.2,0.39615384615384613
56,134.4,75.0,81.0,195.0,249.4,4265.2,0.4153897401732179
57,145.0,71.0,70.4,187.4,244.8,4281.4,0.42677824267782427
58,152.0,70.4,59.4,177.0,244.6,4296.6,0.4435981138919115
59,168.0,69.2,47.0,168.6,243.0,4304.2,0.4604016672982191
60,179.8,61.4,33.6,160.8,250.6,4313.8,0.4948657187993681
61,194.4,58.8,23.0,151.0,255.0,4317.8,0.5227552275522755
62,205.2,54.2,14.8,144.0,255.4,4326.4,0.5452604611443211
63,220.4,49.8,9.8,134.8,252.2,4333.0,0.5647111509180475
64,236.8,47.0,5.4,124.6,249.0,4337.2,0.5845070422535211
65,246.6,45.8,4.6,115.8,242.2,4345.0,0.5930460333006856
66,261.6,40.8,7.2,108.8,233.4,4348.2,0.5981547924141465
67,278.0,38.2,6.2,100.6,227.8,4349.2,0.6110515021459227
68,294.2,37.0,5.2,94.8,222.4,4346.4,0.6188091263216472
69,314.2,36.6,4.6,89.2,216.0,4339.4,0.6235565819861433
70,329.6,36.8,4.6,83.8,207.4,4337.8,0.6235718580877931
71,347.6,37.0,4.8,78.4,199.4,4332.8,0.6239048811013767
72,359.4,37.0,3.8,75.2,190.6,4334.0,0.6216568819308544
73,374.2,36.8,3.4,70.4,184.8,4330.4,0.6255924170616115
74,390.0,34.8,4.0,66.0,178.2,4327.0,0.6296819787985866
75,408.0,36.0,3.6,63.0,171.8,4317.6,0.6260932944606415
76,423.0,38.2,3.2,60.2,164.4,4311.0,0.618045112781955
77,438.2,36.4,4.4,56.6,156.6,4307.8,0.6165354330708661
78,452.2,36.6,2.0,54.6,151.2,4303.4,0.618657937806874
79,469.4,36.0,3.2,52.6,145.8,4293.0,0.6136363636363636
80,487.4,36.0,2.2,50.0,141.0,4283.4,0.6151832460732984
81,503.8,33.8,3.4,51.2,136.0,4271.8,0.6060606060606061
82,518.8,33.6,4.2,49.6,131.0,4262.8,0.5998168498168498
83,536.0,33.6,3.4,47.6,130.8,4248.6,0.6072423398328691
84,555.8,31.0,4.4,47.0,126.4,4235.4,0.6053639846743295
85,578.8,29.8,3.8,45.4,123.8,4218.4,0.6104536489151873
86,596.2,32.0,3.4,43.2,120.0,4205.2,0.6042296072507553
87,611.4,33.6,2.8,41.0,117.8,4193.4,0.6034836065573771
88,630.0,32.4,3.4,40.0,111.6,4182.6,0.5955176093916756
89,649.8,30.0,3.8,38.2,108.4,4169.8,0.6008869179600888
90,669.4,29.4,2.8,36.4,104.4,4157.6,0.6034682080924856
91,686.0,28.2,3.6,33.6,103.0,4145.6,0.6116389548693586
92,708.6,28.0,3.0,31.2,99.6,4129.6,0.6155747836835599
93,724.8,26.2,4.0,30.8,97.2,4117.0,0.6144121365360304
94,742.0,24.6,3.4,30.2,96.0,4103.8,0.622568093385214
95,756.2,26.6,2.8,29.6,92.8,4092.0,0.61133069828722
96,769.2,30.6,1.6,28.6,87.8,4082.2,0.5908479138627187
97,788.0,29.4,4.6,27.8,84.6,4065.6,0.5778688524590164
98,805.0,29.0,2.6,27.4,85.0,4051.0,0.5902777777777778
99,822.2,27.8,2.8,26.4,83.4,4037.4,0.594017094017094
100,840.4,25.8,3.2,27.6,82.4,4020.6,0.5928057553956835
101,856.8,23.8,3.4,28.0,80.2,4007.8,0.5923190546528804
102,871.8,23.0,3.4,28.8,80.0,3993.0,0.591715976331361
103,885.0,26.2,3.0,25.8,77.4,3982.6,0.5845921450151058
104,900.8,28.4,1.8,25.4,75.4,3968.2,0.5755725190839696
105,914.8,29.2,3.0,26.0,72.4,3954.6,0.554364471669219
106,932.4,31.4,1.6,25.0,72.2,3937.4,0.5545314900153611
107,946.4,32.0,4.2,25.0,69.4,3923.0,0.5313935681470138
108,960.2,31.6,3.8,27.2,71.0,3906.2,0.531437125748503
109,979.6,30.4,4.0,26.8,70.2,3889.0,0.5342465753424658
110,992.8,31.2,3.8,25.0,71.2,3876.0,0.5426829268292683
111,1006.4,30.6,2.2,27.0,69.6,3864.2,0.5378670788253477
112,1021.8,32.0,3.2,28.0,67.6,3847.4,0.5168195718654434
113,1031.2,35.2,3.6,28.4,67.6,3834.0,0.5014836795252224
114,1045.8,34.4,3.8,27.6,67.2,3821.2,0.5052631578947369
115,1060.4,33.2,3.2,27.0,68.6,3807.6,0.5196969696969697
116,1075.6,32.0,4.6,28.4,67.4,3792.0,0.5090634441087614
117,1084.8,34.6,3.0,27.2,68.4,3782.0,0.5135135135135136
118,1101.4,32.2,4.2,28.2,69.8,3764.2,0.519345238095238
119,1114.8,33.8,4.4,27.2,68.0,3751.8,0.509745127436282
120,1126.0,32.8,4.2,27.2,68.2,3741.6,0.5151057401812689
121,1136.6,32.2,2.2,27.4,68.6,3733.0,0.5260736196319018
122,1150.4,31.8,5.4,27.8,65.8,3718.8,0.5030581039755351
123,1161.2,35.2,3.2,26.0,68.8,3705.6,0.5165165165165165
124,1174.4,35.8,5.4,23.6,69.8,3691.0,0.5185735512630015
125,1186.8,36.8,4.2,23.6,70.2,3678.4,0.5207715133531157
