Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4958.0,32.0,9.2,0,0,0.8,0.0
1,4929.6,54.8,12.6,1.8,0,1.2,0.0
2,4882.6,91.6,18.8,5.0,0,2.0,0.0
3,4825.8,127.8,28.2,14.2,0,4.0,0.0
4,4699.4,230.4,39.2,23.0,0,8.0,0.0
5,4527.4,355.4,66.0,39.4,0,11.8,0.0
6,4251.8,567.2,97.8,64.6,0,18.6,0.0
7,3848.4,853.2,162.2,103.2,0,33.0,0.0
8,3275.2,1256.6,246.2,169.2,0,52.8,0.0
9,2572.8,1702.0,380.6,265.8,0,78.8,0.0
10,1752.4,2166.4,574.8,384.6,0,121.8,0.0
11,997.2,2487.4,788.8,536.6,0,190.0,0.0
12,468.4,2533.6,1018.8,690.4,0,288.8,0.0
13,175.0,2322.6,1249.4,844.4,0,408.6,0.0
14,48.0,1998.0,1441.2,957.8,0,555.0,0.0
15,13.6,1641.0,1573.8,1043.0,0,728.6,0.0
16,5.8,1324.4,1658.8,1104.8,0,906.2,0.0
17,6.0,1061.8,1711.6,1129.4,0,1091.2,0.0
18,3.6,868.4,1710.6,1123.4,0,1294.0,0.0
19,6.4,695.6,1690.0,1116.8,0,1491.2,0.0
20,8.0,560.6,1648.6,1089.8,8.8,1684.2,0.0026603784993046737
21,11.2,459.8,1586.8,1040.8,17.6,1883.8,0.0056682769726248
22,13.0,376.2,1514.6,1001.0,26.0,2069.2,0.008910823222976214
23,14.0,311.4,1432.0,963.4,32.8,2246.4,0.011972550737333915
24,12.6,270.8,1350.8,911.6,40.0,2414.2,0.0155448468832582
25,13.2,233.8,1272.8,861.2,46.2,2572.8,0.019138359569179787
26,17.6,201.0,1195.8,823.2,52.4,2710.0,0.02305932054215807
27,14.4,174.0,1140.0,777.8,57.8,2836.0,0.026888723483438775
28,18.4,152.4,1065.4,740.6,61.8,2961.4,0.030591030591030587
29,18.0,140.6,994.0,699.4,67.6,3080.4,0.0355490113588557
30,19.2,129.0,929.2,664.0,71.6,3187.0,0.039915263686029656
31,21.2,119.2,862.2,619.8,76.2,3301.4,0.04542744723977584
32,24.6,112.0,804.4,582.2,80.4,3396.4,0.05091830272324256
33,28.2,104.0,755.4,555.8,85.6,3471.0,0.057036247334754805
34,27.2,104.6,704.0,519.0,87.8,3557.4,0.06203193443549527
35,29.6,99.0,659.6,487.8,90.2,3633.8,0.06748466257668712
36,29.0,100.0,613.4,458.8,93.4,3705.4,0.07379898862199746
37,28.6,99.2,572.4,433.8,96.6,3769.4,0.08036605657237936
38,33.2,96.4,537.8,410.0,99.4,3823.2,0.08691850297306752
39,35.6,97.8,502.8,391.4,103.4,3869.0,0.09439474164688698
40,41.0,96.8,454.6,371.2,118.8,3917.6,0.11407720376416364
41,40.4,97.2,407.8,348.8,132.8,3973.0,0.1346036894384756
42,39.6,92.0,366.8,333.2,146.0,4022.4,0.15565031982942432
43,46.4,87.4,330.8,314.6,157.8,4063.0,0.17718392095216706
44,50.6,87.8,297.2,297.6,166.0,4100.8,0.19561630921517795
45,52.2,85.0,265.0,282.6,176.2,4139.0,0.21785361028684472
46,58.2,85.4,234.0,270.8,188.4,4163.2,0.24197277164140765
47,65.6,86.0,208.2,257.8,198.0,4184.4,0.264
48,69.2,87.2,180.6,245.0,207.6,4210.4,0.2881732370905053
49,73.4,84.6,160.8,230.0,217.2,4234.0,0.3136009240542882
50,83.4,78.8,142.6,218.8,225.0,4251.4,0.33824413710162354
51,87.6,81.4,120.8,208.6,231.0,4270.6,0.3599252103459022
52,96.0,81.8,99.2,198.6,236.4,4288.0,0.38376623376623376
53,105.4,81.6,80.4,190.2,239.0,4303.4,0.4042625169147496
54,112.8,80.0,64.4,181.0,246.0,4315.8,0.43052152607630384
55,123.2,77.4,57.8,172.4,249.0,4320.2,0.44735896514552637
56,135.6,75.2,44.4,164.0,249.0,4331.8,0.4675178370259106
57,143.0,72.0,33.0,155.8,249.8,4346.4,0.4892283587935762
58,150.2,72.4,22.4,147.0,250.2,4357.8,0.5085365853658537
59,162.2,71.6,17.8,136.4,249.2,4362.8,0.5246315789473684
60,175.2,63.4,15.0,123.2,256.8,4366.4,0.5602094240837696
61,188.6,62.2,11.0,109.0,255.4,4373.8,0.5836380255941499
62,199.2,58.2,10.6,99.4,253.4,4379.2,0.6010436432637571
63,210.2,56.2,9.6,90.2,248.2,4385.6,0.6140524492825334
64,223.2,55.0,8.8,87.0,242.8,4383.2,0.616869918699187
65,242.0,49.6,7.2,85.2,237.8,4378.2,0.6261190100052659
66,253.0,49.4,6.4,78.8,231.8,4380.6,0.63264192139738
67,269.0,47.2,6.6,74.0,221.8,4381.4,0.6344393592677345
68,281.6,43.8,8.0,71.6,214.8,4380.2,0.6351271437019516
69,301.6,41.2,5.6,66.4,211.0,4374.2,0.6508328192473781
70,318.4,41.6,7.8,62.8,203.8,4365.6,0.6449367088607595
71,336.4,40.6,5.4,60.8,196.8,4360.0,0.6482213438735178
72,348.4,42.8,5.6,55.8,190.2,4357.2,0.6460597826086957
73,365.6,42.0,3.4,53.2,184.4,4351.4,0.6515901060070671
74,383.4,38.2,6.2,51.8,175.2,4345.2,0.6455416359616802
75,399.4,38.0,8.4,51.6,168.4,4334.2,0.6321321321321323
76,412.2,38.6,6.6,49.0,164.8,4328.8,0.6362934362934364
77,432.4,40.0,5.8,46.4,159.2,4316.2,0.6332537788385044
78,446.2,44.6,7.6,44.6,152.2,4304.8,0.6112449799196786
79,468.4,39.4,8.2,45.6,148.6,4289.8,0.6145574855252275
80,483.2,38.8,6.0,45.2,146.2,4280.6,0.6189669771380186
81,496.8,39.2,6.0,44.6,141.4,4272.0,0.6115916955017301
82,508.0,40.4,5.8,44.4,136.0,4265.4,0.6001765225066196
83,524.2,41.4,5.2,45.0,133.4,4250.8,0.5928888888888889
84,536.8,42.8,3.6,44.6,133.8,4238.4,0.5951957295373665
85,550.0,44.8,4.0,41.2,129.2,4230.8,0.5894160583941606
86,565.4,44.2,7.4,41.6,124.6,4216.8,0.5720844811753902
87,577.6,46.0,6.4,40.4,123.8,4205.8,0.5715604801477377
88,586.2,51.0,7.2,39.6,122.4,4193.6,0.555858310626703
89,595.6,51.0,9.4,39.8,120.4,4183.8,0.5457842248413418
90,609.4,49.4,8.8,39.0,120.6,4172.8,0.5537190082644627
91,617.8,48.4,10.6,38.6,118.2,4166.4,0.5477293790546802
92,631.4,48.6,8.0,36.2,118.6,4157.2,0.5610217596972563
93,645.8,49.0,8.8,34.8,117.6,4144.0,0.5594671741198858
