Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4955.4,34.6,9.2,0,0,0.8,0.0
1,4922.6,58.8,14.2,3.0,0,1.4,0.0
2,4865.6,102.6,20.8,8.6,0,2.4,0.0
3,4772.6,173.4,31.6,18.2,0,4.2,0.0
4,4630.2,278.6,52.8,30.0,0,8.4,0.0
5,4416.4,435.6,81.6,51.4,0,15.0,0.0
6,4093.6,674.0,126.4,80.8,0,25.2,0.0
7,3631.6,1004.6,196.6,128.8,0,38.4,0.0
8,3002.2,1434.2,304.8,200.2,0,58.6,0.0
9,2238.2,1901.4,457.2,306.0,0,97.2,0.0
10,1433.8,2330.8,650.6,428.6,0,156.2,0.0
11,800.8,2499.2,881.4,585.6,0,233.0,0.0
12,366.2,2440.6,1115.8,740.8,0,336.6,0.0
13,124.0,2191.4,1329.4,885.2,0,470.0,0.0
14,38.4,1840.8,1498.8,1001.2,0,620.8,0.0
15,9.6,1508.8,1607.8,1071.0,0,802.8,0.0
16,4.4,1218.2,1669.6,1115.8,0,992.0,0.0
17,6.0,975.6,1699.2,1134.4,0,1184.8,0.0
18,5.0,788.4,1688.4,1142.2,0,1376.0,0.0
19,7.0,640.6,1656.4,1114.6,0,1581.4,0.0
20,6.4,520.8,1589.8,1082.2,20.6,1780.2,0.0064106553805937634
21,10.6,420.4,1500.8,1055.0,51.6,1961.6,0.01704207675539996
22,9.2,347.8,1407.6,1020.4,88.0,2127.0,0.030728402821426082
23,13.8,282.0,1308.4,976.4,121.6,2297.8,0.045231364380300544
24,13.4,241.6,1210.2,930.6,155.6,2448.6,0.06130811662726556
25,15.6,209.8,1109.8,883.2,186.8,2594.8,0.07817207900903916
26,15.8,182.4,1017.2,837.0,215.2,2732.4,0.0955679900524025
27,17.0,159.4,923.8,795.6,243.0,2861.2,0.11452540295975114
28,20.4,143.2,826.4,754.2,263.8,2992.0,0.132722881867579
29,20.0,131.4,743.6,713.0,285.4,3106.6,0.1523433329774741
30,22.8,121.2,666.0,671.6,307.8,3210.6,0.17423298992414807
31,20.0,117.0,591.8,632.0,326.6,3312.6,0.1958738155211707
32,24.0,108.4,522.2,599.4,345.0,3401.0,0.21904761904761905
33,29.6,103.6,459.6,558.0,362.6,3486.6,0.24437255694837579
34,27.6,102.2,401.6,527.2,381.6,3559.8,0.27014016706781824
35,31.0,96.8,348.8,499.8,392.4,3631.2,0.2933173867543728
36,29.4,92.8,303.8,465.6,404.8,3703.6,0.31949486977111285
