Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4958.0,32.0,8.6,0,0,1.4,0.0
1,4929.8,52.0,12.8,3.8,0,1.6,0.0
2,4879.6,93.8,16.4,7.6,0,2.6,0.0
3,4806.8,149.2,25.6,14.8,0,3.6,0.0
4,4689.4,234.8,42.6,25.2,0,8.0,0.0
5,4496.2,379.8,70.8,41.0,0,12.2,0.0
6,4209.2,589.6,113.4,66.2,0,21.6,0.0
7,3760.4,917.0,174.8,110.8,0,37.0,0.0
8,3176.0,1329.8,265.6,171.4,0,57.2,0.0
9,2454.2,1776.2,409.2,277.8,0,82.6,0.0
10,1651.2,2232.8,587.2,402.4,0,126.4,0.0
11,922.6,2521.8,802.6,556.8,0,196.2,0.0
12,427.4,2512.2,1041.0,722.8,0,296.6,0.0
13,152.8,2283.4,1265.2,877.4,0,421.2,0.0
14,42.4,1936.0,1463.0,993.6,0,565.0,0.0
15,7.4,1584.0,1584.6,1083.2,0,740.8,0.0
16,4.6,1272.6,1662.0,1131.4,0,929.4,0.0
17,5.4,1029.2,1694.0,1142.4,0,1129.0,0.0
18,5.0,817.4,1706.8,1142.8,0,1328.0,0.0
19,6.2,655.0,1681.8,1133.6,0,1523.4,0.0
20,10.2,523.2,1613.6,1109.8,24.2,1719.0,0.007398801516448575
21,8.4,429.6,1526.4,1068.0,56.4,1911.2,0.01830931047915855
22,11.0,354.8,1427.6,1032.8,87.4,2086.4,0.030110935023771795
23,13.0,293.2,1323.4,989.4,121.4,2259.6,0.044511256141380066
24,15.8,246.4,1215.6,937.0,153.6,2431.6,0.06017394029616861
25,14.8,213.4,1114.2,887.2,185.4,2585.0,0.07724356303641362
26,15.4,180.2,1015.6,843.2,215.6,2730.0,0.09562671870841835
27,18.6,162.0,918.6,795.2,240.6,2865.0,0.11368361368361368
28,19.2,144.6,834.2,747.8,265.2,2989.0,0.13314589818254843
29,20.8,134.8,750.0,696.4,293.4,3104.6,0.15651338952309826
30,19.0,124.6,666.6,655.4,312.0,3222.4,0.17741385192766976
31,22.4,114.4,592.0,615.6,329.8,3325.8,0.19966097590507326
32,27.8,106.6,521.6,579.2,345.4,3419.4,0.2224368882019577
33,27.0,104.4,455.8,542.4,362.4,3508.0,0.2473720136518771
34,31.4,98.2,397.2,513.2,380.8,3579.2,0.2740751403483518
35,32.6,94.0,344.6,482.8,393.6,3652.4,0.2993155893536122
