Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4959.0,31.0,9.4,0,0,0.6,0.0
1,4928.6,55.8,11.8,2.6,0,1.2,0.0
2,4887.0,86.0,16.8,7.8,0,2.4,0.0
3,4816.8,141.2,25.2,13.0,0,3.8,0.0
4,4700.0,227.8,43.0,21.4,0,7.8,0.0
5,4511.6,367.4,69.4,38.6,0,13.0,0.0
6,4236.6,568.8,112.0,63.4,0,19.2,0.0
7,3810.6,880.6,174.0,101.0,0,33.8,0.0
8,3230.8,1271.8,275.8,168.6,0,53.0,0.0
9,2479.8,1769.0,401.6,261.2,0,88.4,0.0
10,1686.0,2202.2,586.4,391.0,0,134.4,0.0
11,947.6,2501.6,797.8,545.4,0,207.6,0.0
12,439.8,2503.4,1036.0,706.8,0,314.0,0.0
13,158.0,2283.8,1275.2,843.0,0,440.0,0.0
14,40.4,1941.8,1467.4,963.6,0,586.8,0.0
15,13.0,1590.6,1582.2,1056.6,0,757.6,0.0
16,5.8,1287.2,1659.8,1108.0,0,939.2,0.0
17,6.0,1035.0,1703.4,1128.4,0,1127.2,0.0
18,4.8,828.4,1716.0,1132.4,0,1318.4,0.0
19,6.4,670.0,1693.2,1113.8,0,1516.6,0.0
20,9.0,545.6,1637.0,1089.2,9.6,1709.6,0.0029255805448893763
21,9.4,445.6,1579.6,1049.8,18.4,1897.2,0.005948147669231266
22,13.2,363.4,1517.6,1016.0,26.0,2063.8,0.008894970920287376
23,9.6,304.0,1434.6,975.6,33.2,2243.0,0.01208415228943729
24,12.6,250.0,1357.4,937.0,40.4,2402.6,0.0156298359640978
25,15.2,204.6,1289.8,884.8,47.6,2558.0,0.019614306906213946
26,14.6,182.0,1213.4,833.6,52.8,2703.6,0.023139626610570597
27,16.4,163.6,1140.2,784.6,59.8,2835.4,0.027837259100642393
28,18.0,146.0,1068.6,746.4,66.4,2954.6,0.03275130709282825
29,18.8,130.2,997.6,706.0,70.8,3076.6,0.03717315971857608
30,19.8,119.2,925.6,662.0,76.2,3197.2,0.0427369601794728
31,22.2,114.8,866.0,631.2,80.6,3285.2,0.047619047619047616
32,20.2,111.4,799.2,598.6,83.8,3386.8,0.052605147520401754
33,20.8,104.4,747.6,564.4,87.8,3475.0,0.058369897619997335
34,20.4,103.4,689.8,531.4,90.6,3564.4,0.0640192198982476
35,26.2,100.8,636.6,498.6,93.6,3644.2,0.0703971119133574
36,28.2,97.4,594.6,471.2,95.8,3712.8,0.07609213661636219
37,26.0,97.4,558.0,444.8,97.8,3776.0,0.08163606010016694
38,34.8,96.2,516.6,422.0,101.0,3829.4,0.08892410635675294
39,38.6,95.0,478.4,399.0,101.8,3887.2,0.09476819959039284
