Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4960.2,29.8,8.8,0,0,1.2,0.0
1,4939.4,44.2,12.0,2.8,0,1.6,0.0
2,4903.2,71.2,17.2,6.2,0,2.2,0.0
3,4839.0,116.8,25.4,14.2,0,4.6,0.0
4,4733.4,195.8,40.0,23.8,0,7.0,0.0
5,4552.0,338.2,61.6,36.6,0,11.6,0.0
6,4302.0,522.6,96.4,62.6,0,16.4,0.0
7,3916.8,805.2,151.4,101.6,0,25.0,0.0
8,3389.0,1178.8,235.2,155.2,0,41.8,0.0
9,2687.4,1648.2,356.6,237.6,0,70.2,0.0
10,1892.8,2106.4,540.2,347.0,0,113.6,0.0
11,1135.4,2445.4,751.6,489.6,0,178.0,0.0
12,544.2,2566.6,978.0,641.2,0,270.0,0.0
13,228.2,2378.8,1215.0,801.8,0,376.2,0.0
14,68.2,2055.4,1413.4,944.6,0,518.4,0.0
15,15.0,1704.0,1537.8,1046.4,0,696.8,0.0
16,5.6,1375.2,1632.8,1114.0,0,872.4,0.0
17,4.8,1100.2,1673.4,1148.2,0,1073.4,0.0
18,6.2,879.8,1693.2,1147.6,0,1273.2,0.0
19,8.8,707.0,1684.8,1142.4,0,1457.0,0.0
20,8.2,573.8,1641.4,1118.0,9.4,1649.2,0.002812182133668402
21,7.0,467.0,1581.0,1091.4,18.2,1835.4,0.005763871294654168
22,11.8,379.8,1517.4,1050.8,26.4,2013.8,0.008875739644970413
23,12.0,313.6,1441.8,1008.4,35.2,2189.0,0.012575919971418366
24,9.0,268.2,1367.2,961.2,42.8,2351.6,0.01621580662271728
25,13.0,227.6,1292.4,910.6,50.0,2506.4,0.02015641377086189
26,16.2,195.8,1218.6,861.0,55.8,2652.6,0.023936170212765957
27,16.8,173.2,1139.0,813.4,59.8,2797.8,0.027363411732405963
28,17.0,154.4,1067.8,766.6,65.8,2928.4,0.032025698432784966
29,17.2,138.4,1000.6,726.8,70.6,3046.4,0.03645940921297253
30,18.0,125.0,937.2,681.6,75.0,3163.2,0.041235979766879254
31,20.0,112.6,878.4,641.0,78.6,3269.4,0.04594878989828131
32,24.6,104.0,822.2,606.6,83.8,3358.8,0.051837189162439685
33,22.6,102.8,770.4,577.4,87.0,3439.8,0.05658168574401665
34,26.0,97.8,715.6,548.8,89.0,3522.8,0.061328555678059546
35,22.0,98.2,669.0,514.6,93.4,3602.8,0.06791739383362419
36,25.8,97.2,622.8,482.6,95.4,3676.2,0.07349768875192604
37,29.4,97.6,573.6,455.4,97.0,3747.0,0.07927427263811704
38,31.8,94.8,536.4,425.6,98.8,3812.6,0.08549671166493597
39,34.6,95.6,499.0,403.8,99.4,3867.6,0.09054472581526689
40,37.6,95.4,448.4,381.0,116.0,3921.6,0.11145272867025366
41,34.4,94.0,407.8,363.2,130.0,3970.6,0.1306532663316583
42,37.6,90.6,372.2,344.8,142.2,4012.6,0.14971572962728996
43,41.6,90.8,334.0,326.6,155.4,4051.6,0.1713718570798412
44,45.8,90.6,295.8,313.0,165.2,4089.6,0.19107101549849642
45,53.6,92.4,261.2,296.4,175.6,4120.8,0.2126937984496124
46,56.4,91.6,232.2,280.2,188.8,4150.8,0.23814328960645814
47,63.8,89.0,207.8,262.0,197.4,4180.0,0.2610420523670987
48,74.0,87.6,186.0,244.0,203.4,4205.0,0.2821081830790569
49,76.0,89.4,163.8,232.4,208.6,4229.8,0.3004897723998847
50,77.4,91.4,143.6,222.2,217.4,4248.0,0.3222650459531574
51,85.2,90.4,121.2,213.2,221.4,4268.6,0.3426183844011142
52,93.6,89.0,105.6,203.6,227.0,4281.2,0.36308381317978244
53,101.8,89.2,91.6,193.2,230.6,4293.6,0.3814091961627522
54,108.6,87.4,76.8,188.0,235.6,4303.6,0.40081660428717253
55,114.8,81.0,63.2,182.4,236.0,4322.6,0.4194809811589051
56,119.2,79.2,48.8,178.8,238.6,4335.4,0.4374770810414375
57,130.6,74.4,40.2,172.0,241.2,4341.6,0.4569912845774915
58,138.6,73.2,33.6,162.4,238.2,4354.0,0.4694521087899093
59,150.6,66.8,28.4,154.6,238.6,4361.0,0.48853398853398855
60,160.8,61.6,21.0,145.0,241.6,4370.0,0.514919011082694
61,171.6,59.4,17.2,129.2,245.2,4377.4,0.5436807095343681
62,184.8,57.2,12.4,121.2,248.0,4376.4,0.5651777575205105
63,199.0,55.2,9.8,112.8,243.6,4379.6,0.5780730897009967
64,211.4,56.0,8.2,103.8,239.2,4381.4,0.587426326129666
65,218.8,56.2,7.6,97.6,233.6,4386.2,0.5913924050632912
66,233.2,54.2,7.4,93.2,229.2,4382.8,0.5968749999999999
67,242.0,51.6,7.2,90.2,223.0,4386.0,0.5994623655913979
68,253.8,50.4,4.8,87.2,219.2,4384.6,0.6061946902654867
69,268.6,48.6,5.8,83.2,213.8,4380.0,0.6084234490608993
70,280.0,52.0,4.6,78.8,209.4,4375.2,0.607308584686775
71,294.2,49.6,7.0,75.2,203.0,4371.0,0.6063321385902031
72,307.0,49.4,6.2,72.4,198.4,4366.6,0.607843137254902
73,323.8,48.6,4.6,69.2,194.4,4359.4,0.6136363636363636
74,340.8,49.6,4.4,65.2,188.4,4351.6,0.612483745123537
75,354.0,45.0,7.2,64.4,180.4,4349.0,0.6074074074074074
76,369.8,46.8,5.0,62.8,175.2,4340.4,0.6045548654244307
77,386.4,47.4,5.0,59.2,170.4,4331.6,0.6042553191489362
78,403.6,47.6,5.4,57.8,165.6,4320.0,0.5991316931982634
79,419.2,49.2,3.6,58.2,162.6,4307.2,0.594298245614035
80,432.2,46.2,5.0,57.4,159.4,4299.8,0.5947761194029851
81,449.8,45.4,7.0,54.0,153.6,4290.2,0.5907692307692307
82,457.6,45.4,5.6,52.6,150.4,4288.4,0.5921259842519685
83,470.0,47.0,5.4,50.4,145.4,4281.8,0.5858178887993554
84,481.4,46.6,6.2,49.6,141.4,4274.8,0.5799835931091059
85,492.8,45.0,6.4,48.0,139.8,4268.0,0.5844481605351171
86,506.6,43.6,6.0,47.8,137.6,4258.4,0.585531914893617
87,516.0,45.0,5.0,45.4,135.4,4253.2,0.5866551126516465
88,531.6,45.4,5.8,44.6,133.6,4239.0,0.5823888404533566
89,548.4,42.4,6.8,44.2,133.0,4225.2,0.5874558303886925
90,567.0,42.6,5.0,43.0,131.8,4210.6,0.5926258992805756
91,581.2,44.4,4.8,41.4,131.4,4196.8,0.591891891891892
92,595.8,41.2,5.6,40.8,129.6,4187.0,0.5966850828729282
93,611.0,43.0,4.6,41.0,130.4,4170.0,0.5954337899543379
94,625.8,42.2,5.0,39.8,129.6,4157.6,0.5983379501385041
95,635.2,42.0,5.2,37.6,125.8,4154.2,0.597340930674264
96,649.0,41.2,5.4,36.8,123.6,4144.0,0.5971014492753622
97,664.0,40.6,4.6,36.0,122.0,4132.8,0.6003937007874016
98,675.2,43.2,4.2,36.2,120.6,4120.6,0.5905974534769833
99,689.6,43.2,4.6,37.4,118.0,4107.2,0.5807086614173229
100,703.2,43.4,4.6,38.4,116.4,4094.0,0.5739644970414202
101,716.6,40.0,5.8,38.8,116.8,4082.0,0.579940417080437
102,726.6,41.8,4.2,38.8,115.6,4073.0,0.5768463073852296
103,734.8,45.0,4.4,39.2,113.8,4062.8,0.5622529644268776
104,744.6,47.0,4.4,39.2,110.4,4054.4,0.5492537313432836
105,752.6,51.6,5.0,38.8,107.4,4044.6,0.5295857988165681
106,764.4,51.6,6.4,40.4,107.0,4030.2,0.5209347614410905
107,774.8,50.8,6.2,41.0,109.4,4017.8,0.5274831243972999
108,786.6,52.8,5.2,42.6,110.2,4002.6,0.5227703984819734
109,792.2,56.2,6.6,43.4,108.4,3993.2,0.5051258154706431
110,795.8,59.8,5.6,42.2,107.0,3989.6,0.49860205032618826
111,802.8,61.6,7.4,44.2,105.6,3978.4,0.48263254113345516
112,806.0,65.4,5.4,42.8,108.2,3972.2,0.4878268710550045
113,812.8,62.4,8.2,45.4,108.4,3962.8,0.483065953654189
114,820.2,64.4,5.2,45.4,110.0,3954.8,0.4888888888888889
115,824.2,64.6,8.2,46.2,110.2,3946.6,0.48080279232111695
116,831.4,61.8,9.0,47.8,113.8,3936.2,0.4896729776247849
117,839.4,67.6,7.4,47.0,117.2,3921.4,0.48996655518394655
118,846.0,67.2,9.8,47.8,121.6,3907.6,0.4935064935064935
119,845.8,73.6,7.8,48.6,123.4,3900.8,0.48697711128650356
120,849.8,76.0,7.8,50.6,124.0,3891.8,0.4798761609907121
121,852.2,75.2,11.4,52.2,124.6,3884.4,0.47304479878511774
122,852.6,81.4,9.2,50.2,130.0,3876.6,0.48005908419497784
123,849.4,85.6,10.4,51.2,132.0,3871.4,0.47277936962750716
124,850.6,83.0,11.0,54.4,135.4,3865.6,0.4770965468639887
125,847.4,85.6,9.8,58.2,137.6,3861.4,0.4725274725274725
126,849.8,86.2,11.4,58.6,141.4,3852.6,0.4751344086021505
127,850.2,87.8,10.6,59.4,143.8,3848.2,0.47679045092838196
128,854.4,90.8,11.8,57.8,144.2,3841.0,0.47340774786605383
129,854.0,90.6,13.4,59.6,147.4,3835.0,0.4739549839228296
130,853.4,91.0,11.2,60.2,152.2,3832.0,0.4837889383343928
131,845.6,96.8,11.4,60.0,154.4,3831.8,0.4786112833230006
132,840.6,101.4,9.6,60.0,157.8,3830.6,0.47992700729927007
133,844.0,96.0,14.2,62.0,159.2,3824.6,0.4803862401931201
134,837.6,102.8,9.0,64.2,163.6,3822.8,0.4817432273262661
135,837.0,104.4,10.6,65.2,162.8,3820.0,0.47463556851311955
136,834.0,107.0,12.0,67.4,164.2,3815.4,0.4683399885909868
137,834.0,108.2,9.6,72.0,166.2,3810.0,0.4668539325842696
138,830.2,109.0,16.8,74.6,166.6,3802.8,0.4539509536784741
139,824.8,110.0,15.4,77.0,173.6,3799.2,0.46170212765957447
140,814.4,114.8,15.8,79.4,180.0,3795.6,0.46153846153846156
141,809.6,118.6,15.2,79.0,188.2,3789.4,0.4693266832917705
142,799.4,121.0,13.6,80.6,192.2,3793.2,0.47177221404025527
143,793.4,121.8,13.4,82.2,194.2,3795.0,0.4718172983479106
144,783.4,123.8,16.8,81.8,199.8,3794.4,0.4732354334438655
145,775.2,125.8,17.2,82.8,203.4,3795.6,0.47390493942218076
146,772.6,120.0,15.0,88.2,209.2,3795.0,0.48381128584643845
147,763.2,120.0,18.4,88.4,210.8,3799.2,0.48171846435100546
148,754.0,124.6,14.6,88.0,217.2,3801.6,0.48874887488748875
149,747.2,129.4,13.2,87.4,221.8,3801.0,0.4909251881363435
