Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,4958.6,31.4,9.0,0,0,1.0,0.0
1,4930.4,52.2,13.6,2.6,0,1.2,0.0
2,4883.6,88.8,17.2,7.8,0,2.6,0.0
3,4809.6,148.4,25.0,13.0,0,4.0,0.0
4,4705.0,220.6,43.6,23.0,0,7.8,0.0
5,4521.8,356.2,69.0,38.8,0,14.2,0.0
6,4236.0,568.4,107.6,64.8,0,23.2,0.0
7,3828.2,865.8,168.4,100.6,0,37.0,0.0
8,3266.0,1250.4,262.4,164.0,0,57.2,0.0
9,2566.2,1699.2,391.8,252.8,0,90.0,0.0
10,1777.2,2149.0,565.8,376.6,0,131.4,0.0
11,1040.2,2456.0,786.8,520.2,0,196.8,0.0
12,507.2,2499.4,1028.2,676.8,0,288.4,0.0
13,192.6,2301.6,1260.6,833.4,0,411.8,0.0
14,59.8,1979.8,1453.4,957.6,0,549.4,0.0
15,15.0,1631.0,1589.6,1047.2,0,717.2,0.0
16,4.6,1307.4,1679.6,1103.8,0,904.6,0.0
17,4.4,1059.2,1706.2,1125.2,0,1105.0,0.0
18,6.2,852.4,1711.0,1130.8,0,1299.6,0.0
19,5.6,689.8,1699.4,1111.8,0,1493.4,0.0
20,7.6,556.0,1649.6,1088.6,9.0,1689.2,0.0027246306611770407
21,9.6,455.4,1588.4,1056.4,17.0,1873.2,0.005453612216091364
22,11.6,373.0,1518.6,1017.6,24.2,2055.0,0.008249812504261267
23,10.0,310.8,1445.8,981.0,32.2,2220.2,0.011625388114665321
24,11.2,255.4,1378.8,927.0,38.6,2389.0,0.01484729594584199
25,12.4,210.6,1302.0,885.6,44.4,2545.0,0.01817735200196512
26,16.2,182.6,1222.8,839.2,51.2,2688.0,0.022301594215524006
27,17.6,161.0,1150.0,790.4,56.4,2824.6,0.026137732876077485
28,18.2,144.8,1081.4,741.6,60.8,2953.2,0.029971408853396428
29,17.8,133.0,1013.2,703.2,65.2,3067.6,0.03405411051916849
