Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,8939.0,3.0,9.4,0,0,0.6,0.0
1,8934.8,6.4,9.8,0.2,0,0.8,0.0
2,8929.2,10.0,10.2,1.0,0,1.6,0.0
3,8911.2,27.0,9.8,1.2,0,2.8,0.0
4,8895.0,38.2,12.0,3.4,0,3.4,0.0
5,8872.8,51.8,17.2,6.0,0,4.2,0.0
6,8838.0,76.6,21.0,10.2,0,6.2,0.0
7,8776.0,125.6,27.8,15.0,0,7.6,0.0
8,8694.8,183.0,40.0,23.0,0,11.2,0.0
9,8565.8,273.4,61.6,34.8,0,16.4,0.0
10,8394.8,388.2,88.8,55.6,0,24.6,0.0
11,8163.6,531.8,135.6,85.6,0,35.4,0.0
12,7887.8,698.2,192.0,120.6,0,53.4,0.0
13,7590.2,859.6,257.8,164.8,0,79.6,0.0
14,7245.4,1031.4,345.2,227.4,0,102.6,0.0
15,6861.8,1208.8,452.2,289.6,0,139.6,0.0
16,6486.2,1347.6,559.2,364.6,0,194.4,0.0
17,6100.6,1451.0,691.0,451.8,0,257.6,0.0
18,5725.8,1536.6,819.8,538.6,0,331.2,0.0
19,5375.6,1578.2,947.6,623.6,0,427.0,0.0
20,5043.8,1582.2,1072.8,708.8,9.4,535.0,0.0027866714099371516
21,4750.6,1565.8,1178.8,780.4,17.0,659.4,0.004799548277809147
22,4482.4,1532.8,1263.6,853.0,24.2,796.0,0.006587543554006969
23,4229.2,1482.4,1349.2,914.8,32.6,943.8,0.008626620799153214
24,3992.8,1436.6,1421.8,962.8,39.0,1099.0,0.010103103466141652
25,3778.0,1357.4,1501.4,1011.4,45.4,1258.4,0.011594647052814383
26,3581.4,1290.4,1541.4,1050.6,50.2,1438.0,0.01276509179677567
27,3406.8,1211.0,1576.4,1091.2,55.2,1611.4,0.014032233463826326
28,3240.2,1143.2,1588.4,1120.8,61.0,1798.4,0.015587468697296466
29,3090.2,1072.4,1597.4,1133.6,65.0,1993.4,0.0168028125323131
30,2955.6,1004.8,1598.2,1141.4,68.4,2183.6,0.01793957196810743
31,2829.4,942.6,1593.4,1138.6,74.2,2373.8,0.019793000426803247
32,2725.2,875.0,1579.8,1138.4,76.8,2556.8,0.02092643051771117
33,2612.8,818.4,1563.0,1132.0,80.6,2745.2,0.022426265998887033
34,2518.8,769.2,1524.8,1126.4,83.6,2929.2,0.023858447488584473
35,2432.8,716.0,1501.0,1107.4,84.6,3110.2,0.0248166617776474
36,2348.6,682.6,1468.2,1085.6,84.6,3282.4,0.025474254742547425
37,2272.4,642.2,1424.2,1064.2,89.2,3459.8,0.02770358407354494
38,2209.6,591.2,1399.4,1043.0,91.6,3617.2,0.029310124152054265
39,2155.8,551.8,1369.6,1014.4,94.0,3766.4,0.03102515017492904
40,2107.0,510.0,1319.6,987.2,110.4,3917.8,0.037715222738453125
41,2057.0,478.2,1262.0,959.4,128.6,4066.8,0.045470617353793936
42,2015.2,451.2,1205.6,919.4,141.8,4218.8,0.05217071376011774
