Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,8938.2,3.8,9.6,0,0,0.4,0.0
1,8934.0,7.0,10.2,0.2,0,0.6,0.0
2,8923.0,16.4,10.8,0.8,0,1.0,0.0
3,8905.8,30.8,12.2,1.2,0,2.0,0.0
4,8884.6,46.8,15.6,2.8,0,2.2,0.0
5,8855.0,67.8,20.0,5.4,0,3.8,0.0
6,8812.0,98.0,25.6,11.4,0,5.0,0.0
7,8753.4,139.2,33.8,18.4,0,7.2,0.0
8,8664.4,199.2,44.4,33.6,0,10.4,0.0
9,8536.0,286.4,66.2,46.0,0,17.4,0.0
10,8383.4,384.2,94.6,64.2,0,25.6,0.0
11,8209.0,487.0,125.8,92.8,0,37.4,0.0
12,8026.2,572.4,172.8,126.4,0,54.2,0.0
13,7808.0,670.4,231.2,163.6,0,78.8,0.0
14,7558.6,787.4,292.8,205.0,0,108.2,0.0
15,7314.2,883.2,360.2,250.4,0,144.0,0.0
16,7041.2,976.0,439.0,311.2,0,184.6,0.0
17,6758.0,1067.6,528.8,366.0,0,231.6,0.0
18,6463.6,1144.4,619.6,432.4,0,292.0,0.0
19,6163.4,1219.6,716.8,488.0,0,364.2,0.0
20,5912.2,1226.6,761.8,550.4,50.0,451.0,0.01931396786155748
21,5687.0,1203.0,771.2,611.8,129.8,549.2,0.04779438839384344
22,5488.6,1155.6,762.0,673.8,221.4,650.6,0.07871160409556315
23,5307.2,1110.0,754.6,708.6,299.6,772.0,0.10428849902534115
24,5146.2,1038.2,747.4,751.0,377.8,891.4,0.12963217128740048
25,4999.6,967.4,740.0,782.8,448.6,1013.6,0.1526473390499524
26,4862.6,907.4,727.4,798.2,504.0,1152.4,0.17160367722165476
27,4722.8,861.2,713.2,813.0,555.4,1286.4,0.18873182003534048
28,4583.2,824.4,687.4,827.8,600.0,1429.2,0.20410940263981495
29,4452.2,803.2,658.0,826.2,645.2,1567.2,0.2200095478415058
30,4347.2,756.2,625.6,824.6,675.6,1722.8,0.2344205412907703
31,4247.4,715.6,598.6,820.0,709.8,1860.6,0.24957805907172995
32,4156.2,674.6,569.2,817.2,731.8,2003.0,0.2620309366943569
33,4068.6,632.6,538.6,806.4,750.2,2155.6,0.2750201627685314
34,3992.6,592.4,507.8,791.4,777.0,2290.8,0.2911639061680282
35,3919.6,553.0,474.8,782.2,791.4,2431.0,0.3042208041823633
36,3857.6,511.8,440.6,774.6,800.2,2567.2,0.3166350110794556
37,3802.8,478.0,412.2,756.4,810.6,2692.0,0.32988767703076677
38,3751.6,446.0,382.0,733.2,811.2,2828.0,0.3419322205361659
39,3710.0,412.6,350.0,708.2,815.6,2955.6,0.3567179846046186
40,3673.8,365.0,290.0,666.2,885.8,3071.2,0.40135931128228364
41,3643.8,330.4,237.0,631.6,918.2,3191.0,0.4336860003778576
42,3623.4,296.6,192.2,607.6,929.6,3302.6,0.45883514313919055
43,3617.0,262.0,150.2,583.4,932.8,3406.6,0.4837170711470649
44,3607.0,230.2,114.6,556.6,936.4,3507.2,0.5095222548699532
45,3600.4,208.6,79.0,529.6,928.0,3606.4,0.531744212697685
